data,≥80 anni,altri
2020-01-28,2.0,11
2020-01-29,4.0,13
2020-01-30,1.0,23
2020-01-31,6.0,22
2020-02-01,3.0,40
2020-02-02,7.0,28
2020-02-03,8.0,15
2020-02-04,9.0,13
2020-02-05,5.0,22
2020-02-06,4.0,19
2020-02-07,4.0,15
2020-02-08,8.0,8
2020-02-09,6.0,11
2020-02-10,15.0,40
2020-02-11,11.0,12
2020-02-12,12.0,38
2020-02-13,7.0,37
2020-02-14,17.0,46
2020-02-15,25.0,115
2020-02-16,16.0,61
2020-02-17,22.0,114
2020-02-18,26.0,124
2020-02-19,24.0,111
2020-02-20,75.0,310
2020-02-21,46.0,253
2020-02-22,59.0,322
2020-02-23,83.0,381
2020-02-24,95.0,519
2020-02-25,126.0,643
2020-02-26,125.0,563
2020-02-27,161.0,649
2020-02-28,201.0,934
2020-02-29,200.0,804
2020-03-01,438.0,1823
2020-03-02,297.0,1497
2020-03-03,412.0,1609
2020-03-04,304.0,1455
2020-03-05,411.0,1950
2020-03-06,434.0,2219
2020-03-07,504.0,2344
2020-03-08,496.0,2870
2020-03-09,606.0,3351
2020-03-10,843.0,4616
2020-03-11,530.0,3217
2020-03-12,676.0,3582
2020-03-13,735.0,4006
2020-03-14,672.0,3416
2020-03-15,862.0,4318
2020-03-16,754.0,3962
2020-03-17,682.0,3361
2020-03-18,782.0,3406
2020-03-19,684.0,3053
2020-03-20,1126.0,4268
2020-03-21,728.0,2612
2020-03-22,688.0,2672
2020-03-23,795.0,3017
2020-03-24,711.0,2335
2020-03-25,775.0,2452
2020-03-26,651.0,2116
2020-03-27,758.0,2232
2020-03-28,692.0,1973
2020-03-29,562.0,1522
2020-03-30,833.0,2223
2020-03-31,579.0,1582
2020-04-01,995.0,2382
2020-04-02,701.0,1483
2020-04-03,690.0,1553
2020-04-04,591.0,1313
2020-04-05,549.0,1163
2020-04-06,587.0,1349
2020-04-07,606.0,1222
2020-04-08,555.0,1242
2020-04-09,534.0,1126
2020-04-10,793.0,1384
2020-04-11,459.0,831
2020-04-12,550.0,891
2020-04-13,462.0,845
2020-04-14,518.0,1060
2020-04-15,652.0,1097
2020-04-16,478.0,924
2020-04-17,424.0,942
2020-04-18,420.0,729
2020-04-19,338.0,569
2020-04-20,590.0,1031
2020-04-21,373.0,646
2020-04-22,317.0,731
2020-04-23,315.0,646
2020-04-24,267.0,577
2020-04-25,224.0,518
2020-04-26,204.0,384
2020-04-27,317.0,600
2020-04-28,218.0,444
2020-04-29,200.0,422
2020-04-30,158.0,413
2020-05-01,172.0,389
2020-05-02,119.0,297
2020-05-03,86.0,242
2020-05-04,132.0,317
2020-05-05,157.0,311
2020-05-06,115.0,274
2020-05-07,120.0,250
2020-05-08,123.0,293
2020-05-09,56.0,171
2020-05-10,63.0,205
2020-05-11,78.0,252
2020-05-12,111.0,218
2020-05-13,87.0,204
2020-05-14,51.0,199
2020-05-15,67.0,218
2020-05-16,51.0,142
2020-05-17,35.0,122
2020-05-18,66.0,190
2020-05-19,54.0,154
2020-05-20,56.0,174
2020-05-21,46.0,122
2020-05-22,50.0,104
2020-05-23,36.0,88
2020-05-24,22.0,69
2020-05-25,40.0,148
2020-05-26,39.0,112
2020-05-27,41.0,122
2020-05-28,30.0,97
2020-05-29,30.0,85
2020-05-30,19.0,77
2020-05-31,14.0,50
2020-06-01,29.0,107
2020-06-02,12.0,47
2020-06-03,28.0,88
2020-06-04,23.0,71
2020-06-05,21.0,96
2020-06-06,11.0,68
2020-06-07,16.0,49
2020-06-08,19.0,97
2020-06-09,22.0,80
2020-06-10,11.0,88
2020-06-11,17.0,70
2020-06-12,25.0,80
2020-06-13,11.0,56
2020-06-14,12.0,61
2020-06-15,18.0,83
2020-06-16,21.0,71
2020-06-17,11.0,66
2020-06-18,17.0,61
2020-06-19,10.0,64
2020-06-20,8.0,56
2020-06-21,7.0,53
2020-06-22,15.0,64
2020-06-23,13.0,58
2020-06-24,16.0,74
2020-06-25,10.0,65
2020-06-26,13.0,76
2020-06-27,3.0,57
2020-06-28,5.0,49
2020-06-29,13.0,75
2020-06-30,14.0,52
2020-07-01,22.0,84
2020-07-02,11.0,66
2020-07-03,9.0,58
2020-07-04,8.0,60
2020-07-05,6.0,55
2020-07-06,13.0,80
2020-07-07,6.0,89
2020-07-08,13.0,86
2020-07-09,12.0,68
2020-07-10,15.0,91
2020-07-11,7.0,74
2020-07-12,8.0,66
2020-07-13,11.0,87
2020-07-14,5.0,103
2020-07-15,13.0,84
2020-07-16,8.0,79
2020-07-17,7.0,93
2020-07-18,10.0,82
2020-07-19,14.0,72
2020-07-20,8.0,126
2020-07-21,15.0,105
2020-07-22,7.0,107
2020-07-23,10.0,120
2020-07-24,7.0,104
2020-07-25,7.0,119
2020-07-26,4.0,94
2020-07-27,12.0,115
2020-07-28,12.0,123
2020-07-29,15.0,115
2020-07-30,20.0,96
2020-07-31,10.0,106
2020-08-01,13.0,142
2020-08-02,8.0,112
2020-08-03,13.0,193
2020-08-04,8.0,177
2020-08-05,19.0,190
2020-08-06,10.0,192
2020-08-07,10.0,185
2020-08-08,15.0,229
2020-08-09,6.0,198
2020-08-10,19.0,251
2020-08-11,12.0,241
2020-08-12,20.0,243
2020-08-13,18.0,265
2020-08-14,13.0,278
2020-08-15,12.0,325
2020-08-16,14.0,334
2020-08-17,19.0,535
2020-08-18,18.0,574
2020-08-19,18.0,532
2020-08-20,13.0,533
2020-08-21,24.0,570
2020-08-22,15.0,554
2020-08-23,20.0,566
2020-08-24,35.0,621
2020-08-25,35.0,576
2020-08-26,20.0,564
2020-08-27,25.0,521
2020-08-28,22.0,522
2020-08-29,20.0,405
2020-08-30,18.0,399
2020-08-31,22.0,519
2020-09-01,44.0,659
2020-09-02,24.0,580
2020-09-03,29.0,533
2020-09-04,43.0,579
2020-09-05,37.0,494
2020-09-06,34.0,473
2020-09-07,45.0,730
2020-09-08,35.0,606
2020-09-09,38.0,620
2020-09-10,57.0,669
2020-09-11,42.0,577
2020-09-12,45.0,588
2020-09-13,37.0,553
2020-09-14,48.0,798
2020-09-15,62.0,803
2020-09-16,57.0,731
2020-09-17,59.0,750
2020-09-18,46.0,763
2020-09-19,51.0,755
2020-09-20,36.0,753
2020-09-21,41.0,871
2020-09-22,47.0,844
2020-09-23,52.0,792
2020-09-24,48.0,757
2020-09-25,66.0,871
2020-09-26,52.0,841
2020-09-27,51.0,894
2020-09-28,83.0,1199
2020-09-29,64.0,1135
2020-09-30,68.0,1512
2020-10-01,125.0,1987
2020-10-02,124.0,1908
2020-10-03,149.0,2028
2020-10-04,144.0,2026
2020-10-05,205.0,2820
2020-10-06,160.0,2667
2020-10-07,201.0,3114
2020-10-08,201.0,3382
2020-10-09,271.0,3649
2020-10-10,292.0,4111
2020-10-11,282.0,3502
2020-10-12,364.0,5445
2020-10-13,332.0,5193
2020-10-14,361.0,5621
2020-10-15,429.0,6273
2020-10-16,464.0,6953
2020-10-17,448.0,6857
2020-10-18,499.0,6985
2020-10-19,613.0,9327
2020-10-20,722.0,10076
2020-10-21,735.0,9395
2020-10-22,761.0,9573
2020-10-23,794.0,10430
2020-10-24,764.0,10012
2020-10-25,804.0,10336
2020-10-26,1009.0,13092
2020-10-27,891.0,11849
2020-10-28,1039.0,12620
2020-10-29,988.0,11834
2020-10-30,1098.0,12461
2020-10-31,903.0,10476
2020-11-01,1170.0,12922
2020-11-02,1346.0,14911
2020-11-03,1111.0,12830
2020-11-04,1255.0,13263
2020-11-05,1266.0,12986
2020-11-06,1265.0,13490
2020-11-07,1170.0,12040
2020-11-08,1063.0,11185
2020-11-09,1390.0,14173
2020-11-10,1461.0,13442
2020-11-11,1237.0,11834
2020-11-12,1230.0,11650
2020-11-13,1257.0,12142
2020-11-14,1161.0,10950
2020-11-15,1186.0,10177
2020-11-16,1362.0,11749
2020-11-17,1130.0,9715
2020-11-18,1206.0,10019
2020-11-19,1011.0,8236
2020-11-20,1126.0,9558
2020-11-21,851.0,7338
2020-11-22,770.0,6645
2020-11-23,1078.0,8650
2020-11-24,877.0,7495
2020-11-25,901.0,7679
2020-11-26,947.0,6955
2020-11-27,920.0,7246
2020-11-28,788.0,6829
2020-11-29,634.0,5361
2020-11-30,947.0,7903
2020-12-01,1006.0,8293
2020-12-02,784.0,7336
2020-12-03,790.0,6756
2020-12-04,863.0,7059
2020-12-05,705.0,6268
2020-12-06,601.0,5315
2020-12-07,815.0,7067
2020-12-08,619.0,6229
2020-12-09,770.0,6948
2020-12-10,806.0,6968
2020-12-11,714.0,6371
2020-12-12,644.0,6321
2020-12-13,576.0,5559
2020-12-14,830.0,7529
2020-12-15,690.0,6880
2020-12-16,659.0,6673
2020-12-17,626.0,6251
2020-12-18,649.0,6622
2020-12-19,614.0,6087
