data,≥80 anni,altri
2020-02-26,3.0,14
2020-02-27,0.0,2
2020-02-28,6.0,11
2020-02-29,1.0,2
2020-03-01,1.0,4
2020-03-02,1.0,2
2020-03-03,0.0,2
2020-03-04,1.0,4
2020-03-05,0.0,8
2020-03-06,4.0,15
2020-03-07,3.0,18
2020-03-08,6.0,30
2020-03-09,10.0,44
2020-03-10,11.0,32
2020-03-11,10.0,71
2020-03-12,25.0,61
2020-03-13,47.0,121
2020-03-14,14.0,56
2020-03-15,26.0,91
2020-03-16,47.0,99
2020-03-17,46.0,155
2020-03-18,31.0,98
2020-03-19,36.0,128
2020-03-20,65.0,231
2020-03-21,49.0,167
2020-03-22,52.0,154
2020-03-23,51.0,203
2020-03-24,51.0,148
2020-03-25,43.0,149
2020-03-26,45.0,152
2020-03-27,38.0,129
2020-03-28,43.0,139
2020-03-29,61.0,112
2020-03-30,40.0,155
2020-03-31,63.0,116
2020-04-01,50.0,114
2020-04-02,48.0,125
2020-04-03,65.0,158
2020-04-04,64.0,155
2020-04-05,29.0,101
2020-04-06,66.0,109
2020-04-07,52.0,142
2020-04-08,89.0,114
2020-04-09,34.0,86
2020-04-10,38.0,95
2020-04-11,38.0,65
2020-04-12,36.0,75
2020-04-13,99.0,104
2020-04-14,70.0,125
2020-04-15,46.0,89
2020-04-16,19.0,73
2020-04-17,48.0,102
2020-04-18,47.0,62
2020-04-19,39.0,39
2020-04-20,46.0,98
2020-04-21,65.0,75
2020-04-22,63.0,97
2020-04-23,65.0,85
2020-04-24,49.0,79
2020-04-25,65.0,79
2020-04-26,27.0,81
2020-04-27,31.0,67
2020-04-28,51.0,64
2020-04-29,30.0,77
2020-04-30,30.0,61
2020-05-01,65.0,62
2020-05-02,27.0,32
2020-05-03,7.0,32
2020-05-04,31.0,54
2020-05-05,52.0,56
2020-05-06,20.0,55
2020-05-07,22.0,34
2020-05-08,27.0,59
2020-05-09,17.0,31
2020-05-10,4.0,32
2020-05-11,18.0,54
2020-05-12,34.0,63
2020-05-13,18.0,41
2020-05-14,28.0,62
2020-05-15,29.0,44
2020-05-16,20.0,36
2020-05-17,11.0,40
2020-05-18,12.0,29
2020-05-19,21.0,33
2020-05-20,6.0,29
2020-05-21,9.0,8
2020-05-22,9.0,12
2020-05-23,8.0,14
2020-05-24,6.0,12
2020-05-25,13.0,19
2020-05-26,5.0,12
2020-05-27,16.0,25
2020-05-28,7.0,17
2020-05-29,7.0,10
2020-05-30,1.0,6
2020-05-31,3.0,0
2020-06-01,9.0,13
2020-06-02,5.0,6
2020-06-03,10.0,9
2020-06-04,5.0,15
2020-06-05,2.0,10
2020-06-06,2.0,7
2020-06-07,1.0,7
2020-06-08,5.0,9
2020-06-09,0.0,11
2020-06-10,2.0,5
2020-06-11,0.0,7
2020-06-12,2.0,3
2020-06-13,1.0,4
2020-06-14,0.0,1
2020-06-15,3.0,9
2020-06-16,5.0,8
2020-06-17,0.0,8
2020-06-18,6.0,7
2020-06-19,3.0,5
2020-06-20,2.0,7
2020-06-21,0.0,2
2020-06-22,4.0,5
2020-06-23,5.0,9
2020-06-24,0.0,5
2020-06-25,0.0,10
2020-06-26,0.0,2
2020-06-27,1.0,4
2020-06-28,1.0,1
2020-06-29,3.0,3
2020-06-30,2.0,2
2020-07-01,3.0,0
2020-07-02,1.0,3
2020-07-03,1.0,5
2020-07-04,1.0,1
2020-07-05,1.0,3
2020-07-06,0.0,2
2020-07-07,1.0,10
2020-07-08,1.0,4
2020-07-09,1.0,10
2020-07-10,0.0,1
2020-07-11,0.0,0
2020-07-12,0.0,3
2020-07-13,1.0,4
2020-07-14,1.0,5
2020-07-15,1.0,6
2020-07-16,0.0,15
2020-07-17,1.0,14
2020-07-18,1.0,18
2020-07-19,1.0,11
2020-07-20,2.0,18
2020-07-21,0.0,8
2020-07-22,2.0,7
2020-07-23,1.0,7
2020-07-24,0.0,11
2020-07-25,0.0,3
