data,≥80 anni,altri
2020-02-20,1,
2020-02-21,0,2.0
2020-02-22,2,0.0
2020-02-23,1,1.0
2020-02-24,1,4.0
2020-02-25,1,5.0
2020-02-26,4,5.0
2020-02-27,4,4.0
2020-02-28,4,3.0
2020-02-29,5,6.0
2020-03-01,1,10.0
2020-03-02,7,8.0
2020-03-03,9,11.0
2020-03-04,9,10.0
2020-03-05,9,20.0
2020-03-06,16,16.0
2020-03-07,9,23.0
2020-03-08,6,28.0
2020-03-09,9,28.0
2020-03-10,17,41.0
2020-03-11,17,36.0
2020-03-12,34,46.0
2020-03-13,33,62.0
2020-03-14,24,51.0
2020-03-15,27,60.0
2020-03-16,43,94.0
2020-03-17,33,105.0
2020-03-18,36,99.0
2020-03-19,40,112.0
2020-03-20,48,156.0
2020-03-21,41,117.0
2020-03-22,37,93.0
2020-03-23,30,116.0
2020-03-24,36,94.0
2020-03-25,48,96.0
2020-03-26,28,75.0
2020-03-27,28,59.0
2020-03-28,27,64.0
2020-03-29,37,64.0
2020-03-30,33,69.0
2020-03-31,38,72.0
2020-04-01,28,47.0
2020-04-02,29,54.0
2020-04-03,26,44.0
2020-04-04,34,42.0
2020-04-05,24,41.0
2020-04-06,30,39.0
2020-04-07,26,41.0
2020-04-08,25,52.0
2020-04-09,24,35.0
2020-04-10,24,25.0
2020-04-11,11,23.0
2020-04-12,19,23.0
2020-04-13,14,23.0
2020-04-14,26,31.0
2020-04-15,27,35.0
2020-04-16,13,18.0
2020-04-17,21,17.0
2020-04-18,19,23.0
2020-04-19,16,12.0
2020-04-20,15,19.0
2020-04-21,19,12.0
2020-04-22,15,15.0
2020-04-23,20,21.0
2020-04-24,13,23.0
2020-04-25,11,18.0
2020-04-26,10,17.0
2020-04-27,14,10.0
2020-04-28,15,8.0
2020-04-29,12,11.0
2020-04-30,10,14.0
2020-05-01,4,6.0
2020-05-02,4,7.0
2020-05-03,5,9.0
2020-05-04,9,7.0
2020-05-05,8,5.0
2020-05-06,11,5.0
2020-05-07,6,14.0
2020-05-08,13,4.0
2020-05-09,4,4.0
2020-05-10,2,0.0
2020-05-11,4,2.0
2020-05-12,8,4.0
2020-05-13,1,6.0
2020-05-14,4,6.0
2020-05-15,6,7.0
2020-05-16,4,0.0
2020-05-17,2,2.0
2020-05-18,3,8.0
2020-05-19,5,3.0
2020-05-20,3,0.0
2020-05-21,2,6.0
2020-05-22,3,3.0
2020-05-23,2,4.0
2020-05-24,3,1.0
2020-05-25,2,6.0
2020-05-26,5,4.0
2020-05-27,4,1.0
2020-05-28,1,1.0
2020-05-29,2,1.0
2020-05-30,6,2.0
2020-05-31,2,0.0
2020-06-01,5,2.0
2020-06-02,2,4.0
2020-06-03,4,4.0
2020-06-04,3,3.0
2020-06-05,3,0.0
2020-06-06,3,1.0
2020-06-07,1,2.0
2020-06-08,1,4.0
2020-06-09,0,2.0
2020-06-10,0,4.0
2020-06-11,0,0.0
2020-06-12,0,1.0
2020-06-13,2,1.0
2020-06-14,1,1.0
2020-06-15,1,0.0
2020-06-16,4,2.0
2020-06-17,0,2.0
2020-06-18,2,1.0
2020-06-19,2,1.0
2020-06-20,2,2.0
2020-06-21,1,3.0
2020-06-22,2,2.0
2020-06-23,0,1.0
2020-06-24,0,1.0
2020-06-25,0,3.0
2020-06-26,0,3.0
2020-06-27,1,3.0
2020-06-28,1,1.0
2020-06-29,2,2.0
2020-06-30,2,1.0
2020-07-01,1,0.0
2020-07-02,0,0.0
2020-07-03,0,4.0
2020-07-04,1,1.0
2020-07-05,1,3.0
2020-07-06,2,0.0
2020-07-07,1,0.0
2020-07-08,0,2.0
2020-07-09,0,1.0
2020-07-10,0,0.0
2020-07-11,1,0.0
2020-07-12,1,2.0
2020-07-13,1,2.0
2020-07-14,0,0.0
2020-07-15,1,3.0
2020-07-16,0,2.0
2020-07-17,0,1.0
2020-07-18,1,3.0
2020-07-19,0,0.0
2020-07-20,2,8.0
2020-07-21,1,3.0
2020-07-22,1,3.0
2020-07-23,0,1.0
2020-07-24,1,3.0
2020-07-25,0,1.0
2020-07-26,0,2.0
2020-07-27,2,0.0
2020-07-28,0,1.0
2020-07-29,1,1.0
2020-07-30,0,1.0
2020-07-31,0,0.0
2020-08-01,0,1.0
2020-08-02,1,0.0
2020-08-03,0,1.0
2020-08-04,0,2.0
2020-08-05,1,2.0
2020-08-06,1,1.0
2020-08-07,1,1.0
2020-08-08,0,0.0
2020-08-09,0,4.0
2020-08-10,0,0.0
2020-08-11,2,2.0
2020-08-12,3,1.0
2020-08-13,1,2.0
2020-08-14,0,2.0
2020-08-15,0,1.0
2020-08-16,0,3.0
2020-08-17,1,0.0
2020-08-18,0,2.0
2020-08-19,0,6.0
2020-08-20,0,0.0
2020-08-21,0,3.0
2020-08-22,0,1.0
2020-08-23,1,4.0
2020-08-24,1,7.0
2020-08-25,1,3.0
2020-08-26,2,5.0
2020-08-27,3,8.0
2020-08-28,1,5.0
2020-08-29,0,3.0
2020-08-30,0,7.0
2020-08-31,2,9.0
2020-09-01,1,7.0
2020-09-02,4,3.0
2020-09-03,1,10.0
2020-09-04,0,8.0
2020-09-05,5,7.0
2020-09-06,3,8.0
2020-09-07,5,15.0
2020-09-08,2,9.0
2020-09-09,6,6.0
2020-09-10,1,14.0
2020-09-11,9,9.0
2020-09-12,3,8.0
2020-09-13,6,15.0
2020-09-14,4,17.0
2020-09-15,7,14.0
2020-09-16,4,16.0
2020-09-17,2,27.0
2020-09-18,6,19.0
2020-09-19,4,16.0
2020-09-20,1,12.0
2020-09-21,3,23.0
2020-09-22,0,28.0
2020-09-23,2,11.0
2020-09-24,2,8.0
2020-09-25,3,15.0
2020-09-26,2,12.0
2020-09-27,4,14.0
2020-09-28,0,13.0
2020-09-29,2,8.0
2020-09-30,4,15.0
2020-10-01,7,23.0
2020-10-02,8,17.0
2020-10-03,4,29.0
2020-10-04,4,25.0
2020-10-05,6,27.0
2020-10-06,5,23.0
2020-10-07,6,30.0
2020-10-08,4,36.0
2020-10-09,13,36.0
2020-10-10,9,39.0
2020-10-11,14,39.0
2020-10-12,14,42.0
