data,tutti,maschi,femmine
0,1,1.0,0
1,0,0.0,0
2,0,0.0,0
3,0,0.0,0
4,0,0.0,0
5,0,0.0,0
6,0,0.0,0
7,0,0.0,0
8,0,0.0,0
9,0,0.0,0
10,0,0.0,0
11,0,0.0,0
12,0,0.0,0
13,0,0.0,0
14,0,0.0,0
15,0,0.0,0
16,0,0.0,0
17,0,0.0,0
18,0,0.0,0
19,0,0.0,0
20,0,0.0,0
21,0,0.0,0
22,1,1.0,0
23,0,0.0,0
24,0,0.0,0
25,0,0.0,0
26,0,0.0,0
27,0,0.0,0
28,0,0.0,0
29,0,0.0,0
30,0,0.0,0
31,0,0.0,0
32,1,0.0,1
33,1,1.0,0
34,0,0.0,0
35,0,0.0,0
36,1,1.0,0
37,3,2.0,1
38,1,1.0,0
39,2,1.0,1
40,3,3.0,0
41,5,4.0,1
42,3,1.0,2
43,1,1.0,0
44,1,0.0,1
45,3,3.0,0
46,5,3.0,2
47,6,3.0,3
48,5,4.0,1
49,9,4.0,5
50,6,4.0,2
51,10,5.0,5
52,10,3.0,7
53,10,7.0,3
54,12,5.0,7
55,7,4.0,3
56,25,18.0,7
57,18,13.0,5
58,26,18.0,8
59,21,13.0,8
60,33,23.0,10
61,23,18.0,5
62,33,23.0,10
63,37,28.0,9
64,47,36.0,11
65,48,33.0,15
66,45,30.0,15
67,41,30.0,11
68,51,36.0,15
69,68,47.0,21
70,68,45.0,23
71,68,48.0,20
72,73,53.0,20
73,96,63.0,33
74,77,55.0,22
75,82,47.0,35
76,82,56.0,26
77,77,49.0,28
78,109,69.0,40
79,116,75.0,41
80,108,68.0,40
81,113,70.0,43
82,134,72.0,62
83,143,78.0,65
84,142,75.0,67
85,157,92.0,65
86,168,83.0,85
87,188,94.0,94
88,151,68.0,83
89,140,60.0,80
90,145,64.0,81
91,128,55.0,73
92,106,41.0,65
93,93,32.0,61
94,89,32.0,57
95,64,24.0,40
96,47,9.0,38
97,34,15.0,19
98,25,7.0,18
99,17,5.0,12
100,8,3.0,5
101,3,0.0,3
102,5,0.0,5
103,2,0.0,2
104,5,1.0,4
105,1,,1
