data,tutti,maschi,femmine
0.0,1303,725.0,578
1.0,1768,930.0,838
2.0,1986,1030.0,956
3.0,2676,1345.0,1331
4.0,3114,1628.0,1486
5.0,3769,1947.0,1822
6.0,3807,2031.0,1776
7.0,4087,2142.0,1945
8.0,4212,2180.0,2032
9.0,4432,2290.0,2142
10.0,4703,2499.0,2204
11.0,4454,2355.0,2099
12.0,3803,2024.0,1779
13.0,3802,1942.0,1860
14.0,3641,1865.0,1776
15.0,3753,1940.0,1813
16.0,3898,1985.0,1913
17.0,4065,2121.0,1944
18.0,4055,2065.0,1990
19.0,3235,1685.0,1550
20.0,3514,1856.0,1658
21.0,3416,1761.0,1655
22.0,3373,1705.0,1668
23.0,3325,1741.0,1584
24.0,3454,1794.0,1660
25.0,3388,1677.0,1711
26.0,3265,1610.0,1655
27.0,3428,1725.0,1703
28.0,3406,1702.0,1704
29.0,3606,1807.0,1799
30.0,3476,1716.0,1760
31.0,3594,1758.0,1836
32.0,3692,1810.0,1882
33.0,3575,1671.0,1904
34.0,3556,1693.0,1863
35.0,3731,1702.0,2029
36.0,3906,1851.0,2055
37.0,3998,1830.0,2168
38.0,4091,1886.0,2205
39.0,4261,1912.0,2349
40.0,4291,1950.0,2341
41.0,4267,1920.0,2347
42.0,4416,2018.0,2398
43.0,4394,2036.0,2358
44.0,4506,2136.0,2370
45.0,4579,2115.0,2464
46.0,4739,2181.0,2558
47.0,4697,2191.0,2506
48.0,4556,2094.0,2462
49.0,4580,2135.0,2445
50.0,4374,2050.0,2324
51.0,4324,2127.0,2197
52.0,4211,2025.0,2186
53.0,4116,2032.0,2084
54.0,4075,2006.0,2069
55.0,3920,1925.0,1995
56.0,3815,1894.0,1921
57.0,3712,1800.0,1912
58.0,3461,1737.0,1724
59.0,3107,1472.0,1635
60.0,3042,1500.0,1542
61.0,2914,1413.0,1501
62.0,2785,1368.0,1417
63.0,2529,1235.0,1294
64.0,2437,1179.0,1258
65.0,2335,1128.0,1207
66.0,2239,1080.0,1159
67.0,2100,1035.0,1065
68.0,1933,981.0,952
69.0,1926,967.0,959
70.0,1862,920.0,942
71.0,1769,908.0,861
72.0,1832,919.0,913
73.0,1720,852.0,868
74.0,1620,820.0,800
75.0,1441,670.0,771
76.0,1197,590.0,607
77.0,1215,603.0,612
78.0,1186,590.0,596
79.0,1104,536.0,568
80.0,1078,533.0,545
81.0,1152,522.0,630
82.0,1084,474.0,610
83.0,1035,455.0,580
84.0,1008,418.0,590
85.0,893,352.0,541
86.0,876,331.0,545
87.0,854,336.0,518
88.0,738,244.0,494
89.0,663,212.0,451
90.0,593,187.0,406
91.0,509,160.0,349
92.0,421,107.0,314
93.0,359,93.0,266
94.0,285,66.0,219
95.0,214,55.0,159
96.0,159,35.0,124
97.0,138,27.0,111
98.0,99,20.0,79
99.0,64,12.0,52
100.0,45,13.0,32
101.0,21,1.0,20
102.0,11,2.0,9
103.0,6,1.0,5
104.0,8,1.0,7
105.0,2,0.0,2
106.0,1,0.0,1
107.0,3,2.0,1
108.0,2,2.0,0
109.0,3,,3
