data,tutti,maschi,femmine
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,1,0,1
22,0,0,0
23,1,1,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,2,1,1
34,0,0,0
35,1,1,0
36,0,0,0
37,0,0,0
38,1,1,0
39,0,0,0
40,1,1,0
41,0,0,0
42,0,0,0
43,0,0,0
44,1,1,0
45,1,1,0
46,0,0,0
47,1,0,1
48,4,3,1
49,0,0,0
50,1,0,1
51,3,3,0
52,1,0,1
53,3,3,0
54,3,3,0
55,1,1,0
56,9,7,2
57,5,3,2
58,5,4,1
59,8,7,1
60,5,3,2
61,11,5,6
62,7,4,3
63,8,6,2
64,9,4,5
65,15,11,4
66,12,7,5
67,10,7,3
68,11,8,3
69,12,10,2
70,17,15,2
71,16,13,3
72,24,14,10
73,16,12,4
74,17,9,8
75,29,17,12
76,15,8,7
77,28,24,4
78,26,18,8
79,27,14,13
80,20,9,11
81,38,21,17
82,25,14,11
83,34,16,18
84,32,17,15
85,40,20,20
86,39,19,20
87,37,23,14
88,42,18,24
89,39,19,20
90,35,16,19
91,30,9,21
92,24,12,12
93,15,11,4
94,14,4,10
95,12,6,6
96,10,5,5
97,10,5,5
98,5,3,2
99,6,3,3
100,1,1,0
101,4,1,3
