data,tutti,maschi,femmine
0.0,14,8.0,6
1.0,6,3.0,3
2.0,1,1.0,0
3.0,2,1.0,1
4.0,1,1.0,0
5.0,3,0.0,3
6.0,1,0.0,1
7.0,2,0.0,2
8.0,1,1.0,0
9.0,2,2.0,0
10.0,2,1.0,1
11.0,1,1.0,0
12.0,1,1.0,0
13.0,0,0.0,0
14.0,1,1.0,0
15.0,4,3.0,1
16.0,4,3.0,1
17.0,6,4.0,2
18.0,7,3.0,4
19.0,9,6.0,3
20.0,10,2.0,8
21.0,14,8.0,6
22.0,18,10.0,8
23.0,9,7.0,2
24.0,11,3.0,8
25.0,18,8.0,10
26.0,15,11.0,4
27.0,13,6.0,7
28.0,18,7.0,11
29.0,21,12.0,9
30.0,24,8.0,16
31.0,38,23.0,15
32.0,30,10.0,20
33.0,27,14.0,13
34.0,37,17.0,20
35.0,21,12.0,9
36.0,22,15.0,7
37.0,37,22.0,15
38.0,29,16.0,13
39.0,48,18.0,30
40.0,28,13.0,15
41.0,40,25.0,15
42.0,37,28.0,9
43.0,46,25.0,21
44.0,55,29.0,26
45.0,49,34.0,15
46.0,67,44.0,23
47.0,70,49.0,21
48.0,69,51.0,18
49.0,66,40.0,26
50.0,83,47.0,36
51.0,85,53.0,32
52.0,87,54.0,33
53.0,104,65.0,39
54.0,114,76.0,38
55.0,105,64.0,41
56.0,118,80.0,38
57.0,122,78.0,44
58.0,129,75.0,54
59.0,121,69.0,52
60.0,126,83.0,43
61.0,132,83.0,49
62.0,127,88.0,39
63.0,141,91.0,50
64.0,141,96.0,45
65.0,147,95.0,52
66.0,152,103.0,49
67.0,137,85.0,52
68.0,147,101.0,46
69.0,118,79.0,39
70.0,144,81.0,63
71.0,144,86.0,58
72.0,149,88.0,61
73.0,155,97.0,58
74.0,155,86.0,69
75.0,135,86.0,49
76.0,125,72.0,53
77.0,143,77.0,66
78.0,139,73.0,66
79.0,134,73.0,61
80.0,124,73.0,51
81.0,122,67.0,55
82.0,89,43.0,46
83.0,99,51.0,48
84.0,98,47.0,51
85.0,98,51.0,47
86.0,107,49.0,58
87.0,96,46.0,50
88.0,92,46.0,46
89.0,77,25.0,52
90.0,66,20.0,46
91.0,46,21.0,25
92.0,47,23.0,24
93.0,34,10.0,24
94.0,25,12.0,13
95.0,11,2.0,9
96.0,17,6.0,11
97.0,10,4.0,6
98.0,1,0.0,1
99.0,6,1.0,5
100.0,0,,0
101.0,0,,0
102.0,0,,0
103.0,2,,2
