data,tutti,maschi,femmine
0.0,0,0.0,0
1.0,0,0.0,0
2.0,0,0.0,0
3.0,0,0.0,0
4.0,0,0.0,0
5.0,0,0.0,0
6.0,0,0.0,0
7.0,0,0.0,0
8.0,0,0.0,0
9.0,0,0.0,0
10.0,0,0.0,0
11.0,1,0.0,1
12.0,1,0.0,1
13.0,0,0.0,0
14.0,1,1.0,0
15.0,1,1.0,0
16.0,0,0.0,0
17.0,0,0.0,0
18.0,0,0.0,0
19.0,0,0.0,0
20.0,2,2.0,0
21.0,1,0.0,1
22.0,0,0.0,0
23.0,0,0.0,0
24.0,0,0.0,0
25.0,1,1.0,0
26.0,1,1.0,0
27.0,0,0.0,0
28.0,1,1.0,0
29.0,2,1.0,1
30.0,0,0.0,0
31.0,1,1.0,0
32.0,3,2.0,1
33.0,1,0.0,1
34.0,1,1.0,0
35.0,3,2.0,1
36.0,2,1.0,1
37.0,3,2.0,1
38.0,2,1.0,1
39.0,5,5.0,0
40.0,5,5.0,0
41.0,4,3.0,1
42.0,5,3.0,2
43.0,8,7.0,1
44.0,9,7.0,2
45.0,11,7.0,4
46.0,9,5.0,4
47.0,14,10.0,4
48.0,16,14.0,2
49.0,17,15.0,2
50.0,24,16.0,8
51.0,21,11.0,10
52.0,26,15.0,11
53.0,29,20.0,9
54.0,41,31.0,10
55.0,27,22.0,5
56.0,49,37.0,12
57.0,49,31.0,18
58.0,44,32.0,12
59.0,67,47.0,20
60.0,75,56.0,19
61.0,85,66.0,19
62.0,84,58.0,26
63.0,101,77.0,24
64.0,104,80.0,24
65.0,99,68.0,31
66.0,129,95.0,34
67.0,124,87.0,37
68.0,148,96.0,52
69.0,151,101.0,50
70.0,194,140.0,54
71.0,223,167.0,56
72.0,259,177.0,82
73.0,279,198.0,81
74.0,294,204.0,90
75.0,270,188.0,82
76.0,323,217.0,106
77.0,348,214.0,134
78.0,411,275.0,136
79.0,429,275.0,154
80.0,458,293.0,165
81.0,493,313.0,180
82.0,567,331.0,236
83.0,578,322.0,256
84.0,587,339.0,248
85.0,613,311.0,302
86.0,623,327.0,296
87.0,622,319.0,303
88.0,594,279.0,315
89.0,578,271.0,307
90.0,582,244.0,338
91.0,529,209.0,320
92.0,463,175.0,288
93.0,427,130.0,297
94.0,371,123.0,248
95.0,296,90.0,206
96.0,246,87.0,159
97.0,179,46.0,133
98.0,120,32.0,88
99.0,103,24.0,79
100.0,51,4.0,47
101.0,26,9.0,17
102.0,10,4.0,6
103.0,7,0.0,7
104.0,1,0.0,1
105.0,2,0.0,2
106.0,4,1.0,3
107.0,5,1.0,4
108.0,1,,1
