data,tutti,maschi,femmine
0.0,4655,2508.0,2147
1.0,6415,3302.0,3113
2.0,6979,3605.0,3374
3.0,8402,4493.0,3909
4.0,9469,4982.0,4487
5.0,11359,5924.0,5435
6.0,12250,6321.0,5929
7.0,13800,7193.0,6607
8.0,14595,7583.0,7012
9.0,15520,8050.0,7470
10.0,16447,8694.0,7753
11.0,16268,8500.0,7768
12.0,13943,7248.0,6695
13.0,13863,7168.0,6695
14.0,13452,6926.0,6526
15.0,14232,7240.0,6992
16.0,14685,7401.0,7284
17.0,15114,7683.0,7431
18.0,15388,7900.0,7488
19.0,14496,7450.0,7046
20.0,14605,7510.0,7095
21.0,14869,7753.0,7116
22.0,14720,7557.0,7163
23.0,14777,7659.0,7118
24.0,14572,7392.0,7180
25.0,14472,7313.0,7159
26.0,14494,7299.0,7195
27.0,14690,7374.0,7316
28.0,14522,7285.0,7237
29.0,15232,7522.0,7710
30.0,15032,7428.0,7604
31.0,14854,7397.0,7457
32.0,14880,7220.0,7660
33.0,14582,6955.0,7627
34.0,14554,6894.0,7660
35.0,15011,7071.0,7940
36.0,15398,7170.0,8228
37.0,15439,7204.0,8235
38.0,15810,7261.0,8549
39.0,16432,7608.0,8824
40.0,16513,7647.0,8866
41.0,16901,7790.0,9111
42.0,17512,8026.0,9486
43.0,18521,8652.0,9869
44.0,18889,8789.0,10100
45.0,19703,9235.0,10468
46.0,20343,9598.0,10745
47.0,20708,9733.0,10975
48.0,20529,9813.0,10716
49.0,19876,9543.0,10333
50.0,19395,9288.0,10107
51.0,18846,9218.0,9628
52.0,18557,8975.0,9582
53.0,17664,8682.0,8982
54.0,17062,8372.0,8690
55.0,16337,8130.0,8207
56.0,15825,7876.0,7949
57.0,15349,7610.0,7739
58.0,13913,6972.0,6941
59.0,12879,6263.0,6616
60.0,12145,5990.0,6155
61.0,11354,5682.0,5672
62.0,10377,5142.0,5235
63.0,9615,4828.0,4787
64.0,9159,4539.0,4620
65.0,8192,4064.0,4128
66.0,7470,3685.0,3785
67.0,7041,3500.0,3541
68.0,6560,3214.0,3346
69.0,6490,3213.0,3277
70.0,6424,3199.0,3225
71.0,6639,3277.0,3362
72.0,6707,3291.0,3416
73.0,6814,3429.0,3385
74.0,6529,3210.0,3319
75.0,5661,2818.0,2843
76.0,4939,2421.0,2518
77.0,5051,2531.0,2520
78.0,4862,2428.0,2434
79.0,4757,2362.0,2395
80.0,4675,2212.0,2463
81.0,4783,2268.0,2515
82.0,4715,2178.0,2537
83.0,4504,1951.0,2553
84.0,4015,1746.0,2269
85.0,3829,1539.0,2290
86.0,3793,1485.0,2308
87.0,3489,1369.0,2120
88.0,3209,1167.0,2042
89.0,2905,988.0,1917
90.0,2747,898.0,1849
91.0,2469,741.0,1728
92.0,2149,650.0,1499
93.0,1882,468.0,1414
94.0,1441,337.0,1104
95.0,1240,253.0,987
96.0,949,222.0,727
97.0,735,133.0,602
98.0,469,91.0,378
99.0,354,66.0,288
100.0,194,20.0,174
101.0,124,21.0,103
102.0,54,5.0,49
103.0,27,2.0,25
104.0,11,2.0,9
105.0,4,0.0,4
106.0,13,2.0,11
107.0,8,1.0,7
108.0,2,,2
