data,tutti,maschi,femmine
0.0,487,274.0,213
1.0,115,68.0,47
2.0,76,32.0,44
3.0,65,45.0,20
4.0,44,26.0,18
5.0,41,24.0,17
6.0,44,26.0,18
7.0,40,26.0,14
8.0,40,24.0,16
9.0,53,33.0,20
10.0,41,26.0,15
11.0,55,34.0,21
12.0,66,43.0,23
13.0,63,37.0,26
14.0,46,33.0,13
15.0,48,27.0,21
16.0,66,30.0,36
17.0,66,33.0,33
18.0,71,41.0,30
19.0,78,39.0,39
20.0,97,49.0,48
21.0,95,48.0,47
22.0,147,59.0,88
23.0,146,61.0,85
24.0,153,50.0,103
25.0,172,57.0,115
26.0,172,77.0,95
27.0,217,71.0,146
28.0,203,71.0,132
29.0,255,81.0,174
30.0,234,73.0,161
31.0,284,86.0,198
32.0,259,88.0,171
33.0,281,94.0,187
34.0,304,119.0,185
35.0,315,126.0,189
36.0,337,140.0,197
37.0,303,144.0,159
38.0,296,134.0,162
39.0,358,171.0,187
40.0,371,186.0,185
41.0,382,219.0,163
42.0,348,208.0,140
43.0,420,250.0,170
44.0,486,309.0,177
45.0,518,317.0,201
46.0,588,352.0,236
47.0,602,392.0,210
48.0,626,421.0,205
49.0,750,486.0,264
50.0,722,471.0,251
51.0,758,498.0,260
52.0,828,522.0,306
53.0,852,559.0,293
54.0,873,560.0,313
55.0,960,618.0,342
56.0,1009,666.0,343
57.0,1054,655.0,399
58.0,1050,667.0,383
59.0,1059,668.0,391
60.0,1122,695.0,427
61.0,1130,730.0,400
62.0,1091,681.0,410
63.0,1171,735.0,436
64.0,1171,748.0,423
65.0,1122,698.0,424
66.0,1155,716.0,439
67.0,1121,686.0,435
68.0,1114,675.0,439
69.0,1261,784.0,477
70.0,1296,786.0,510
71.0,1441,882.0,559
72.0,1514,895.0,619
73.0,1612,959.0,653
74.0,1678,956.0,722
75.0,1533,864.0,669
76.0,1515,860.0,655
77.0,1669,963.0,706
78.0,1647,944.0,703
79.0,1799,1050.0,749
80.0,1765,951.0,814
81.0,1884,1044.0,840
82.0,2014,1073.0,941
83.0,1950,984.0,966
84.0,1829,868.0,961
85.0,1832,850.0,982
86.0,1789,794.0,995
87.0,1710,788.0,922
88.0,1657,723.0,934
89.0,1519,633.0,886
90.0,1320,528.0,792
91.0,1278,472.0,806
92.0,1072,410.0,662
93.0,890,301.0,589
94.0,724,231.0,493
95.0,575,172.0,403
96.0,438,148.0,290
97.0,308,65.0,243
98.0,191,55.0,136
99.0,131,32.0,99
100.0,73,12.0,61
101.0,50,16.0,34
102.0,21,6.0,15
103.0,8,1.0,7
104.0,3,1.0,2
105.0,1,0.0,1
106.0,1,1.0,0
107.0,3,1.0,2
108.0,1,,1
109.0,1,,1
