data,tutti,maschi,femmine
0.0,1,0,1.0
1.0,5,4,1.0
2.0,0,0,0.0
3.0,1,1,0.0
4.0,1,1,0.0
5.0,0,0,0.0
6.0,1,1,0.0
7.0,0,0,0.0
8.0,1,1,0.0
9.0,1,1,0.0
10.0,0,0,0.0
11.0,3,0,3.0
12.0,3,1,2.0
13.0,1,1,0.0
14.0,2,2,0.0
15.0,2,2,0.0
16.0,1,0,1.0
17.0,1,1,0.0
18.0,5,2,3.0
19.0,2,0,2.0
20.0,1,1,0.0
21.0,7,5,2.0
22.0,2,1,1.0
23.0,5,4,1.0
24.0,3,1,2.0
25.0,8,5,3.0
26.0,8,5,3.0
27.0,7,3,4.0
28.0,8,4,4.0
29.0,6,3,3.0
30.0,4,2,2.0
31.0,6,4,2.0
32.0,9,8,1.0
33.0,14,8,6.0
34.0,13,8,5.0
35.0,21,13,8.0
36.0,9,5,4.0
37.0,18,12,6.0
38.0,16,11,5.0
39.0,17,11,6.0
40.0,25,18,7.0
41.0,25,19,6.0
42.0,22,13,9.0
43.0,32,26,6.0
44.0,32,27,5.0
45.0,36,28,8.0
46.0,35,28,7.0
47.0,54,44,10.0
48.0,48,34,14.0
49.0,61,48,13.0
50.0,66,48,18.0
51.0,54,39,15.0
52.0,68,48,20.0
53.0,76,58,18.0
54.0,89,67,22.0
55.0,100,75,25.0
56.0,93,65,28.0
57.0,87,58,29.0
58.0,118,89,29.0
59.0,110,79,31.0
60.0,121,84,37.0
61.0,153,118,35.0
62.0,133,92,41.0
63.0,171,130,41.0
64.0,141,111,30.0
65.0,128,89,39.0
66.0,163,121,42.0
67.0,159,114,45.0
68.0,145,104,41.0
69.0,162,112,50.0
70.0,177,133,44.0
71.0,180,127,53.0
72.0,194,143,51.0
73.0,173,109,64.0
74.0,199,132,67.0
75.0,136,90,46.0
76.0,153,105,48.0
77.0,129,92,37.0
78.0,114,89,25.0
79.0,102,75,27.0
80.0,78,51,27.0
81.0,55,47,8.0
82.0,51,34,17.0
83.0,48,28,20.0
84.0,22,14,8.0
85.0,15,9,6.0
86.0,18,12,6.0
87.0,11,7,4.0
88.0,7,4,3.0
89.0,5,0,5.0
90.0,3,2,1.0
91.0,3,3,0.0
92.0,3,1,2.0
93.0,1,1,
94.0,0,0,
95.0,0,0,
96.0,0,0,
97.0,0,0,
98.0,1,1,
