data,tutti,maschi,femmine
0.0,37245,19550,17695
1.0,45520,23611,21909
2.0,47211,24429,22782
3.0,55819,28792,27027
4.0,63944,32853,31091
5.0,74884,38587,36297
6.0,83114,43041,40073
7.0,93131,48196,44935
8.0,101174,52317,48857
9.0,110186,56935,53251
10.0,117457,60891,56566
11.0,117905,61339,56566
12.0,103972,53744,50228
13.0,104581,53413,51168
14.0,101328,51033,50295
15.0,109864,55062,54802
16.0,117279,58162,59117
17.0,126738,64024,62714
18.0,131943,66021,65922
19.0,121843,62365,59478
20.0,125799,64267,61532
21.0,127980,65373,62606
22.0,127714,65224,62490
23.0,127654,64879,62774
24.0,127566,64491,63075
25.0,127482,64010,63472
26.0,126362,63229,63132
27.0,127005,63166,63839
28.0,127363,63381,63982
29.0,128913,63506,65406
30.0,127555,62507,65048
31.0,127160,62608,64552
32.0,126476,61714,64760
33.0,124091,60122,63968
34.0,122118,58863,63255
35.0,123041,58896,64145
36.0,125520,59871,65648
37.0,126973,60027,66946
38.0,129290,61291,67999
39.0,132398,61902,70496
40.0,133113,62325,70787
41.0,134585,62728,71857
42.0,140043,65329,74714
43.0,146021,68163,77858
44.0,150123,70094,80029
45.0,156206,72844,83362
46.0,162175,76116,86059
47.0,164476,77357,87119
48.0,163933,77433,86500
49.0,163057,77366,85691
50.0,161379,76709,84670
51.0,158684,76099,82584
52.0,157202,75375,81826
53.0,152945,73724,79221
54.0,151159,73296,77863
55.0,149194,72954,76240
56.0,145344,71556,73788
57.0,137538,67651,69887
58.0,127287,62792,64495
59.0,119070,58805,60265
60.0,113136,56333,56803
61.0,106262,53608,52654
62.0,97756,49297,48459
63.0,91046,45546,45500
64.0,87005,44179,42826
65.0,81748,41380,40368
66.0,76726,38925,37801
67.0,71280,36356,34924
68.0,67347,34039,33307
69.0,65294,33186,32108
70.0,65074,32821,32253
71.0,65325,32974,32351
72.0,65607,33113,32494
73.0,64401,32361,32040
74.0,62515,31174,31341
75.0,54383,27248,27135
76.0,48591,24305,24286
77.0,48488,23811,24677
78.0,47338,22967,24371
79.0,46302,22320,23982
80.0,45448,21485,23963
81.0,45148,20760,24386
82.0,43627,19684,23942
83.0,40156,17512,22644
84.0,36874,15466,21408
85.0,35307,14117,21190
86.0,33714,12957,20756
87.0,30908,11478,19428
88.0,28459,9879,18580
89.0,25810,8548,17261
90.0,24031,7473,16558
91.0,20359,5938,14421
92.0,16853,4589,12264
93.0,14140,3505,10635
94.0,11364,2525,8839
95.0,8846,1864,6982
96.0,6675,1328,5347
97.0,5127,957,4170
98.0,3520,582,2938
99.0,2439,395,2044
100.0,1655,302,1353
101.0,757,122,635
102.0,316,31,285
103.0,226,18,208
104.0,149,26,123
105.0,112,13,99
106.0,74,12,62
107.0,57,12,45
108.0,22,6,16
109.0,29,12,17
110.0,14,5,9
