data,tutti,maschi,femmine
0.0,2094,1163.0,931
1.0,671,394.0,277
2.0,386,226.0,160
3.0,288,164.0,124
4.0,233,126.0,107
5.0,243,125.0,118
6.0,202,118.0,84
7.0,220,133.0,87
8.0,220,122.0,98
9.0,246,134.0,112
10.0,285,151.0,134
11.0,291,164.0,127
12.0,290,167.0,123
13.0,312,174.0,138
14.0,317,171.0,146
15.0,398,204.0,194
16.0,409,207.0,202
17.0,504,262.0,242
18.0,587,301.0,286
19.0,590,287.0,303
20.0,730,366.0,364
21.0,819,398.0,421
22.0,954,475.0,479
23.0,1015,486.0,529
24.0,1058,485.0,573
25.0,1180,519.0,661
26.0,1303,606.0,697
27.0,1379,604.0,775
28.0,1574,674.0,900
29.0,1605,662.0,943
30.0,1733,685.0,1048
31.0,1771,768.0,1003
32.0,1981,865.0,1116
33.0,1910,857.0,1053
34.0,2082,965.0,1117
35.0,2082,1029.0,1053
36.0,2156,1118.0,1038
37.0,2276,1161.0,1115
38.0,2379,1316.0,1063
39.0,2420,1341.0,1079
40.0,2492,1420.0,1072
41.0,2656,1551.0,1105
42.0,2766,1712.0,1054
43.0,3076,1842.0,1234
44.0,3379,2149.0,1230
45.0,3746,2365.0,1381
46.0,4110,2570.0,1540
47.0,4475,2801.0,1674
48.0,4771,3064.0,1707
49.0,5120,3282.0,1838
50.0,5275,3337.0,1938
51.0,5870,3758.0,2112
52.0,6055,3873.0,2182
53.0,6343,4093.0,2250
54.0,6634,4250.0,2384
55.0,7078,4602.0,2476
56.0,7448,4899.0,2549
57.0,7342,4761.0,2581
58.0,7482,4859.0,2623
59.0,7645,4979.0,2666
60.0,7715,4929.0,2786
61.0,7823,5087.0,2736
62.0,7713,5013.0,2700
63.0,7843,5111.0,2732
64.0,7939,5168.0,2771
65.0,8148,5284.0,2864
66.0,8151,5275.0,2876
67.0,8092,5165.0,2927
68.0,8045,5171.0,2874
69.0,8731,5544.0,3187
70.0,9104,5759.0,3345
71.0,9819,6162.0,3657
72.0,10344,6411.0,3933
73.0,10778,6589.0,4189
74.0,10822,6473.0,4349
75.0,9422,5746.0,3676
76.0,9773,5878.0,3895
77.0,10117,5935.0,4182
78.0,10137,5847.0,4290
79.0,10619,6008.0,4611
80.0,11266,6354.0,4912
81.0,11093,6091.0,5002
82.0,11272,5993.0,5279
83.0,10740,5613.0,5127
84.0,10000,5053.0,4947
85.0,9770,4729.0,5041
86.0,9499,4439.0,5060
87.0,8684,4024.0,4660
88.0,7834,3450.0,4384
89.0,7192,3014.0,4178
90.0,6427,2582.0,3845
91.0,5294,2072.0,3222
92.0,4277,1585.0,2692
93.0,3540,1177.0,2363
94.0,2799,861.0,1938
95.0,2035,623.0,1412
96.0,1478,446.0,1032
97.0,1061,293.0,768
98.0,682,170.0,512
99.0,466,106.0,360
100.0,248,65.0,183
101.0,112,27.0,85
102.0,39,4.0,35
103.0,27,5.0,22
104.0,17,5.0,12
105.0,12,3.0,9
106.0,2,1.0,1
107.0,6,1.0,5
108.0,2,1.0,1
109.0,1,,1
