data,tutti,maschi,femmine
0,83,46.0,37
1,36,20.0,16
2,19,12.0,7
3,21,12.0,9
4,17,8.0,9
5,14,6.0,8
6,17,9.0,8
7,17,5.0,12
8,19,11.0,8
9,6,2.0,4
10,21,10.0,11
11,16,8.0,8
12,21,11.0,10
13,25,20.0,5
14,28,16.0,12
15,27,16.0,11
16,31,17.0,14
17,33,25.0,8
18,40,26.0,14
19,28,19.0,9
20,37,26.0,11
21,58,35.0,23
22,38,18.0,20
23,54,35.0,19
24,57,36.0,21
25,75,50.0,25
26,73,45.0,28
27,69,33.0,36
28,78,42.0,36
29,90,50.0,40
30,93,34.0,59
31,121,64.0,57
32,122,77.0,45
33,166,95.0,71
34,147,81.0,66
35,157,105.0,52
36,176,99.0,77
37,191,121.0,70
38,236,148.0,88
39,230,146.0,84
40,275,191.0,84
41,277,194.0,83
42,280,198.0,82
43,334,225.0,109
44,389,280.0,109
45,431,305.0,126
46,519,373.0,146
47,579,402.0,177
48,607,468.0,139
49,712,527.0,185
50,786,565.0,221
51,851,607.0,244
52,880,624.0,256
53,1024,750.0,274
54,1075,775.0,300
55,1211,900.0,311
56,1346,988.0,358
57,1301,953.0,348
58,1439,1068.0,371
59,1480,1087.0,393
60,1538,1097.0,441
61,1694,1233.0,461
62,1772,1312.0,460
63,1892,1374.0,518
64,1865,1346.0,519
65,1969,1390.0,579
66,2008,1445.0,563
67,2133,1503.0,630
68,2150,1558.0,592
69,2200,1495.0,705
70,2242,1580.0,662
71,2429,1676.0,753
72,2558,1777.0,781
73,2595,1759.0,836
74,2691,1760.0,931
75,2191,1461.0,730
76,2102,1420.0,682
77,2085,1359.0,726
78,1876,1219.0,657
79,1884,1199.0,685
80,1642,998.0,644
81,1495,905.0,590
82,1499,883.0,616
83,1353,799.0,554
84,1160,664.0,496
85,997,521.0,476
86,945,478.0,467
87,811,403.0,408
88,687,323.0,364
89,583,268.0,315
90,460,194.0,266
91,358,154.0,204
92,307,122.0,185
93,252,100.0,152
94,159,41.0,118
95,109,36.0,73
96,85,20.0,65
97,63,26.0,37
98,46,11.0,35
99,23,8.0,15
100,9,3.0,6
101,6,2.0,4
102,4,1.0,3
103,0,0.0,0
104,2,1.0,1
105,1,,1
