data,tutti,maschi,femmine
0.0,0,0.0,0
1.0,0,0.0,0
2.0,1,1.0,0
3.0,1,1.0,0
4.0,0,0.0,0
5.0,0,0.0,0
6.0,0,0.0,0
7.0,2,2.0,0
8.0,0,0.0,0
9.0,0,0.0,0
10.0,1,1.0,0
11.0,1,1.0,0
12.0,0,0.0,0
13.0,0,0.0,0
14.0,0,0.0,0
15.0,0,0.0,0
16.0,0,0.0,0
17.0,1,1.0,0
18.0,1,1.0,0
19.0,0,0.0,0
20.0,0,0.0,0
21.0,0,0.0,0
22.0,0,0.0,0
23.0,2,1.0,1
24.0,0,0.0,0
25.0,1,1.0,0
26.0,0,0.0,0
27.0,3,2.0,1
28.0,1,0.0,1
29.0,2,2.0,0
30.0,2,0.0,2
31.0,1,1.0,0
32.0,1,1.0,0
33.0,6,4.0,2
34.0,6,3.0,3
35.0,5,4.0,1
36.0,7,4.0,3
37.0,2,2.0,0
38.0,9,9.0,0
39.0,12,8.0,4
40.0,8,7.0,1
41.0,13,10.0,3
42.0,8,4.0,4
43.0,17,11.0,6
44.0,7,6.0,1
45.0,18,13.0,5
46.0,24,21.0,3
47.0,28,13.0,15
48.0,26,19.0,7
49.0,22,20.0,2
50.0,30,19.0,11
51.0,45,38.0,7
52.0,40,32.0,8
53.0,57,39.0,18
54.0,62,46.0,16
55.0,67,44.0,23
56.0,67,46.0,21
57.0,85,64.0,21
58.0,81,57.0,24
59.0,87,64.0,23
60.0,74,51.0,23
61.0,115,91.0,24
62.0,118,90.0,28
63.0,144,106.0,38
64.0,127,89.0,38
65.0,146,99.0,47
66.0,181,122.0,59
67.0,170,112.0,58
68.0,207,149.0,58
69.0,214,145.0,69
70.0,200,146.0,54
71.0,229,156.0,73
72.0,271,171.0,100
73.0,301,186.0,115
74.0,347,220.0,127
75.0,299,198.0,101
76.0,309,199.0,110
77.0,317,202.0,115
78.0,361,220.0,141
79.0,343,202.0,141
80.0,391,232.0,159
81.0,448,252.0,196
82.0,472,262.0,210
83.0,473,267.0,206
84.0,440,223.0,217
85.0,412,224.0,188
86.0,475,244.0,231
87.0,450,198.0,252
88.0,411,193.0,218
89.0,383,182.0,201
90.0,350,135.0,215
91.0,349,159.0,190
92.0,286,111.0,175
93.0,244,96.0,148
94.0,176,68.0,108
95.0,142,47.0,95
96.0,121,30.0,91
97.0,90,35.0,55
98.0,65,15.0,50
99.0,38,7.0,31
100.0,29,8.0,21
101.0,16,4.0,12
102.0,2,0.0,2
103.0,3,1.0,2
104.0,4,1.0,3
105.0,1,,1
106.0,0,,0
107.0,1,,1
