data,tutti,maschi,femmine
0.0,281,164.0,117
1.0,98,47.0,51
2.0,57,37.0,20
3.0,31,12.0,19
4.0,31,12.0,19
5.0,34,20.0,14
6.0,27,17.0,10
7.0,25,15.0,10
8.0,34,21.0,13
9.0,31,15.0,16
10.0,27,12.0,15
11.0,42,25.0,17
12.0,27,13.0,14
13.0,44,19.0,25
14.0,46,25.0,21
15.0,64,33.0,31
16.0,59,29.0,30
17.0,52,23.0,29
18.0,69,39.0,30
19.0,48,28.0,20
20.0,66,38.0,28
21.0,75,41.0,34
22.0,87,55.0,32
23.0,103,56.0,47
24.0,106,57.0,49
25.0,124,67.0,57
26.0,132,65.0,67
27.0,137,64.0,73
28.0,137,61.0,76
29.0,163,81.0,82
30.0,169,65.0,104
31.0,168,84.0,84
32.0,224,102.0,122
33.0,210,104.0,106
34.0,199,98.0,101
35.0,223,132.0,91
36.0,210,118.0,92
37.0,255,142.0,113
38.0,279,159.0,120
39.0,253,148.0,105
40.0,249,171.0,78
41.0,285,187.0,98
42.0,301,204.0,97
43.0,303,189.0,114
44.0,331,219.0,112
45.0,353,235.0,118
46.0,411,265.0,146
47.0,439,276.0,163
48.0,441,287.0,154
49.0,458,297.0,161
50.0,462,295.0,167
51.0,550,351.0,199
52.0,516,340.0,176
53.0,578,390.0,188
54.0,557,379.0,178
55.0,616,416.0,200
56.0,610,404.0,206
57.0,598,388.0,210
58.0,622,416.0,206
59.0,609,414.0,195
60.0,604,370.0,234
61.0,622,420.0,202
62.0,583,368.0,215
63.0,616,398.0,218
64.0,599,393.0,206
65.0,630,416.0,214
66.0,662,436.0,226
67.0,613,361.0,252
68.0,653,414.0,239
69.0,642,414.0,228
70.0,647,396.0,251
71.0,659,397.0,262
72.0,755,442.0,313
73.0,790,466.0,324
74.0,820,484.0,336
75.0,643,399.0,244
76.0,662,399.0,263
77.0,713,410.0,303
78.0,742,406.0,336
79.0,669,363.0,306
80.0,774,434.0,340
81.0,828,424.0,404
82.0,751,387.0,364
83.0,742,369.0,373
84.0,682,317.0,365
85.0,717,348.0,369
86.0,667,307.0,360
87.0,652,278.0,374
88.0,524,221.0,303
89.0,497,199.0,298
90.0,456,173.0,283
91.0,359,157.0,202
92.0,307,104.0,203
93.0,248,83.0,165
94.0,173,67.0,106
95.0,138,45.0,93
96.0,120,26.0,94
97.0,74,19.0,55
98.0,52,12.0,40
99.0,20,2.0,18
100.0,18,5.0,13
101.0,10,3.0,7
102.0,0,0.0,0
103.0,2,1.0,1
104.0,2,1.0,1
105.0,1,,1
106.0,0,,0
107.0,1,,1
