data,tutti,maschi,femmine
0,2589,1351.0,1238
1,2930,1489.0,1441
2,2945,1526.0,1419
3,3469,1798.0,1671
4,3836,2014.0,1822
5,4522,2361.0,2161
6,5058,2614.0,2444
7,5813,3062.0,2751
8,6036,3133.0,2903
9,6804,3513.0,3291
10,6764,3524.0,3240
11,7299,3751.0,3548
12,6789,3453.0,3336
13,6655,3359.0,3296
14,6249,3164.0,3085
15,6434,3143.0,3291
16,6423,3173.0,3250
17,6398,3148.0,3250
18,6323,3164.0,3159
19,5410,2709.0,2701
20,5565,2692.0,2873
21,5724,2823.0,2901
22,5646,2899.0,2747
23,5714,2838.0,2876
24,5753,2865.0,2888
25,6036,2999.0,3037
26,6098,2991.0,3107
27,6461,3154.0,3307
28,6593,3154.0,3439
29,6702,3218.0,3484
30,6944,3210.0,3734
31,6902,3261.0,3641
32,6912,3149.0,3763
33,6980,3242.0,3738
34,7008,3288.0,3720
35,6993,3210.0,3783
36,7167,3290.0,3877
37,7264,3298.0,3966
38,7374,3457.0,3917
39,7539,3513.0,4026
40,7659,3383.0,4276
41,7658,3445.0,4213
42,8009,3503.0,4506
43,8363,3705.0,4658
44,8928,3998.0,4930
45,9430,4192.0,5238
46,9894,4448.0,5446
47,10366,4714.0,5652
48,10676,4835.0,5841
49,10981,4998.0,5983
50,10883,5020.0,5863
51,10774,4906.0,5868
52,10767,4998.0,5769
53,10452,4856.0,5596
54,10422,4776.0,5646
55,10253,4699.0,5554
56,10564,4949.0,5615
57,10132,4752.0,5380
58,9239,4271.0,4968
59,8960,4192.0,4768
60,8270,3829.0,4441
61,7998,3807.0,4191
62,7317,3417.0,3900
63,7010,3297.0,3713
64,6394,2965.0,3429
65,6355,3096.0,3259
66,5704,2597.0,3107
67,5677,2648.0,3029
68,5464,2599.0,2865
69,5115,2413.0,2702
70,5124,2372.0,2752
71,5276,2487.0,2789
72,5301,2529.0,2772
73,5491,2635.0,2856
74,5482,2584.0,2898
75,5327,2511.0,2816
76,4510,2084.0,2426
77,4211,2068.0,2143
78,4312,2000.0,2312
79,4154,1972.0,2182
80,4102,1854.0,2248
81,4230,1962.0,2268
82,4161,1884.0,2277
83,3836,1693.0,2143
84,3612,1551.0,2061
85,3134,1313.0,1821
86,3006,1267.0,1739
87,2721,1039.0,1682
88,2495,949.0,1546
89,2312,787.0,1525
90,2043,717.0,1326
91,1819,592.0,1227
92,1493,458.0,1035
93,1199,327.0,872
94,950,256.0,694
95,750,175.0,575
96,541,122.0,419
97,430,99.0,331
98,279,47.0,232
99,214,32.0,182
100,128,24.0,104
101,65,9.0,56
102,43,2.0,41
103,18,0.0,18
104,13,0.0,13
105,5,0.0,5
106,6,1.0,5
107,5,0.0,5
108,5,2.0,3
109,2,,2
