data,tutti,maschi,femmine
0.0,3,1.0,2
1.0,1,1.0,0
2.0,0,0.0,0
3.0,1,1.0,0
4.0,0,0.0,0
5.0,0,0.0,0
6.0,1,0.0,1
7.0,0,0.0,0
8.0,0,0.0,0
9.0,0,0.0,0
10.0,0,0.0,0
11.0,1,1.0,0
12.0,0,0.0,0
13.0,1,0.0,1
14.0,0,0.0,0
15.0,2,0.0,2
16.0,0,0.0,0
17.0,0,0.0,0
18.0,0,0.0,0
19.0,0,0.0,0
20.0,1,0.0,1
21.0,1,0.0,1
22.0,1,0.0,1
23.0,1,1.0,0
24.0,1,1.0,0
25.0,1,0.0,1
26.0,3,1.0,2
27.0,1,1.0,0
28.0,1,0.0,1
29.0,2,2.0,0
30.0,2,2.0,0
31.0,3,2.0,1
32.0,6,2.0,4
33.0,4,3.0,1
34.0,3,2.0,1
35.0,2,1.0,1
36.0,5,3.0,2
37.0,8,3.0,5
38.0,6,5.0,1
39.0,7,4.0,3
40.0,11,7.0,4
41.0,10,9.0,1
42.0,14,11.0,3
43.0,16,12.0,4
44.0,17,11.0,6
45.0,16,11.0,5
46.0,36,22.0,14
47.0,27,16.0,11
48.0,62,47.0,15
49.0,45,33.0,12
50.0,54,36.0,18
51.0,56,35.0,21
52.0,62,39.0,23
53.0,82,69.0,13
54.0,101,74.0,27
55.0,111,85.0,26
56.0,126,97.0,29
57.0,118,90.0,28
58.0,165,121.0,44
59.0,157,120.0,37
60.0,189,130.0,59
61.0,194,146.0,48
62.0,254,191.0,63
63.0,247,186.0,61
64.0,302,223.0,79
65.0,340,263.0,77
66.0,368,276.0,92
67.0,412,296.0,116
68.0,440,320.0,120
69.0,528,386.0,142
70.0,588,423.0,165
71.0,735,512.0,223
72.0,791,582.0,209
73.0,929,668.0,261
74.0,844,593.0,251
75.0,827,583.0,244
76.0,934,637.0,297
77.0,1043,708.0,335
78.0,1072,738.0,334
79.0,1286,839.0,447
80.0,1444,978.0,466
81.0,1428,912.0,516
82.0,1492,920.0,572
83.0,1471,877.0,594
84.0,1533,880.0,653
85.0,1469,799.0,670
86.0,1445,769.0,676
87.0,1421,707.0,714
88.0,1365,633.0,732
89.0,1314,596.0,718
90.0,1188,515.0,673
91.0,1042,426.0,616
92.0,875,326.0,549
93.0,756,235.0,521
94.0,606,182.0,424
95.0,497,127.0,370
96.0,373,88.0,285
97.0,306,65.0,241
98.0,214,47.0,167
99.0,155,31.0,124
100.0,96,20.0,76
101.0,36,6.0,30
102.0,20,2.0,18
103.0,13,2.0,11
104.0,5,0.0,5
105.0,7,0.0,7
106.0,4,1.0,3
107.0,2,,2
108.0,1,,1
109.0,2,,2
