data,tutti,maschi,femmine
0.0,3217,1704.0,1513
1.0,3913,2059.0,1854
2.0,3768,1956.0,1812
3.0,4315,2222.0,2093
4.0,4693,2378.0,2315
5.0,5419,2807.0,2612
6.0,6470,3312.0,3158
7.0,7304,3693.0,3611
8.0,8431,4390.0,4041
9.0,9360,4821.0,4539
10.0,10376,5444.0,4932
11.0,10339,5462.0,4877
12.0,8924,4730.0,4194
13.0,9140,4765.0,4375
14.0,8307,4359.0,3948
15.0,8735,4502.0,4233
16.0,9912,5089.0,4823
17.0,10461,5428.0,5033
18.0,11154,5722.0,5432
19.0,10396,5487.0,4909
20.0,10668,5715.0,4953
21.0,10925,5663.0,5262
22.0,11264,5856.0,5408
23.0,11516,5791.0,5725
24.0,11627,5871.0,5756
25.0,11792,5928.0,5864
26.0,12253,6201.0,6052
27.0,12316,6073.0,6243
28.0,12333,6237.0,6096
29.0,12398,6139.0,6259
30.0,12303,6044.0,6259
31.0,12497,6099.0,6398
32.0,12553,6200.0,6353
33.0,12179,5940.0,6239
34.0,12229,5953.0,6276
35.0,12562,6045.0,6517
36.0,12604,6195.0,6409
37.0,12880,6121.0,6759
38.0,13188,6322.0,6866
39.0,13457,6460.0,6997
40.0,13631,6445.0,7186
41.0,14086,6654.0,7432
42.0,14844,7108.0,7736
43.0,15646,7488.0,8158
44.0,16077,7696.0,8381
45.0,17084,8209.0,8875
46.0,17823,8506.0,9317
47.0,18091,8759.0,9332
48.0,18225,8777.0,9448
49.0,18049,8778.0,9271
50.0,17879,8595.0,9284
51.0,18335,8903.0,9432
52.0,18063,8830.0,9233
53.0,17906,8797.0,9109
54.0,17854,8795.0,9059
55.0,17954,8949.0,9005
56.0,17270,8638.0,8632
57.0,15876,7891.0,7985
58.0,14975,7571.0,7404
59.0,14071,7182.0,6889
60.0,13290,6774.0,6516
61.0,12413,6362.0,6051
62.0,11400,5962.0,5438
63.0,10666,5553.0,5113
64.0,10297,5415.0,4882
65.0,9804,5174.0,4630
66.0,9346,4976.0,4370
67.0,8903,4671.0,4232
68.0,8520,4479.0,4041
69.0,8527,4475.0,4052
70.0,8736,4652.0,4084
71.0,8856,4692.0,4164
72.0,9110,4810.0,4300
73.0,8862,4691.0,4171
74.0,8620,4516.0,4104
75.0,7236,3817.0,3419
76.0,7312,3830.0,3482
77.0,7298,3742.0,3556
78.0,7180,3706.0,3474
79.0,7521,3668.0,3853
80.0,7853,3851.0,4002
81.0,7510,3595.0,3915
82.0,7295,3400.0,3895
83.0,6708,3031.0,3677
84.0,6238,2774.0,3464
85.0,6047,2458.0,3589
86.0,5758,2202.0,3556
87.0,5358,1920.0,3438
88.0,4940,1628.0,3312
89.0,4636,1443.0,3193
90.0,4233,1251.0,2982
91.0,3696,986.0,2710
92.0,3051,762.0,2289
93.0,2522,573.0,1949
94.0,2126,392.0,1734
95.0,1622,297.0,1325
96.0,1183,176.0,1007
97.0,926,132.0,794
98.0,680,81.0,599
99.0,455,61.0,394
100.0,366,86.0,280
101.0,132,15.0,117
102.0,57,3.0,54
103.0,39,2.0,37
104.0,25,0.0,25
105.0,19,2.0,17
106.0,12,1.0,11
107.0,11,,11
108.0,1,,1
109.0,2,,2
