data,tutti,maschi,femmine
0.0,671,377.0,294
1.0,249,138.0,111
2.0,139,76.0,63
3.0,99,60.0,39
4.0,95,50.0,45
5.0,75,39.0,36
6.0,72,40.0,32
7.0,83,47.0,36
8.0,89,43.0,46
9.0,83,47.0,36
10.0,117,65.0,52
11.0,117,59.0,58
12.0,110,64.0,46
13.0,112,69.0,43
14.0,131,73.0,58
15.0,160,73.0,87
16.0,165,79.0,86
17.0,195,99.0,96
18.0,237,119.0,118
19.0,263,119.0,144
20.0,291,152.0,139
21.0,312,154.0,158
22.0,357,165.0,192
23.0,374,179.0,195
24.0,412,185.0,227
25.0,449,182.0,267
26.0,489,234.0,255
27.0,540,229.0,311
28.0,599,259.0,340
29.0,611,242.0,369
30.0,623,232.0,391
31.0,640,266.0,374
32.0,754,304.0,450
33.0,721,325.0,396
34.0,783,349.0,434
35.0,816,364.0,452
36.0,791,400.0,391
37.0,816,394.0,422
38.0,876,466.0,410
39.0,873,457.0,416
40.0,849,433.0,416
41.0,954,516.0,438
42.0,976,564.0,412
43.0,1071,619.0,452
44.0,1187,734.0,453
45.0,1268,770.0,498
46.0,1397,831.0,566
47.0,1554,941.0,613
48.0,1635,1016.0,619
49.0,1688,1057.0,631
50.0,1737,1043.0,694
51.0,1956,1213.0,743
52.0,1999,1247.0,752
53.0,2140,1346.0,794
54.0,2183,1371.0,812
55.0,2268,1450.0,818
56.0,2360,1531.0,829
57.0,2303,1497.0,806
58.0,2358,1510.0,848
59.0,2404,1592.0,812
60.0,2289,1478.0,811
61.0,2325,1492.0,833
62.0,2367,1549.0,818
63.0,2244,1487.0,757
64.0,2406,1545.0,861
65.0,2431,1574.0,857
66.0,2411,1575.0,836
67.0,2369,1506.0,863
68.0,2350,1510.0,840
69.0,2636,1659.0,977
70.0,2731,1736.0,995
71.0,2956,1875.0,1081
72.0,3072,1929.0,1143
73.0,3208,1984.0,1224
74.0,3017,1850.0,1167
75.0,2717,1674.0,1043
76.0,2891,1744.0,1147
77.0,3013,1793.0,1220
78.0,2933,1743.0,1190
79.0,3233,1798.0,1435
80.0,3515,2033.0,1482
81.0,3301,1873.0,1428
82.0,3340,1826.0,1514
83.0,3035,1618.0,1417
84.0,2879,1530.0,1349
85.0,2731,1359.0,1372
86.0,2519,1212.0,1307
87.0,2281,1052.0,1229
88.0,2092,908.0,1184
89.0,1825,759.0,1066
90.0,1534,599.0,935
91.0,1322,514.0,808
92.0,1004,382.0,622
93.0,796,267.0,529
94.0,647,183.0,464
95.0,440,119.0,321
96.0,302,77.0,225
97.0,229,54.0,175
98.0,131,33.0,98
99.0,108,21.0,87
100.0,60,26.0,34
101.0,18,4.0,14
102.0,9,1.0,8
103.0,3,,3
104.0,2,,2
105.0,1,,1
106.0,0,,0
107.0,0,,0
108.0,0,,0
109.0,1,,1
