data,tutti,maschi,femmine
0.0,916,439.0,477
1.0,1472,718.0,754
2.0,1628,830.0,798
3.0,2314,1185.0,1129
4.0,2843,1452.0,1391
5.0,3393,1775.0,1618
6.0,3683,1843.0,1840
7.0,4165,2127.0,2038
8.0,4300,2285.0,2015
9.0,4665,2425.0,2240
10.0,4952,2532.0,2420
11.0,4902,2473.0,2429
12.0,4375,2309.0,2066
13.0,4228,2160.0,2068
14.0,3957,2056.0,1901
15.0,4150,2138.0,2012
16.0,4220,2121.0,2099
17.0,4238,2188.0,2050
18.0,4073,2018.0,2055
19.0,3522,1872.0,1650
20.0,3417,1793.0,1624
21.0,3545,1772.0,1773
22.0,3512,1822.0,1690
23.0,3569,1833.0,1736
24.0,3502,1783.0,1719
25.0,3461,1702.0,1759
26.0,3434,1702.0,1732
27.0,3410,1668.0,1742
28.0,3456,1709.0,1747
29.0,3660,1843.0,1817
30.0,3655,1779.0,1876
31.0,3742,1786.0,1956
32.0,3771,1755.0,2016
33.0,3804,1765.0,2039
34.0,3813,1738.0,2075
35.0,4079,1797.0,2282
36.0,4242,1908.0,2334
37.0,4413,2012.0,2401
38.0,4515,2029.0,2486
39.0,4645,2101.0,2544
40.0,4710,2145.0,2565
41.0,4878,2226.0,2652
42.0,5033,2330.0,2703
43.0,5174,2343.0,2831
44.0,5311,2380.0,2931
45.0,5510,2598.0,2912
46.0,5589,2567.0,3022
47.0,5546,2637.0,2909
48.0,5395,2509.0,2886
49.0,5336,2541.0,2795
50.0,5273,2531.0,2742
51.0,5083,2439.0,2644
52.0,5012,2349.0,2663
53.0,4812,2300.0,2512
54.0,4645,2283.0,2362
55.0,4739,2349.0,2390
56.0,4540,2268.0,2272
57.0,4352,2169.0,2183
58.0,3979,1935.0,2044
59.0,3744,1853.0,1891
60.0,3556,1729.0,1827
61.0,3375,1684.0,1691
62.0,3129,1536.0,1593
63.0,2894,1414.0,1480
64.0,2766,1359.0,1407
65.0,2665,1343.0,1322
66.0,2528,1242.0,1286
67.0,2285,1169.0,1116
68.0,2079,1054.0,1025
69.0,2110,1055.0,1055
70.0,2072,1030.0,1042
71.0,2093,1037.0,1056
72.0,1888,923.0,965
73.0,1928,920.0,1008
74.0,1810,888.0,922
75.0,1731,881.0,850
76.0,1501,785.0,716
77.0,1446,673.0,773
78.0,1409,673.0,736
79.0,1387,653.0,734
80.0,1417,643.0,774
81.0,1367,582.0,785
82.0,1438,620.0,818
83.0,1303,592.0,711
84.0,1218,529.0,689
85.0,1219,475.0,744
86.0,1164,431.0,733
87.0,1041,424.0,617
88.0,968,328.0,640
89.0,918,298.0,620
90.0,820,258.0,562
91.0,673,194.0,479
92.0,570,163.0,407
93.0,488,120.0,368
94.0,420,116.0,304
95.0,289,69.0,220
96.0,209,48.0,161
97.0,177,30.0,147
98.0,122,21.0,101
99.0,88,9.0,79
100.0,39,6.0,33
101.0,26,8.0,18
102.0,9,1.0,8
103.0,7,1.0,6
104.0,6,,6
105.0,4,,4
106.0,2,,2
107.0,1,,1
