data,tutti,maschi,femmine
0.0,3,1,2.0
1.0,1,1,0.0
2.0,0,0,0.0
3.0,0,0,0.0
4.0,0,0,0.0
5.0,4,3,1.0
6.0,2,1,1.0
7.0,1,0,1.0
8.0,1,0,1.0
9.0,1,0,1.0
10.0,2,1,1.0
11.0,1,0,1.0
12.0,0,0,0.0
13.0,1,1,0.0
14.0,3,1,2.0
15.0,1,1,0.0
16.0,2,1,1.0
17.0,4,3,1.0
18.0,1,0,1.0
19.0,1,0,1.0
20.0,2,0,2.0
21.0,0,0,0.0
22.0,1,0,1.0
23.0,1,0,1.0
24.0,1,0,1.0
25.0,2,1,1.0
26.0,0,0,0.0
27.0,3,0,3.0
28.0,4,0,4.0
29.0,5,1,4.0
30.0,6,1,5.0
31.0,2,1,1.0
32.0,2,1,1.0
33.0,7,4,3.0
34.0,7,4,3.0
35.0,6,0,6.0
36.0,4,1,3.0
37.0,3,2,1.0
38.0,8,4,4.0
39.0,6,1,5.0
40.0,6,4,2.0
41.0,8,7,1.0
42.0,8,5,3.0
43.0,6,3,3.0
44.0,10,8,2.0
45.0,8,7,1.0
46.0,14,9,5.0
47.0,11,7,4.0
48.0,17,9,8.0
49.0,5,2,3.0
50.0,12,8,4.0
51.0,14,8,6.0
52.0,8,4,4.0
53.0,18,12,6.0
54.0,21,13,8.0
55.0,17,15,2.0
56.0,19,11,8.0
57.0,19,11,8.0
58.0,22,11,11.0
59.0,23,13,10.0
60.0,21,11,10.0
61.0,24,14,10.0
62.0,25,18,7.0
63.0,24,16,8.0
64.0,26,18,8.0
65.0,25,21,4.0
66.0,22,13,9.0
67.0,24,18,6.0
68.0,25,20,5.0
69.0,19,12,7.0
70.0,49,33,16.0
71.0,25,15,10.0
72.0,37,28,9.0
73.0,32,20,12.0
74.0,40,22,18.0
75.0,44,28,16.0
76.0,36,23,13.0
77.0,41,26,15.0
78.0,29,10,19.0
79.0,27,16,11.0
80.0,27,16,11.0
81.0,25,15,10.0
82.0,30,13,17.0
83.0,12,5,7.0
84.0,20,9,11.0
85.0,19,7,12.0
86.0,24,13,11.0
87.0,15,9,6.0
88.0,22,10,12.0
89.0,18,9,9.0
90.0,11,3,8.0
91.0,6,2,4.0
92.0,8,3,5.0
93.0,5,1,4.0
94.0,8,1,7.0
95.0,2,0,2.0
96.0,2,0,2.0
97.0,1,1,0.0
98.0,2,1,1.0
99.0,1,0,1.0
100.0,1,0,1.0
101.0,1,1,
