data,tutti,maschi,femmine
0.0,373,195.0,178
1.0,405,206.0,199
2.0,408,214.0,194
3.0,540,293.0,247
4.0,665,308.0,357
5.0,696,354.0,342
6.0,902,453.0,449
7.0,978,542.0,436
8.0,1083,580.0,503
9.0,1193,612.0,581
10.0,1169,598.0,571
11.0,1152,622.0,530
12.0,1163,590.0,573
13.0,1191,653.0,538
14.0,1113,570.0,543
15.0,1171,628.0,543
16.0,1198,586.0,612
17.0,1294,679.0,615
18.0,1323,645.0,678
19.0,1096,563.0,533
20.0,1101,568.0,533
21.0,1091,546.0,545
22.0,1131,582.0,549
23.0,1171,594.0,577
24.0,1128,597.0,531
25.0,1112,586.0,526
26.0,1088,546.0,542
27.0,1071,534.0,537
28.0,1143,580.0,563
29.0,1056,512.0,544
30.0,1095,538.0,557
31.0,1132,595.0,537
32.0,1129,533.0,596
33.0,1076,489.0,587
34.0,1101,554.0,547
35.0,1078,502.0,576
36.0,1089,523.0,566
37.0,1164,553.0,611
38.0,1221,583.0,638
39.0,1238,573.0,665
40.0,1267,599.0,668
41.0,1260,607.0,653
42.0,1287,577.0,710
43.0,1282,585.0,697
44.0,1335,570.0,765
45.0,1401,633.0,768
46.0,1479,711.0,768
47.0,1504,721.0,783
48.0,1646,755.0,891
49.0,1612,742.0,870
50.0,1583,748.0,835
51.0,1615,792.0,823
52.0,1570,789.0,781
53.0,1616,812.0,804
54.0,1561,763.0,798
55.0,1539,730.0,809
56.0,1440,711.0,729
57.0,1355,721.0,634
58.0,1238,638.0,600
59.0,1178,572.0,606
60.0,1105,549.0,556
61.0,1037,533.0,504
62.0,919,481.0,438
63.0,825,402.0,423
64.0,765,385.0,380
65.0,768,404.0,364
66.0,700,359.0,341
67.0,624,302.0,322
68.0,640,328.0,312
69.0,609,327.0,282
70.0,565,277.0,288
71.0,579,299.0,280
72.0,573,303.0,270
73.0,568,281.0,287
74.0,623,307.0,316
75.0,518,274.0,244
76.0,502,236.0,266
77.0,553,260.0,293
78.0,548,274.0,274
79.0,549,276.0,273
80.0,505,237.0,268
81.0,486,209.0,277
82.0,453,205.0,248
83.0,413,200.0,213
84.0,367,151.0,216
85.0,391,166.0,225
86.0,373,152.0,221
87.0,352,143.0,209
88.0,306,120.0,186
89.0,293,102.0,191
90.0,249,76.0,173
91.0,228,78.0,150
92.0,161,48.0,113
93.0,146,44.0,102
94.0,116,31.0,85
95.0,119,35.0,84
96.0,84,18.0,66
97.0,62,12.0,50
98.0,47,6.0,41
99.0,29,4.0,25
100.0,18,1.0,17
101.0,10,2.0,8
102.0,5,1.0,4
103.0,4,,4
104.0,2,,2
105.0,0,,0
106.0,1,,1
