data,tutti,maschi,femmine
0.0,636,344.0,292
1.0,835,458.0,377
2.0,811,415.0,396
3.0,995,503.0,492
4.0,1147,600.0,547
5.0,1205,626.0,579
6.0,1244,659.0,585
7.0,1364,670.0,694
8.0,1530,796.0,734
9.0,1610,861.0,749
10.0,1734,925.0,809
11.0,1691,884.0,807
12.0,1662,856.0,806
13.0,1673,884.0,789
14.0,1594,786.0,808
15.0,1639,810.0,829
16.0,1807,927.0,880
17.0,1824,954.0,870
18.0,1715,828.0,887
19.0,1607,801.0,806
20.0,1767,885.0,882
21.0,1833,962.0,871
22.0,1733,914.0,819
23.0,1758,868.0,890
24.0,1787,873.0,914
25.0,1808,890.0,918
26.0,1869,897.0,972
27.0,1698,787.0,911
28.0,1794,892.0,902
29.0,1717,836.0,881
30.0,1777,837.0,940
31.0,1843,892.0,951
32.0,1721,819.0,902
33.0,1843,832.0,1011
34.0,1837,836.0,1001
35.0,1895,889.0,1006
36.0,1925,867.0,1058
37.0,1915,877.0,1038
38.0,1945,888.0,1057
39.0,1975,911.0,1064
40.0,2051,975.0,1076
41.0,2038,910.0,1128
42.0,2095,917.0,1178
43.0,2174,988.0,1186
44.0,2274,1038.0,1236
45.0,2210,980.0,1230
46.0,2410,1090.0,1320
47.0,2368,1079.0,1289
48.0,2412,1085.0,1327
49.0,2365,1113.0,1252
50.0,2366,1059.0,1307
51.0,2215,1053.0,1162
52.0,2306,1081.0,1225
53.0,2246,1062.0,1184
54.0,2224,1052.0,1172
55.0,2153,998.0,1155
56.0,2068,1015.0,1053
57.0,1960,903.0,1057
58.0,1848,898.0,950
59.0,1615,782.0,833
60.0,1568,799.0,769
61.0,1452,736.0,716
62.0,1329,689.0,640
63.0,1222,620.0,602
64.0,1162,574.0,588
65.0,1080,543.0,537
66.0,1005,501.0,504
67.0,903,477.0,426
68.0,853,462.0,391
69.0,844,441.0,403
70.0,817,434.0,383
71.0,820,417.0,403
72.0,785,437.0,348
73.0,785,403.0,382
74.0,831,387.0,444
75.0,707,371.0,336
76.0,669,352.0,317
77.0,660,326.0,334
78.0,706,331.0,375
79.0,675,336.0,339
80.0,665,318.0,347
81.0,661,313.0,348
82.0,645,293.0,352
83.0,543,228.0,315
84.0,574,238.0,336
85.0,533,207.0,326
86.0,502,186.0,316
87.0,475,171.0,304
88.0,513,172.0,341
89.0,426,152.0,274
90.0,448,135.0,313
91.0,379,85.0,294
92.0,311,97.0,214
93.0,281,69.0,212
94.0,229,53.0,176
95.0,185,39.0,146
96.0,144,23.0,121
97.0,128,22.0,106
98.0,83,13.0,70
99.0,66,12.0,54
100.0,30,4.0,26
101.0,15,,15
102.0,4,,4
103.0,0,,0
104.0,5,,5
105.0,2,,2
106.0,2,,2
107.0,1,,1
