data,tutti,maschi,femmine
0.0,0,0,0.0
1.0,0,0,0.0
2.0,0,0,0.0
3.0,0,0,0.0
4.0,0,0,0.0
5.0,0,0,0.0
6.0,0,0,0.0
7.0,0,0,0.0
8.0,0,0,0.0
9.0,0,0,0.0
10.0,0,0,0.0
11.0,0,0,0.0
12.0,0,0,0.0
13.0,1,1,0.0
14.0,0,0,0.0
15.0,0,0,0.0
16.0,0,0,0.0
17.0,0,0,0.0
18.0,0,0,0.0
19.0,0,0,0.0
20.0,0,0,0.0
21.0,1,0,1.0
22.0,1,1,0.0
23.0,0,0,0.0
24.0,0,0,0.0
25.0,0,0,0.0
26.0,1,1,0.0
27.0,1,0,1.0
28.0,0,0,0.0
29.0,1,1,0.0
30.0,0,0,0.0
31.0,1,1,0.0
32.0,1,0,1.0
33.0,1,1,0.0
34.0,1,0,1.0
35.0,2,1,1.0
36.0,1,0,1.0
37.0,3,2,1.0
38.0,3,0,3.0
39.0,1,0,1.0
40.0,5,4,1.0
41.0,6,4,2.0
42.0,4,2,2.0
43.0,2,1,1.0
44.0,3,1,2.0
45.0,7,4,3.0
46.0,10,7,3.0
47.0,11,9,2.0
48.0,10,7,3.0
49.0,16,8,8.0
50.0,18,12,6.0
51.0,29,20,9.0
52.0,19,16,3.0
53.0,26,20,6.0
54.0,34,28,6.0
55.0,40,30,10.0
56.0,38,25,13.0
57.0,34,29,5.0
58.0,38,25,13.0
59.0,48,38,10.0
60.0,65,52,13.0
61.0,77,61,16.0
62.0,79,60,19.0
63.0,75,60,15.0
64.0,82,59,23.0
65.0,117,91,26.0
66.0,107,70,37.0
67.0,104,78,26.0
68.0,150,104,46.0
69.0,140,98,42.0
70.0,176,132,44.0
71.0,206,143,63.0
72.0,220,153,67.0
73.0,255,169,86.0
74.0,270,178,92.0
75.0,238,156,82.0
76.0,295,208,87.0
77.0,339,218,121.0
78.0,349,213,136.0
79.0,368,244,124.0
80.0,470,275,195.0
81.0,456,287,169.0
82.0,521,317,204.0
83.0,485,280,205.0
84.0,559,325,234.0
85.0,554,297,257.0
86.0,547,258,289.0
87.0,504,261,243.0
88.0,501,242,259.0
89.0,536,253,283.0
90.0,466,188,278.0
91.0,397,164,233.0
92.0,340,127,213.0
93.0,302,112,190.0
94.0,216,66,150.0
95.0,146,47,99.0
96.0,136,32,104.0
97.0,114,34,80.0
98.0,71,20,51.0
99.0,48,10,38.0
100.0,26,6,20.0
101.0,11,1,10.0
102.0,7,0,7.0
103.0,3,0,3.0
104.0,5,1,4.0
105.0,2,1,1.0
106.0,1,1,
107.0,0,0,
108.0,1,1,
