data,tutti,maschi,femmine
0.0,4674,2503.0,2171
1.0,5544,2860.0,2684
2.0,5779,3038.0,2741
3.0,6997,3495.0,3502
4.0,8101,4073.0,4028
5.0,9246,4784.0,4462
6.0,10822,5654.0,5168
7.0,12105,6262.0,5843
8.0,13329,6904.0,6425
9.0,14491,7587.0,6904
10.0,15074,7858.0,7216
11.0,15474,8168.0,7306
12.0,13337,7015.0,6322
13.0,13051,6647.0,6404
14.0,12574,6182.0,6392
15.0,13280,6649.0,6631
16.0,13251,6405.0,6846
17.0,13660,6804.0,6856
18.0,13749,6536.0,7213
19.0,12115,5884.0,6231
20.0,12698,6017.0,6681
21.0,13353,6584.0,6768
22.0,13239,6553.0,6686
23.0,13842,6719.0,7122
24.0,14042,6693.0,7349
25.0,14189,6784.0,7405
26.0,14561,6830.0,7730
27.0,14713,6949.0,7764
28.0,15227,7178.0,8049
29.0,15421,7231.0,8189
30.0,15565,7258.0,8307
31.0,15824,7256.0,8568
32.0,15731,7262.0,8467
33.0,15803,7114.0,8688
34.0,15640,7104.0,8536
35.0,15802,7296.0,8506
36.0,16398,7395.0,9002
37.0,16532,7370.0,9162
38.0,17123,7682.0,9441
39.0,17726,7810.0,9916
40.0,17721,7851.0,9869
41.0,17790,7849.0,9941
42.0,18381,8174.0,10207
43.0,19344,8595.0,10749
44.0,19969,8897.0,11072
45.0,20691,9171.0,11520
46.0,21522,9733.0,11789
47.0,21744,9854.0,11890
48.0,21873,9863.0,12010
49.0,21690,9959.0,11731
50.0,21535,9720.0,11815
51.0,21018,9413.0,11604
52.0,21019,9567.0,11451
53.0,20477,9321.0,11156
54.0,20148,9232.0,10916
55.0,19990,9194.0,10796
56.0,19664,9067.0,10597
57.0,18817,8723.0,10094
58.0,17458,8029.0,9429
59.0,16141,7372.0,8769
60.0,15517,7233.0,8284
61.0,14590,6850.0,7740
62.0,13201,6257.0,6944
63.0,12511,5933.0,6578
64.0,12114,5852.0,6262
65.0,11398,5424.0,5974
66.0,10962,5238.0,5724
67.0,10254,5043.0,5211
68.0,10039,4895.0,5143
69.0,9576,4643.0,4933
70.0,9534,4584.0,4950
71.0,9739,4805.0,4934
72.0,9782,4791.0,4991
73.0,9857,4842.0,5015
74.0,9529,4717.0,4812
75.0,8656,4215.0,4441
76.0,7577,3778.0,3799
77.0,7585,3654.0,3931
78.0,7393,3484.0,3909
79.0,7496,3562.0,3934
80.0,7462,3417.0,4045
81.0,7691,3564.0,4125
82.0,7489,3426.0,4062
83.0,6930,3045.0,3885
84.0,6599,2785.0,3814
85.0,6206,2573.0,3633
86.0,5793,2196.0,3596
87.0,5414,2013.0,3399
88.0,4947,1696.0,3251
89.0,4689,1560.0,3128
90.0,4187,1284.0,2903
91.0,3613,1059.0,2554
92.0,3089,800.0,2289
93.0,2530,634.0,1896
94.0,1930,431.0,1499
95.0,1436,304.0,1132
96.0,1135,215.0,920
97.0,814,158.0,656
98.0,601,108.0,493
99.0,406,61.0,345
100.0,247,34.0,213
101.0,120,19.0,101
102.0,67,8.0,59
103.0,49,5.0,44
104.0,29,5.0,24
105.0,28,6.0,22
106.0,18,6.0,12
107.0,18,7.0,11
108.0,14,6.0,8
109.0,12,6.0,6
110.0,15,5.0,10
111.0,1,,1
