data,tutti,maschi,femmine
0.0,2,1.0,1
1.0,0,0.0,0
2.0,0,0.0,0
3.0,0,0.0,0
4.0,0,0.0,0
5.0,1,0.0,1
6.0,0,0.0,0
7.0,0,0.0,0
8.0,0,0.0,0
9.0,1,1.0,0
10.0,0,0.0,0
11.0,1,1.0,0
12.0,0,0.0,0
13.0,0,0.0,0
14.0,0,0.0,0
15.0,0,0.0,0
16.0,0,0.0,0
17.0,0,0.0,0
18.0,0,0.0,0
19.0,0,0.0,0
20.0,1,0.0,1
21.0,1,1.0,0
22.0,1,1.0,0
23.0,0,0.0,0
24.0,1,0.0,1
25.0,1,1.0,0
26.0,0,0.0,0
27.0,2,1.0,1
28.0,2,1.0,1
29.0,1,1.0,0
30.0,0,0.0,0
31.0,3,1.0,2
32.0,3,2.0,1
33.0,2,2.0,0
34.0,3,2.0,1
35.0,6,5.0,1
36.0,4,2.0,2
37.0,5,4.0,1
38.0,7,2.0,5
39.0,8,5.0,3
40.0,7,3.0,4
41.0,3,2.0,1
42.0,9,5.0,4
43.0,8,6.0,2
44.0,10,7.0,3
45.0,12,6.0,6
46.0,19,14.0,5
47.0,12,7.0,5
48.0,16,11.0,5
49.0,16,12.0,4
50.0,25,18.0,7
51.0,35,24.0,11
52.0,34,22.0,12
53.0,32,21.0,11
54.0,39,27.0,12
55.0,42,32.0,10
56.0,36,25.0,11
57.0,56,41.0,15
58.0,56,38.0,18
59.0,58,39.0,19
60.0,79,49.0,30
61.0,81,65.0,16
62.0,92,64.0,28
63.0,106,77.0,29
64.0,109,76.0,33
65.0,130,92.0,38
66.0,115,76.0,39
67.0,141,96.0,45
68.0,128,83.0,45
69.0,161,110.0,51
70.0,185,122.0,63
71.0,222,154.0,68
72.0,228,151.0,77
73.0,244,160.0,84
74.0,243,154.0,89
75.0,262,165.0,97
76.0,250,176.0,74
77.0,260,169.0,91
78.0,274,167.0,107
79.0,285,166.0,119
80.0,284,191.0,93
81.0,304,167.0,137
82.0,341,181.0,160
83.0,332,176.0,156
84.0,340,170.0,170
85.0,316,153.0,163
86.0,357,192.0,165
87.0,333,180.0,153
88.0,317,147.0,170
89.0,284,141.0,143
90.0,267,136.0,131
91.0,228,109.0,119
92.0,189,86.0,103
93.0,177,78.0,99
94.0,119,36.0,83
95.0,105,33.0,72
96.0,72,29.0,43
97.0,52,23.0,29
98.0,33,7.0,26
99.0,18,7.0,11
100.0,19,6.0,13
101.0,10,1.0,9
102.0,4,,4
103.0,2,,2
104.0,4,,4
105.0,1,,1
106.0,1,,1
