data,tutti,maschi,femmine
0.0,6116,3274.0,2842
1.0,7451,3878.0,3573
2.0,8246,4305.0,3941
3.0,10088,5229.0,4859
4.0,11880,6087.0,5793
5.0,12254,6277.0,5977
6.0,13402,6891.0,6511
7.0,14859,7717.0,7142
8.0,15682,8111.0,7571
9.0,16688,8637.0,8051
10.0,17572,9070.0,8502
11.0,17834,9217.0,8617
12.0,15963,8249.0,7714
13.0,14717,7423.0,7294
14.0,14711,7247.0,7464
15.0,15244,7361.0,7883
16.0,15895,7643.0,8252
17.0,16943,8042.0,8901
18.0,16315,7876.0,8439
19.0,12729,6143.0,6586
20.0,13293,6465.0,6828
21.0,13373,6295.0,7078
22.0,13304,6355.0,6949
23.0,13396,6285.0,7111
24.0,13365,6224.0,7141
25.0,13283,6114.0,7169
26.0,13498,6190.0,7308
27.0,13562,6105.0,7457
28.0,14284,6486.0,7798
29.0,14965,6671.0,8294
30.0,15115,6630.0,8485
31.0,15070,6620.0,8450
32.0,15501,6790.0,8711
33.0,15690,6926.0,8764
34.0,15866,7017.0,8849
35.0,15810,6985.0,8825
36.0,15952,6834.0,9118
37.0,16425,7104.0,9321
38.0,16972,7305.0,9667
39.0,17295,7488.0,9807
40.0,17705,7597.0,10108
41.0,17559,7652.0,9907
42.0,18251,7972.0,10279
43.0,18589,8255.0,10334
44.0,19259,8560.0,10699
45.0,19383,8613.0,10770
46.0,19603,8865.0,10738
47.0,19721,8856.0,10865
48.0,18517,8376.0,10141
49.0,17947,8150.0,9797
50.0,17910,8029.0,9881
51.0,17309,7871.0,9438
52.0,17222,7788.0,9434
53.0,16978,7627.0,9351
54.0,16956,7604.0,9352
55.0,16649,7495.0,9154
56.0,16412,7357.0,9055
57.0,16099,7349.0,8750
58.0,15322,6936.0,8386
59.0,14186,6396.0,7790
60.0,14069,6373.0,7696
61.0,13514,6256.0,7258
62.0,12622,5779.0,6843
63.0,11995,5546.0,6449
64.0,11766,5421.0,6345
65.0,11149,5205.0,5944
66.0,10756,5040.0,5716
67.0,9947,4697.0,5250
68.0,9356,4401.0,4955
69.0,9088,4339.0,4749
70.0,9063,4314.0,4749
71.0,9148,4357.0,4791
72.0,9049,4416.0,4633
73.0,9131,4350.0,4781
74.0,8696,4213.0,4483
75.0,8070,3835.0,4235
76.0,6654,3276.0,3378
77.0,5969,2859.0,3110
78.0,5818,2812.0,3006
79.0,5576,2685.0,2891
80.0,5140,2431.0,2709
81.0,5296,2405.0,2891
82.0,5112,2354.0,2758
83.0,4608,2057.0,2551
84.0,4286,1800.0,2486
85.0,3740,1516.0,2224
86.0,3430,1481.0,1949
87.0,3163,1237.0,1926
88.0,2909,1066.0,1843
89.0,2452,902.0,1550
90.0,2168,778.0,1390
91.0,1849,603.0,1246
92.0,1455,467.0,988
93.0,1233,366.0,867
94.0,954,263.0,691
95.0,714,187.0,527
96.0,506,142.0,364
97.0,372,113.0,259
98.0,255,59.0,196
99.0,185,38.0,147
100.0,107,21.0,86
101.0,47,6.0,41
102.0,36,7.0,29
103.0,10,0.0,10
104.0,14,2.0,12
105.0,9,1.0,8
106.0,5,1.0,4
107.0,1,1.0,0
108.0,1,,1
