data,tutti,maschi,femmine
0,466,251,215
1,164,98,66
2,94,61,33
3,83,43,40
4,53,36,17
5,41,22,19
6,34,23,11
7,32,18,14
8,37,15,22
9,25,13,12
10,26,15,11
11,21,15,6
12,31,15,16
13,31,19,12
14,26,20,6
15,31,20,11
16,29,13,16
17,47,26,21
18,45,26,19
19,48,17,31
20,55,26,29
21,77,37,40
22,67,30,37
23,83,33,50
24,89,37,52
25,92,33,59
26,83,34,49
27,119,39,80
28,130,48,82
29,145,48,97
30,142,44,98
31,160,52,108
32,144,53,91
33,171,56,115
34,159,53,106
35,153,63,90
36,151,54,97
37,184,76,108
38,183,82,101
39,138,65,73
40,150,75,75
41,170,100,70
42,176,111,65
43,211,125,86
44,214,134,80
45,242,152,90
46,239,147,92
47,269,177,92
48,279,178,101
49,314,212,102
50,326,220,106
51,365,225,140
52,419,271,148
53,348,227,121
54,408,245,163
55,457,298,159
56,511,331,180
57,483,305,178
58,511,329,182
59,504,306,198
60,579,351,228
61,591,383,208
62,574,372,202
63,632,397,235
64,591,398,193
65,645,410,235
66,621,396,225
67,679,419,260
68,592,366,226
69,668,418,250
70,689,404,285
71,775,490,285
72,833,511,322
73,856,501,355
74,823,501,322
75,830,482,348
76,757,446,311
77,757,426,331
78,756,417,339
79,760,430,330
80,690,394,296
81,808,415,393
82,797,403,394
83,803,398,405
84,757,375,382
85,703,341,362
86,686,346,340
87,669,315,354
88,576,256,320
89,529,239,290
90,481,210,271
91,393,168,225
92,294,128,166
93,245,108,137
94,186,60,126
95,133,42,91
96,107,42,65
97,60,26,34
98,40,9,31
99,22,10,12
100,19,4,15
101,8,1,7
102,4,0,4
103,1,0,1
104,2,0,2
105,0,0,0
106,2,1,1
