data,tutti,maschi,femmine
0.0,2,1,1.0
1.0,1,0,1.0
2.0,1,0,1.0
3.0,0,0,0.0
4.0,0,0,0.0
5.0,0,0,0.0
6.0,1,0,1.0
7.0,0,0,0.0
8.0,0,0,0.0
9.0,0,0,0.0
10.0,1,0,1.0
11.0,0,0,0.0
12.0,0,0,0.0
13.0,1,0,1.0
14.0,0,0,0.0
15.0,0,0,0.0
16.0,1,0,1.0
17.0,1,1,0.0
18.0,5,4,1.0
19.0,0,0,0.0
20.0,1,0,1.0
21.0,2,0,2.0
22.0,2,2,0.0
23.0,2,2,0.0
24.0,4,1,3.0
25.0,4,4,0.0
26.0,3,3,0.0
27.0,8,5,3.0
28.0,6,4,2.0
29.0,6,5,1.0
30.0,6,2,4.0
31.0,7,5,2.0
32.0,4,3,1.0
33.0,7,4,3.0
34.0,10,5,5.0
35.0,7,7,0.0
36.0,6,2,4.0
37.0,10,6,4.0
38.0,11,4,7.0
39.0,18,11,7.0
40.0,9,6,3.0
41.0,14,9,5.0
42.0,27,21,6.0
43.0,14,10,4.0
44.0,19,12,7.0
45.0,26,15,11.0
46.0,21,13,8.0
47.0,34,23,11.0
48.0,30,21,9.0
49.0,37,30,7.0
50.0,31,25,6.0
51.0,40,26,14.0
52.0,51,34,17.0
53.0,48,36,12.0
54.0,58,39,19.0
55.0,67,48,19.0
56.0,69,49,20.0
57.0,81,59,22.0
58.0,77,57,20.0
59.0,76,48,28.0
60.0,98,67,31.0
61.0,111,82,29.0
62.0,105,80,25.0
63.0,123,95,28.0
64.0,126,88,38.0
65.0,130,95,35.0
66.0,105,67,38.0
67.0,136,95,41.0
68.0,123,85,38.0
69.0,131,92,39.0
70.0,138,96,42.0
71.0,184,130,54.0
72.0,172,118,54.0
73.0,176,126,50.0
74.0,157,97,60.0
75.0,136,79,57.0
76.0,122,90,32.0
77.0,129,89,40.0
78.0,118,79,39.0
79.0,107,64,43.0
80.0,84,61,23.0
81.0,73,42,31.0
82.0,73,34,39.0
83.0,53,31,22.0
84.0,47,33,14.0
85.0,24,15,9.0
86.0,35,21,14.0
87.0,29,18,11.0
88.0,18,9,9.0
89.0,15,9,6.0
90.0,1,1,0.0
91.0,2,1,1.0
92.0,5,2,3.0
93.0,2,1,1.0
94.0,4,3,1.0
95.0,1,0,1.0
96.0,0,0,
97.0,2,2,
