data,tutti,maschi,femmine
0.0,21,8.0,13
1.0,5,4.0,1
2.0,5,3.0,2
3.0,2,2.0,0
4.0,3,2.0,1
5.0,2,2.0,0
6.0,3,1.0,2
7.0,3,2.0,1
8.0,4,3.0,1
9.0,8,4.0,4
10.0,3,0.0,3
11.0,4,4.0,0
12.0,4,2.0,2
13.0,6,5.0,1
14.0,0,0.0,0
15.0,7,4.0,3
16.0,8,4.0,4
17.0,13,6.0,7
18.0,15,9.0,6
19.0,9,4.0,5
20.0,10,5.0,5
21.0,15,6.0,9
22.0,27,12.0,15
23.0,15,8.0,7
24.0,26,14.0,12
25.0,18,7.0,11
26.0,28,12.0,16
27.0,31,16.0,15
28.0,18,10.0,8
29.0,27,9.0,18
30.0,35,14.0,21
31.0,29,10.0,19
32.0,47,20.0,27
33.0,34,11.0,23
34.0,35,13.0,22
35.0,50,21.0,29
36.0,30,14.0,16
37.0,45,23.0,22
38.0,45,25.0,20
39.0,48,27.0,21
40.0,36,16.0,20
41.0,48,20.0,28
42.0,44,30.0,14
43.0,41,19.0,22
44.0,42,31.0,11
45.0,64,42.0,22
46.0,84,55.0,29
47.0,74,48.0,26
48.0,81,52.0,29
49.0,77,52.0,25
50.0,77,46.0,31
51.0,82,44.0,38
52.0,103,62.0,41
53.0,107,75.0,32
54.0,103,68.0,35
55.0,105,78.0,27
56.0,103,60.0,43
57.0,127,78.0,49
58.0,120,76.0,44
59.0,108,69.0,39
60.0,135,93.0,42
61.0,131,81.0,50
62.0,127,74.0,53
63.0,160,99.0,61
64.0,155,101.0,54
65.0,137,85.0,52
66.0,144,95.0,49
67.0,120,79.0,41
68.0,140,90.0,50
69.0,169,101.0,68
70.0,147,87.0,60
71.0,177,115.0,62
72.0,176,104.0,72
73.0,151,83.0,68
74.0,170,107.0,63
75.0,151,90.0,61
76.0,175,96.0,79
77.0,136,84.0,52
78.0,203,125.0,78
79.0,177,101.0,76
80.0,178,96.0,82
81.0,166,84.0,82
82.0,151,66.0,85
83.0,184,91.0,93
84.0,165,83.0,82
85.0,138,62.0,76
86.0,179,86.0,93
87.0,139,56.0,83
88.0,135,50.0,85
89.0,123,47.0,76
90.0,122,58.0,64
91.0,90,30.0,60
92.0,62,24.0,38
93.0,72,32.0,40
94.0,57,19.0,38
95.0,36,23.0,13
96.0,14,3.0,11
97.0,10,6.0,4
98.0,10,2.0,8
99.0,6,3.0,3
100.0,7,1.0,6
101.0,1,,1
102.0,0,,0
103.0,0,,0
104.0,1,,1
