data,tutti,maschi,femmine
0.0,0,0.0,0
1.0,0,0.0,0
2.0,0,0.0,0
3.0,0,0.0,0
4.0,0,0.0,0
5.0,0,0.0,0
6.0,0,0.0,0
7.0,0,0.0,0
8.0,0,0.0,0
9.0,0,0.0,0
10.0,1,0.0,1
11.0,0,0.0,0
12.0,0,0.0,0
13.0,1,1.0,0
14.0,0,0.0,0
15.0,0,0.0,0
16.0,0,0.0,0
17.0,0,0.0,0
18.0,1,0.0,1
19.0,0,0.0,0
20.0,0,0.0,0
21.0,0,0.0,0
22.0,1,1.0,0
23.0,0,0.0,0
24.0,1,1.0,0
25.0,3,3.0,0
26.0,3,1.0,2
27.0,1,1.0,0
28.0,3,3.0,0
29.0,2,1.0,1
30.0,2,0.0,2
31.0,2,1.0,1
32.0,2,1.0,1
33.0,2,1.0,1
34.0,0,0.0,0
35.0,6,2.0,4
36.0,1,0.0,1
37.0,2,0.0,2
38.0,4,4.0,0
39.0,4,3.0,1
40.0,7,5.0,2
41.0,5,3.0,2
42.0,11,8.0,3
43.0,11,4.0,7
44.0,10,8.0,2
45.0,14,4.0,10
46.0,21,14.0,7
47.0,23,14.0,9
48.0,22,14.0,8
49.0,31,22.0,9
50.0,34,25.0,9
51.0,37,23.0,14
52.0,46,28.0,18
53.0,31,26.0,5
54.0,50,33.0,17
55.0,47,32.0,15
56.0,73,50.0,23
57.0,65,40.0,25
58.0,67,43.0,24
59.0,76,52.0,24
60.0,89,56.0,33
61.0,96,70.0,26
62.0,90,63.0,27
63.0,111,70.0,41
64.0,134,88.0,46
65.0,139,86.0,53
66.0,145,101.0,44
67.0,150,105.0,45
68.0,185,126.0,59
69.0,181,113.0,68
70.0,191,123.0,68
71.0,224,142.0,82
72.0,238,153.0,85
73.0,290,191.0,99
74.0,299,187.0,112
75.0,252,150.0,102
76.0,292,198.0,94
77.0,266,168.0,98
78.0,287,168.0,119
79.0,295,184.0,111
80.0,307,169.0,138
81.0,303,180.0,123
82.0,373,209.0,164
83.0,352,184.0,168
84.0,320,163.0,157
85.0,358,171.0,187
86.0,360,183.0,177
87.0,376,176.0,200
88.0,321,162.0,159
89.0,297,128.0,169
90.0,296,115.0,181
91.0,251,109.0,142
92.0,206,89.0,117
93.0,169,60.0,109
94.0,135,41.0,94
95.0,93,39.0,54
96.0,71,21.0,50
97.0,54,25.0,29
98.0,37,12.0,25
99.0,27,8.0,19
100.0,18,5.0,13
101.0,2,0.0,2
102.0,4,1.0,3
103.0,5,,5
104.0,1,,1
