data,tutti,maschi,femmine
0.0,690,376.0,314
1.0,237,132.0,105
2.0,157,93.0,64
3.0,120,67.0,53
4.0,99,60.0,39
5.0,88,47.0,41
6.0,57,36.0,21
7.0,72,34.0,38
8.0,60,33.0,27
9.0,49,22.0,27
10.0,69,35.0,34
11.0,82,47.0,35
12.0,70,37.0,33
13.0,54,31.0,23
14.0,56,32.0,24
15.0,52,30.0,22
16.0,64,27.0,37
17.0,94,51.0,43
18.0,93,37.0,56
19.0,88,36.0,52
20.0,116,40.0,76
21.0,145,43.0,102
22.0,141,46.0,95
23.0,150,50.0,100
24.0,162,50.0,112
25.0,164,57.0,107
26.0,195,49.0,146
27.0,211,65.0,146
28.0,217,59.0,158
29.0,219,62.0,157
30.0,292,82.0,210
31.0,237,70.0,167
32.0,264,84.0,180
33.0,257,71.0,186
34.0,305,86.0,219
35.0,265,86.0,179
36.0,282,116.0,166
37.0,266,105.0,161
38.0,270,119.0,151
39.0,254,115.0,139
40.0,293,138.0,155
41.0,267,132.0,135
42.0,271,148.0,123
43.0,289,149.0,140
44.0,283,181.0,102
45.0,322,189.0,133
46.0,359,226.0,133
47.0,371,233.0,138
48.0,404,249.0,155
49.0,423,272.0,151
50.0,432,284.0,148
51.0,472,304.0,168
52.0,515,327.0,188
53.0,491,305.0,186
54.0,524,320.0,204
55.0,557,351.0,206
56.0,600,377.0,223
57.0,644,393.0,251
58.0,629,395.0,234
59.0,665,419.0,246
60.0,662,391.0,271
61.0,705,449.0,256
62.0,688,399.0,289
63.0,669,411.0,258
64.0,731,463.0,268
65.0,739,443.0,296
66.0,802,491.0,311
67.0,734,471.0,263
68.0,789,490.0,299
69.0,815,512.0,303
70.0,860,515.0,345
71.0,914,549.0,365
72.0,940,577.0,363
73.0,952,568.0,384
74.0,1008,585.0,423
75.0,977,554.0,423
76.0,906,540.0,366
77.0,888,512.0,376
78.0,835,448.0,387
79.0,872,472.0,400
80.0,926,474.0,452
81.0,900,449.0,451
82.0,973,483.0,490
83.0,948,467.0,481
84.0,844,392.0,452
85.0,824,388.0,436
86.0,850,413.0,437
87.0,773,344.0,429
88.0,716,328.0,388
89.0,592,240.0,352
90.0,514,198.0,316
91.0,470,195.0,275
92.0,361,129.0,232
93.0,295,102.0,193
94.0,194,73.0,121
95.0,141,52.0,89
96.0,110,31.0,79
97.0,78,26.0,52
98.0,53,19.0,34
99.0,32,10.0,22
100.0,21,5.0,16
101.0,4,1.0,3
102.0,7,1.0,6
103.0,4,1.0,3
104.0,1,,1
105.0,2,,2
106.0,0,,0
107.0,1,,1
