data,tutti,maschi,femmine
0.0,1261,646.0,615
1.0,1607,839.0,768
2.0,1655,879.0,776
3.0,1905,1003.0,902
4.0,2070,1047.0,1023
5.0,2308,1200.0,1108
6.0,2592,1360.0,1232
7.0,2747,1398.0,1349
8.0,3113,1644.0,1469
9.0,3486,1794.0,1692
10.0,3935,1992.0,1943
11.0,3916,2026.0,1890
12.0,3414,1789.0,1625
13.0,3518,1805.0,1713
14.0,3381,1709.0,1672
15.0,3490,1794.0,1696
16.0,3898,2033.0,1865
17.0,4340,2269.0,2071
18.0,4645,2439.0,2206
19.0,4259,2271.0,1988
20.0,4290,2313.0,1977
21.0,4118,2279.0,1839
22.0,4197,2335.0,1862
23.0,4232,2343.0,1889
24.0,4161,2247.0,1914
25.0,4048,2124.0,1924
26.0,3994,2071.0,1923
27.0,3985,2097.0,1888
28.0,3992,2076.0,1916
29.0,3948,2001.0,1947
30.0,4058,2097.0,1961
31.0,3841,1958.0,1883
32.0,3935,1975.0,1960
33.0,3903,1981.0,1922
34.0,3699,1835.0,1864
35.0,3934,1898.0,2036
36.0,3775,1820.0,1955
37.0,4018,1980.0,2038
38.0,4208,2025.0,2183
39.0,4154,1955.0,2199
40.0,4310,2066.0,2244
41.0,4493,2166.0,2327
42.0,4741,2239.0,2502
43.0,5085,2458.0,2627
44.0,5224,2461.0,2763
45.0,5622,2582.0,3040
46.0,5666,2656.0,3010
47.0,5836,2726.0,3110
48.0,5854,2828.0,3026
49.0,5832,2773.0,3059
50.0,5814,2854.0,2960
51.0,5759,2831.0,2928
52.0,5600,2734.0,2866
53.0,5527,2701.0,2826
54.0,5548,2723.0,2825
55.0,5507,2771.0,2736
56.0,5476,2847.0,2629
57.0,5121,2509.0,2612
58.0,4691,2338.0,2353
59.0,4538,2237.0,2301
60.0,4252,2134.0,2118
61.0,3990,2006.0,1984
62.0,3795,1912.0,1883
63.0,3407,1692.0,1715
64.0,3337,1666.0,1671
65.0,3114,1584.0,1530
66.0,2999,1546.0,1453
67.0,2773,1438.0,1335
68.0,2665,1360.0,1305
69.0,2763,1407.0,1356
70.0,2737,1339.0,1398
71.0,2787,1342.0,1445
72.0,2777,1398.0,1379
73.0,2858,1366.0,1492
74.0,2823,1352.0,1471
75.0,2389,1190.0,1199
76.0,2221,1103.0,1118
77.0,2181,1011.0,1170
78.0,2075,1012.0,1063
79.0,2075,977.0,1098
80.0,2254,1071.0,1183
81.0,2230,993.0,1237
82.0,2162,940.0,1222
83.0,1994,888.0,1106
84.0,1775,753.0,1022
85.0,1761,708.0,1053
86.0,1595,621.0,974
87.0,1420,536.0,884
88.0,1379,482.0,897
89.0,1227,412.0,815
90.0,1193,395.0,798
91.0,959,278.0,681
92.0,830,229.0,601
93.0,705,183.0,522
94.0,543,127.0,416
95.0,459,89.0,370
96.0,371,91.0,280
97.0,265,37.0,228
98.0,208,36.0,172
99.0,106,14.0,92
100.0,76,7.0,69
101.0,40,5.0,35
102.0,7,2.0,5
103.0,9,1.0,8
104.0,7,2.0,5
105.0,9,1.0,8
106.0,2,,2
107.0,2,,2
108.0,1,,1
