data,tutti,maschi,femmine
0,0,0.0,0
1,0,0.0,0
2,0,0.0,0
3,1,1.0,0
4,0,0.0,0
5,0,0.0,0
6,0,0.0,0
7,0,0.0,0
8,0,0.0,0
9,0,0.0,0
10,0,0.0,0
11,1,1.0,0
12,0,0.0,0
13,1,1.0,0
14,0,0.0,0
15,0,0.0,0
16,1,0.0,1
17,1,0.0,1
18,1,1.0,0
19,0,0.0,0
20,1,1.0,0
21,1,0.0,1
22,0,0.0,0
23,3,3.0,0
24,1,1.0,0
25,0,0.0,0
26,2,1.0,1
27,3,2.0,1
28,0,0.0,0
29,0,0.0,0
30,0,0.0,0
31,2,1.0,1
32,2,2.0,0
33,3,3.0,0
34,1,1.0,0
35,3,3.0,0
36,3,2.0,1
37,4,1.0,3
38,3,1.0,2
39,8,2.0,6
40,3,2.0,1
41,5,3.0,2
42,9,8.0,1
43,6,5.0,1
44,8,6.0,2
45,10,6.0,4
46,7,5.0,2
47,12,7.0,5
48,5,5.0,0
49,14,9.0,5
50,16,12.0,4
51,15,10.0,5
52,16,13.0,3
53,19,12.0,7
54,21,16.0,5
55,16,10.0,6
56,19,14.0,5
57,19,15.0,4
58,25,21.0,4
59,32,27.0,5
60,38,29.0,9
61,31,25.0,6
62,29,26.0,3
63,42,32.0,10
64,23,21.0,2
65,35,25.0,10
66,38,30.0,8
67,47,36.0,11
68,28,19.0,9
69,40,32.0,8
70,57,40.0,17
71,44,36.0,8
72,46,37.0,9
73,47,40.0,7
74,54,39.0,15
75,34,22.0,12
76,39,28.0,11
77,35,18.0,17
78,29,18.0,11
79,51,39.0,12
80,22,14.0,8
81,28,17.0,11
82,19,14.0,5
83,16,12.0,4
84,10,8.0,2
85,6,4.0,2
86,8,5.0,3
87,3,0.0,3
88,3,2.0,1
89,4,2.0,2
90,3,0.0,3
91,4,2.0,2
92,1,0.0,1
93,3,2.0,1
94,2,1.0,1
95,1,,1
96,0,,0
97,0,,0
98,1,,1
