data,tutti,maschi,femmine
0.0,18,8,10.0
1.0,25,14,11.0
2.0,15,11,4.0
3.0,20,13,7.0
4.0,25,13,12.0
5.0,30,19,11.0
6.0,35,18,17.0
7.0,39,20,19.0
8.0,65,41,24.0
9.0,66,41,25.0
10.0,84,50,34.0
11.0,61,28,33.0
12.0,80,45,35.0
13.0,92,53,39.0
14.0,100,48,52.0
15.0,103,51,52.0
16.0,121,62,59.0
17.0,121,49,72.0
18.0,127,73,54.0
19.0,101,52,49.0
20.0,118,66,52.0
21.0,104,54,50.0
22.0,115,61,54.0
23.0,111,49,62.0
24.0,150,68,82.0
25.0,116,53,63.0
26.0,112,54,58.0
27.0,127,68,59.0
28.0,127,44,83.0
29.0,120,65,55.0
30.0,131,61,70.0
31.0,137,70,67.0
32.0,124,59,65.0
33.0,132,60,72.0
34.0,136,68,68.0
35.0,135,64,71.0
36.0,136,64,72.0
37.0,138,63,75.0
38.0,141,58,83.0
39.0,149,70,79.0
40.0,151,64,87.0
41.0,169,84,85.0
42.0,167,82,85.0
43.0,189,79,110.0
44.0,176,69,107.0
45.0,207,78,129.0
46.0,221,99,122.0
47.0,260,113,147.0
48.0,221,101,120.0
49.0,248,110,138.0
50.0,235,100,135.0
51.0,228,101,127.0
52.0,225,98,127.0
53.0,234,114,120.0
54.0,243,114,129.0
55.0,235,118,117.0
56.0,241,126,115.0
57.0,197,94,103.0
58.0,228,113,115.0
59.0,182,90,92.0
60.0,192,99,93.0
61.0,158,78,80.0
62.0,152,82,70.0
63.0,153,78,75.0
64.0,122,57,65.0
65.0,143,75,68.0
66.0,121,59,62.0
67.0,122,61,61.0
68.0,136,67,69.0
69.0,133,65,68.0
70.0,117,67,50.0
71.0,130,68,62.0
72.0,133,59,74.0
73.0,137,78,59.0
74.0,117,61,56.0
75.0,89,44,45.0
76.0,112,57,55.0
77.0,119,64,55.0
78.0,113,51,62.0
79.0,121,71,50.0
80.0,113,55,58.0
81.0,118,59,59.0
82.0,109,47,62.0
83.0,95,45,50.0
84.0,102,38,64.0
85.0,89,36,53.0
86.0,80,29,51.0
87.0,99,33,66.0
88.0,62,19,43.0
89.0,79,25,54.0
90.0,69,24,45.0
91.0,49,9,40.0
92.0,44,10,34.0
93.0,44,11,33.0
94.0,40,9,31.0
95.0,25,3,22.0
96.0,14,6,8.0
97.0,15,1,14.0
98.0,12,3,9.0
99.0,9,2,7.0
100.0,6,2,4.0
101.0,4,0,4.0
102.0,0,0,0.0
103.0,1,0,1.0
104.0,1,1,
