data,tutti,maschi,femmine
0.0,1912,995,917
1.0,2247,1159,1088
2.0,2182,1109,1073
3.0,2402,1229,1173
4.0,2638,1357,1281
5.0,3083,1613,1470
6.0,3371,1775,1596
7.0,3678,1895,1783
8.0,4071,2148,1923
9.0,4468,2316,2152
10.0,4828,2469,2359
11.0,5100,2689,2411
12.0,5093,2620,2473
13.0,5149,2651,2498
14.0,4560,2346,2214
15.0,4820,2499,2321
16.0,5235,2663,2572
17.0,5612,2909,2703
18.0,6057,3225,2832
19.0,6166,3349,2817
20.0,6241,3352,2889
21.0,6302,3343,2959
22.0,6339,3394,2945
23.0,6240,3304,2936
24.0,6450,3443,3007
25.0,6327,3292,3035
26.0,6229,3311,2918
27.0,6086,3189,2897
28.0,6151,3206,2945
29.0,6047,3083,2964
30.0,6175,3125,3050
31.0,6060,3070,2990
32.0,5987,2994,2993
33.0,5749,2858,2891
34.0,5781,2857,2924
35.0,6134,3033,3101
36.0,6035,3040,2995
37.0,6355,3121,3234
38.0,6391,3067,3324
39.0,6625,3165,3460
40.0,6684,3249,3435
41.0,6895,3328,3567
42.0,7502,3569,3933
43.0,7755,3773,3982
44.0,8329,4064,4265
45.0,8565,4121,4444
46.0,9145,4474,4671
47.0,9209,4395,4814
48.0,9416,4604,4812
49.0,9499,4662,4837
50.0,9569,4681,4888
51.0,9397,4616,4781
52.0,9435,4649,4786
53.0,9526,4689,4837
54.0,9534,4767,4767
55.0,9623,4787,4836
56.0,9402,4717,4685
57.0,8662,4337,4325
58.0,8152,4085,4067
59.0,7781,4032,3749
60.0,7277,3766,3511
61.0,6866,3641,3225
62.0,6128,3222,2906
63.0,5718,3002,2716
64.0,5607,2996,2611
65.0,5142,2633,2509
66.0,4855,2575,2280
67.0,4648,2476,2172
68.0,4470,2322,2148
69.0,4363,2299,2064
70.0,4438,2267,2171
71.0,4380,2286,2094
72.0,4425,2313,2112
73.0,4315,2246,2069
74.0,4461,2293,2168
75.0,3342,1722,1620
76.0,3731,1864,1867
77.0,3647,1808,1839
78.0,3590,1737,1853
79.0,3352,1640,1712
80.0,3385,1637,1748
81.0,3361,1544,1817
82.0,3397,1501,1896
83.0,3032,1275,1757
84.0,2910,1197,1713
85.0,2900,1084,1816
86.0,2834,1067,1767
87.0,2498,886,1612
88.0,2429,797,1632
89.0,2215,615,1600
90.0,2152,605,1547
91.0,1820,475,1345
92.0,1564,352,1212
93.0,1424,290,1134
94.0,1107,210,897
95.0,908,168,740
96.0,698,102,596
97.0,529,80,449
98.0,334,44,290
99.0,252,41,211
100.0,156,15,141
101.0,78,8,70
102.0,27,1,26
103.0,21,2,19
104.0,13,2,11
105.0,15,0,15
106.0,7,1,6
107.0,5,0,5
108.0,0,0,0
109.0,2,1,1
