data,tutti,maschi,femmine
0.0,293,160.0,133
1.0,41,22.0,19
2.0,33,21.0,12
3.0,22,12.0,10
4.0,20,8.0,12
5.0,22,15.0,7
6.0,16,10.0,6
7.0,17,9.0,8
8.0,20,11.0,9
9.0,27,13.0,14
10.0,26,16.0,10
11.0,29,22.0,7
12.0,32,16.0,16
13.0,23,13.0,10
14.0,26,14.0,12
15.0,23,10.0,13
16.0,28,15.0,13
17.0,36,18.0,18
18.0,34,13.0,21
19.0,36,15.0,21
20.0,43,12.0,31
21.0,56,17.0,39
22.0,62,29.0,33
23.0,90,39.0,51
24.0,66,21.0,45
25.0,95,35.0,60
26.0,95,28.0,67
27.0,101,36.0,65
28.0,115,36.0,79
29.0,106,30.0,76
30.0,135,39.0,96
31.0,131,47.0,84
32.0,145,50.0,95
33.0,163,58.0,105
34.0,182,65.0,117
35.0,144,55.0,89
36.0,174,72.0,102
37.0,182,70.0,112
38.0,177,78.0,99
39.0,195,112.0,83
40.0,197,110.0,87
41.0,199,118.0,81
42.0,217,142.0,75
43.0,255,167.0,88
44.0,259,170.0,89
45.0,294,196.0,98
46.0,345,245.0,100
47.0,389,251.0,138
48.0,359,246.0,113
49.0,432,296.0,136
50.0,479,319.0,160
51.0,543,358.0,185
52.0,568,377.0,191
53.0,604,413.0,191
54.0,624,432.0,192
55.0,669,449.0,220
56.0,717,495.0,222
57.0,679,452.0,227
58.0,725,472.0,253
59.0,764,499.0,265
60.0,773,521.0,252
61.0,821,545.0,276
62.0,836,556.0,280
63.0,786,548.0,238
64.0,797,542.0,255
65.0,804,562.0,242
66.0,813,535.0,278
67.0,858,578.0,280
68.0,918,592.0,326
69.0,893,560.0,333
70.0,979,652.0,327
71.0,1043,656.0,387
72.0,1123,705.0,418
73.0,1191,738.0,453
74.0,1253,754.0,499
75.0,1225,752.0,473
76.0,1165,694.0,471
77.0,1226,715.0,511
78.0,1245,723.0,522
79.0,1289,755.0,534
80.0,1333,780.0,553
81.0,1375,759.0,616
82.0,1461,813.0,648
83.0,1473,802.0,671
84.0,1383,723.0,660
85.0,1340,632.0,708
86.0,1365,658.0,707
87.0,1223,586.0,637
88.0,1156,539.0,617
89.0,1069,433.0,636
90.0,1028,414.0,614
91.0,878,343.0,535
92.0,670,229.0,441
93.0,631,200.0,431
94.0,503,167.0,336
95.0,362,125.0,237
96.0,255,76.0,179
97.0,202,66.0,136
98.0,129,27.0,102
99.0,78,16.0,62
100.0,40,10.0,30
101.0,17,3.0,14
102.0,10,4.0,6
103.0,4,3.0,1
104.0,4,2.0,2
105.0,2,,2
106.0,1,,1
107.0,1,,1
