data,casi,casi_media7gg
2020-02-20,6,
2020-02-21,2,
2020-02-22,3,
2020-02-23,4,15.714285714285714
2020-02-24,10,21.142857142857142
2020-02-25,46,27.571428571428573
2020-02-26,19,35.142857142857146
2020-02-27,26,44.857142857142854
2020-02-28,40,51.42857142857143
2020-02-29,48,64.0
2020-03-01,57,75.85714285714286
2020-03-02,78,90.28571428571429
2020-03-03,92,101.57142857142857
2020-03-04,107,110.42857142857143
2020-03-05,109,122.0
2020-03-06,141,131.28571428571428
2020-03-07,127,143.14285714285714
2020-03-08,119,155.85714285714286
2020-03-09,159,171.0
2020-03-10,157,185.0
2020-03-11,190,199.14285714285714
2020-03-12,198,210.42857142857142
2020-03-13,247,228.57142857142858
2020-03-14,225,245.85714285714286
2020-03-15,218,256.7142857142857
2020-03-16,238,262.57142857142856
2020-03-17,284,266.0
2020-03-18,311,277.0
2020-03-19,274,289.2857142857143
2020-03-20,288,292.42857142857144
2020-03-21,249,296.57142857142856
2020-03-22,295,292.42857142857144
2020-03-23,324,289.0
2020-03-24,306,282.0
2020-03-25,340,267.57142857142856
2020-03-26,245,253.14285714285714
2020-03-27,264,236.57142857142858
2020-03-28,200,215.42857142857142
2020-03-29,194,207.28571428571428
2020-03-30,223,190.42857142857142
2020-03-31,190,179.71428571428572
2020-04-01,192,166.14285714285714
2020-04-02,188,152.42857142857142
2020-04-03,146,144.85714285714286
2020-04-04,125,137.57142857142858
2020-04-05,99,132.57142857142858
2020-04-06,127,127.57142857142857
2020-04-07,137,122.28571428571429
2020-04-08,141,117.85714285714286
2020-04-09,153,107.57142857142857
2020-04-10,111,99.28571428571429
2020-04-11,88,90.57142857142857
2020-04-12,68,79.14285714285714
2020-04-13,55,75.85714285714286
2020-04-14,79,75.28571428571429
2020-04-15,80,77.57142857142857
2020-04-16,73,83.28571428571429
2020-04-17,88,82.42857142857143
2020-04-18,84,84.14285714285714
2020-04-19,84,86.42857142857143
2020-04-20,95,84.71428571428571
2020-04-21,73,83.85714285714286
2020-04-22,92,82.57142857142857
2020-04-23,89,77.28571428571429
2020-04-24,76,75.0
2020-04-25,78,72.0
2020-04-26,75,67.42857142857143
2020-04-27,58,64.14285714285714
2020-04-28,57,59.57142857142857
2020-04-29,71,53.714285714285715
2020-04-30,57,51.57142857142857
2020-05-01,53,49.57142857142857
2020-05-02,46,48.142857142857146
2020-05-03,34,45.0
2020-05-04,43,43.0
2020-05-05,43,40.142857142857146
2020-05-06,61,38.285714285714285
2020-05-07,35,36.0
2020-05-08,39,32.714285714285715
2020-05-09,26,28.428571428571427
2020-05-10,21,28.142857142857142
2020-05-11,27,27.142857142857142
2020-05-12,20,27.0
2020-05-13,31,26.857142857142858
2020-05-14,33,25.0
2020-05-15,32,25.285714285714285
2020-05-16,25,23.428571428571427
2020-05-17,20,21.285714285714285
2020-05-18,14,18.571428571428573
2020-05-19,22,17.142857142857142
