data,casi,casi_media7gg
2020-02-20,2,
2020-02-21,1,
2020-02-22,2,
2020-02-23,6,2.4285714285714284
2020-02-24,2,2.857142857142857
2020-02-25,0,3.2857142857142856
2020-02-26,4,3.7142857142857144
2020-02-27,5,3.5714285714285716
2020-02-28,4,4.571428571428571
2020-02-29,5,8.285714285714286
2020-03-01,5,11.142857142857142
2020-03-02,9,15.142857142857142
2020-03-03,26,20.428571428571427
2020-03-04,24,26.857142857142858
2020-03-05,33,32.285714285714285
2020-03-06,41,37.857142857142854
2020-03-07,50,41.42857142857143
2020-03-08,43,48.142857142857146
2020-03-09,48,55.57142857142857
2020-03-10,51,66.71428571428571
2020-03-11,71,65.28571428571429
2020-03-12,85,65.42857142857143
2020-03-13,119,66.57142857142857
2020-03-14,40,69.42857142857143
2020-03-15,44,67.14285714285714
2020-03-16,56,62.714285714285715
2020-03-17,71,55.285714285714285
2020-03-18,55,60.142857142857146
2020-03-19,54,64.0
2020-03-20,67,70.42857142857143
2020-03-21,74,70.42857142857143
2020-03-22,71,72.57142857142857
2020-03-23,101,74.42857142857143
2020-03-24,71,73.42857142857143
2020-03-25,70,66.71428571428571
2020-03-26,67,60.714285714285715
2020-03-27,60,53.285714285714285
2020-03-28,27,51.714285714285715
2020-03-29,29,51.42857142857143
2020-03-30,49,49.857142857142854
2020-03-31,60,47.857142857142854
2020-04-01,68,49.57142857142857
2020-04-02,56,48.285714285714285
2020-04-03,46,50.285714285714285
2020-04-04,39,55.42857142857143
2020-04-05,20,61.857142857142854
2020-04-06,63,73.0
2020-04-07,96,79.28571428571429
2020-04-08,113,81.71428571428571
2020-04-09,134,83.14285714285714
2020-04-10,90,78.71428571428571
2020-04-11,56,78.28571428571429
2020-04-12,30,72.57142857142857
2020-04-13,32,65.14285714285714
2020-04-14,93,68.85714285714286
2020-04-15,73,71.71428571428571
2020-04-16,82,79.57142857142857
2020-04-17,116,91.71428571428571
2020-04-18,76,93.71428571428571
2020-04-19,85,99.0
2020-04-20,117,102.0
2020-04-21,107,102.71428571428571
2020-04-22,110,102.0
2020-04-23,103,99.42857142857143
2020-04-24,121,97.28571428571429
2020-04-25,71,94.57142857142857
2020-04-26,67,92.14285714285714
2020-04-27,102,88.57142857142857
2020-04-28,88,79.57142857142857
2020-04-29,93,76.85714285714286
2020-04-30,78,73.14285714285714
2020-05-01,58,68.85714285714286
2020-05-02,52,65.0
2020-05-03,41,62.285714285714285
2020-05-04,72,62.0
2020-05-05,61,64.28571428571429
2020-05-06,74,64.0
2020-05-07,76,65.0
2020-05-08,74,65.85714285714286
2020-05-09,50,64.71428571428571
2020-05-10,48,62.714285714285715
2020-05-11,78,61.42857142857143
2020-05-12,53,61.42857142857143
2020-05-13,60,59.57142857142857
2020-05-14,67,58.0
2020-05-15,74,56.285714285714285
2020-05-16,37,55.857142857142854
2020-05-17,37,53.42857142857143
2020-05-18,66,49.57142857142857
2020-05-19,50,47.57142857142857
2020-05-20,43,46.57142857142857
2020-05-21,40,46.0
2020-05-22,60,45.285714285714285
2020-05-23,30,44.142857142857146
2020-05-24,33,45.42857142857143
2020-05-25,61,43.42857142857143
2020-05-26,42,41.42857142857143
2020-05-27,52,42.42857142857143
2020-05-28,26,41.0
2020-05-29,46,41.142857142857146
2020-05-30,37,38.42857142857143
2020-05-31,23,37.57142857142857
2020-06-01,62,38.857142857142854
2020-06-02,23,38.57142857142857
2020-06-03,46,35.285714285714285
2020-06-04,35,33.57142857142857
2020-06-05,44,32.57142857142857
2020-06-06,14,34.42857142857143
2020-06-07,11,32.142857142857146
2020-06-08,55,31.857142857142858
2020-06-09,36,31.714285714285715
2020-06-10,30,32.285714285714285
2020-06-11,33,33.57142857142857
2020-06-12,43,30.571428571428573
2020-06-13,18,29.285714285714285
2020-06-14,20,33.142857142857146
2020-06-15,34,33.42857142857143
2020-06-16,27,34.857142857142854
2020-06-17,57,33.57142857142857
2020-06-18,35,33.714285714285715
2020-06-19,53,37.285714285714285
2020-06-20,9,38.42857142857143
2020-06-21,21,37.0
2020-06-22,59,34.57142857142857
2020-06-23,35,33.142857142857146
2020-06-24,47,33.42857142857143
2020-06-25,18,31.571428571428573
2020-06-26,43,31.0
2020-06-27,11,30.428571428571427
2020-06-28,8,28.285714285714285
2020-06-29,55,29.142857142857142
2020-06-30,31,27.857142857142858
2020-07-01,32,27.0
2020-07-02,24,26.857142857142858
2020-07-03,34,24.428571428571427
2020-07-04,5,24.714285714285715
2020-07-05,7,24.0
2020-07-06,38,25.285714285714285
2020-07-07,33,24.857142857142858
2020-07-08,27,25.857142857142858
2020-07-09,33,27.142857142857142
2020-07-10,31,28.428571428571427
2020-07-11,12,28.714285714285715
2020-07-12,16,29.142857142857142
2020-07-13,47,27.0
2020-07-14,35,28.0
2020-07-15,30,28.857142857142858
2020-07-16,18,28.285714285714285
2020-07-17,38,28.571428571428573
2020-07-18,18,28.428571428571427
2020-07-19,12,28.714285714285715
2020-07-20,49,28.857142857142858
2020-07-21,34,27.142857142857142
2020-07-22,32,26.714285714285715
2020-07-23,19,26.428571428571427
2020-07-24,26,24.857142857142858
2020-07-25,15,23.571428571428573
2020-07-26,10,23.714285714285715
2020-07-27,38,24.714285714285715
2020-07-28,25,24.571428571428573
2020-07-29,33,24.428571428571427
2020-07-30,26,25.0
2020-07-31,25,27.428571428571427
2020-08-01,14,25.714285714285715
2020-08-02,14,24.142857142857142
2020-08-03,55,24.285714285714285
2020-08-04,13,24.571428571428573
2020-08-05,22,23.571428571428573
2020-08-06,27,22.857142857142858
2020-08-07,27,20.0
2020-08-08,7,19.714285714285715
2020-08-09,9,20.428571428571427
2020-08-10,35,18.571428571428573
2020-08-11,11,16.857142857142858
2020-08-12,27,17.714285714285715
2020-08-13,14,18.0
2020-08-14,15,18.0
2020-08-15,13,21.857142857142858
2020-08-16,11,23.0
2020-08-17,35,24.571428571428573
2020-08-18,38,24.571428571428573
2020-08-19,35,25.0
