dt_PRELIEVO,positivi,terapia intensiva,fascia di età,terapia intensiva/positivi 14gg
2020-01-29,0,,0-9 anni,
2020-01-30,0,,0-9 anni,
2020-01-31,0,,0-9 anni,
2020-02-01,0,,0-9 anni,
2020-02-02,0,,0-9 anni,
2020-02-03,0,,0-9 anni,
2020-02-04,0,,0-9 anni,
2020-02-05,0,,0-9 anni,
2020-02-06,0,,0-9 anni,
2020-02-07,0,,0-9 anni,
2020-02-08,0,,0-9 anni,
2020-02-09,0,,0-9 anni,
2020-02-10,0,,0-9 anni,
2020-02-11,0,,0-9 anni,
2020-02-12,0,,0-9 anni,
2020-02-13,0,,0-9 anni,
2020-02-14,0,,0-9 anni,
2020-02-15,0,,0-9 anni,
2020-02-16,0,,0-9 anni,
2020-02-17,0,,0-9 anni,
2020-02-18,0,,0-9 anni,
2020-02-19,0,,0-9 anni,
2020-02-20,0,0.0,0-9 anni,
2020-02-21,0,0.0,0-9 anni,
2020-02-22,0,0.0,0-9 anni,
2020-02-23,2,0.0,0-9 anni,
2020-02-24,0,0.0,0-9 anni,
2020-02-25,2,0.0,0-9 anni,
2020-02-26,1,0.0,0-9 anni,0.0
2020-02-27,2,0.0,0-9 anni,0.0
2020-02-28,2,0.0,0-9 anni,0.0
2020-02-29,6,0.0,0-9 anni,0.0
2020-03-01,2,0.0,0-9 anni,0.0
2020-03-02,4,0.0,0-9 anni,0.0
2020-03-03,5,0.0,0-9 anni,0.013157894736842105
2020-03-04,6,0.0,0-9 anni,0.011235955056179775
2020-03-05,3,0.0,0-9 anni,0.01020408163265306
2020-03-06,10,0.0,0-9 anni,0.00847457627118644
2020-03-07,5,0.0,0-9 anni,0.007692307692307693
2020-03-08,9,0.0,0-9 anni,0.0070921985815602835
2020-03-09,11,0.0,0-9 anni,0.006060606060606061
2020-03-10,10,1.0,0-9 anni,0.005235602094240838
2020-03-11,14,0.0,0-9 anni,0.0043859649122807015
2020-03-12,11,0.0,0-9 anni,0.0038461538461538464
2020-03-13,22,0.0,0-9 anni,0.0036101083032490976
2020-03-14,18,0.0,0-9 anni,0.0033112582781456954
2020-03-15,13,0.0,0-9 anni,0.003048780487804878
2020-03-16,28,0.0,0-9 anni,0.002770083102493075
2020-03-17,31,0.0,0-9 anni,0.0
2020-03-18,43,0.0,0-9 anni,0.0
2020-03-19,35,0.0,0-9 anni,0.0020876826722338203
2020-03-20,27,0.0,0-9 anni,0.0020491803278688526
2020-03-21,30,0.0,0-9 anni,0.002028397565922921
2020-03-22,35,0.0,0-9 anni,0.005836575875486381
2020-03-23,44,0.0,0-9 anni,0.005703422053231939
2020-03-24,47,0.0,0-9 anni,0.005714285714285714
2020-03-25,60,0.0,0-9 anni,0.005847953216374269
2020-03-26,46,1.0,0-9 anni,0.005836575875486381
2020-03-27,31,0.0,0-9 anni,0.0057251908396946565
2020-03-28,23,0.0,0-9 anni,0.005714285714285714
2020-03-29,34,2.0,0-9 anni,0.005952380952380952
2020-03-30,40,0.0,0-9 anni,0.006211180124223602
2020-03-31,30,0.0,0-9 anni,0.006396588486140725
2020-04-01,31,0.0,0-9 anni,0.006756756756756757
2020-04-02,36,0.0,0-9 anni,0.006944444444444444
2020-04-03,37,0.0,0-9 anni,0.007042253521126761
2020-04-04,31,0.0,0-9 anni,0.006944444444444444
2020-04-05,14,0.0,0-9 anni,0.0024330900243309003
2020-04-06,23,0.0,0-9 anni,0.005141388174807198
2020-04-07,33,0.0,0-9 anni,0.005154639175257732
2020-04-08,35,0.0,0-9 anni,0.005208333333333333
2020-04-09,34,1.0,0-9 anni,0.005221932114882507
2020-04-10,25,0.0,0-9 anni,0.005208333333333333
2020-04-11,29,0.0,0-9 anni,0.005390835579514825
2020-04-12,13,0.0,0-9 anni,0.005249343832020997
2020-04-13,18,1.0,0-9 anni,0.005277044854881266
2020-04-14,29,0.0,0-9 anni,0.0053475935828877
2020-04-15,27,0.0,0-9 anni,0.005291005291005291
2020-04-16,35,0.0,0-9 anni,0.0026954177897574125
2020-04-17,38,0.0,0-9 anni,0.002680965147453083
2020-04-18,18,0.0,0-9 anni,0.0027624309392265192
2020-04-19,24,0.0,0-9 anni,0.002793296089385475
2020-04-20,21,0.0,0-9 anni,0.0
2020-04-21,28,0.0,0-9 anni,0.0
2020-04-22,39,0.0,0-9 anni,0.002793296089385475
2020-04-23,27,0.0,0-9 anni,0.0029411764705882353
2020-04-24,27,0.0,0-9 anni,0.0031847133757961785
2020-04-25,18,0.0,0-9 anni,0.003205128205128205
2020-04-26,9,0.0,0-9 anni,0.003289473684210526
2020-04-27,21,0.0,0-9 anni,0.0033444816053511705
2020-04-28,26,0.0,0-9 anni,0.003401360544217687
2020-04-29,27,1.0,0-9 anni,0.0034965034965034965
2020-04-30,17,0.0,0-9 anni,0.0035460992907801418
2020-05-01,12,0.0,0-9 anni,0.003676470588235294
2020-05-02,16,0.0,0-9 anni,0.003745318352059925
2020-05-03,16,0.0,0-9 anni,0.0037593984962406013
2020-05-04,16,0.0,0-9 anni,0.0038461538461538464
2020-05-05,23,0.0,0-9 anni,0.00390625
2020-05-06,31,0.0,0-9 anni,0.0
2020-05-07,23,0.0,0-9 anni,0.0
2020-05-08,17,0.0,0-9 anni,0.0040650406504065045
2020-05-09,13,0.0,0-9 anni,0.0041841004184100415
2020-05-10,8,0.0,0-9 anni,0.004329004329004329
2020-05-11,15,0.0,0-9 anni,0.004524886877828055
2020-05-12,22,0.0,0-9 anni,0.004739336492890996
2020-05-13,17,0.0,0-9 anni,0.005263157894736842
2020-05-14,20,0.0,0-9 anni,0.010869565217391304
2020-05-15,9,1.0,0-9 anni,0.010810810810810811
2020-05-16,9,0.0,0-9 anni,0.011111111111111112
2020-05-17,8,0.0,0-9 anni,0.011428571428571429
2020-05-18,6,0.0,0-9 anni,0.012048192771084338
2020-05-19,13,0.0,0-9 anni,0.012658227848101266
2020-05-20,10,0.0,0-9 anni,0.013422818791946308
2020-05-21,17,1.0,0-9 anni,0.02027027027027027
2020-05-22,18,0.0,0-9 anni,0.013333333333333334
2020-05-23,8,0.0,0-9 anni,0.013888888888888888
2020-05-24,3,0.0,0-9 anni,0.014705882352941176
2020-05-25,6,0.0,0-9 anni,0.014285714285714285
2020-05-26,14,0.0,0-9 anni,0.015625
2020-05-27,8,0.0,0-9 anni,0.016260162601626018
2020-05-28,19,1.0,0-9 anni,0.008547008547008548
2020-05-29,11,0.0,0-9 anni,0.008771929824561403
2020-05-30,3,0.0,0-9 anni,0.009174311926605505
2020-05-31,0,0.0,0-9 anni,0.009174311926605505
2020-06-01,10,0.0,0-9 anni,0.009345794392523364
2020-06-02,1,0.0,0-9 anni,0.009523809523809525
2020-06-03,5,0.0,0-9 anni,0.009345794392523364
2020-06-04,11,0.0,0-9 anni,0.0
2020-06-05,15,0.0,0-9 anni,0.0
2020-06-06,3,0.0,0-9 anni,0.0
2020-06-07,3,0.0,0-9 anni,0.0
2020-06-08,4,0.0,0-9 anni,0.0
2020-06-09,12,0.0,0-9 anni,0.0
2020-06-10,10,0.0,0-9 anni,0.0
2020-06-11,18,0.0,0-9 anni,0.0
2020-06-12,11,0.0,0-9 anni,0.0
2020-06-13,9,0.0,0-9 anni,0.0
2020-06-14,4,0.0,0-9 anni,0.0
2020-06-15,14,0.0,0-9 anni,0.0
2020-06-16,8,0.0,0-9 anni,0.0
2020-06-17,12,0.0,0-9 anni,0.0
2020-06-18,7,0.0,0-9 anni,0.0
2020-06-19,14,0.0,0-9 anni,0.0
2020-06-20,9,0.0,0-9 anni,0.0
