dt_RICOVERO,ricoveri,deceduti,deceduti/ricoveri 21gg
2020-02-20,92,43.0,
2020-02-21,123,48.0,
2020-02-22,108,28.0,
2020-02-23,151,42.0,
2020-02-24,191,62.0,
2020-02-25,267,105.0,
2020-02-26,273,90.0,
2020-02-27,317,119.0,
2020-02-28,380,126.0,
2020-02-29,374,152.0,
2020-03-01,441,156.0,0.34266739696015336
2020-03-02,669,237.0,0.340153452685422
2020-03-03,817,308.0,0.33680313355153724
2020-03-04,914,310.0,0.3364841161566946
2020-03-05,1096,372.0,0.33725261410043533
2020-03-06,1226,402.0,0.33380785813064345
2020-03-07,1204,416.0,0.33086300811501834
2020-03-08,1161,401.0,0.3274086661002549
2020-03-09,1459,502.0,0.32267368949084524
2020-03-10,1585,504.0,0.3207574611670254
2020-03-11,1758,582.0,0.31725534185111215
2020-03-12,1908,624.0,0.31659183460373813
2020-03-13,2338,739.0,0.3132697311361665
2020-03-14,1995,657.0,0.30919008656468633
2020-03-15,1910,651.0,0.30812485655267385
2020-03-16,2494,754.0,0.3049053896511524
2020-03-17,2668,827.0,0.3017052428546379
2020-03-18,2711,795.0,0.2992571094409911
2020-03-19,2788,777.0,0.2975823986566489
2020-03-20,2862,861.0,0.2949228791773779
2020-03-21,2547,721.0,0.2929383794898156
2020-03-22,2198,688.0,0.29053093915514794
2020-03-23,2716,751.0,0.2878010607773237
2020-03-24,2627,703.0,0.2848432249593876
2020-03-25,2319,698.0,0.2827644236235872
2020-03-26,2130,547.0,0.28015754637829776
2020-03-27,2246,567.0,0.27850422195416163
2020-03-28,1751,468.0,0.2768821254582894
2020-03-29,1441,407.0,0.27521157020462705
2020-03-30,1688,446.0,0.2747059470154996
2020-03-31,1594,414.0,0.2726850642755579
2020-04-01,1515,399.0,0.2721053113832809
2020-04-02,1466,370.0,0.2703040399833403
2020-04-03,1271,299.0,0.27135695646202446
2020-04-04,1031,291.0,0.27186026966784815
2020-04-05,845,238.0,0.26903376018626307
2020-04-06,1036,277.0,0.26955129520916293
2020-04-07,1040,309.0,0.2703199544798004
2020-04-08,1056,273.0,0.27004706099474024
2020-04-09,1009,269.0,0.2705013039698638
2020-04-10,935,262.0,0.2712819991873222
2020-04-11,827,233.0,0.2725183086545144
2020-04-12,670,216.0,0.2735340372949899
2020-04-13,627,217.0,0.2739887806318276
2020-04-14,870,240.0,0.275175644028103
2020-04-15,722,191.0,0.2735824907205939
2020-04-16,719,180.0,0.2742340200739567
2020-04-17,734,177.0,0.2726148773954255
2020-04-18,578,145.0,0.26890575766256086
2020-04-19,473,155.0,0.26870263375103176
2020-04-20,670,186.0,0.26782197715636075
2020-04-21,613,171.0,0.2665227499169711
2020-04-22,612,171.0,0.2648700505843363
2020-04-23,597,140.0,0.2608339402767662
