dt_RICOVERO,ricoveri,terapia intensiva,terapia intensiva/ricoveri 21gg
2020-02-20,91,9.0,
2020-02-21,123,10.0,
2020-02-22,108,12.0,
2020-02-23,151,18.0,
2020-02-24,191,28.0,
2020-02-25,267,53.0,
2020-02-26,273,27.0,
2020-02-27,316,49.0,
2020-02-28,380,68.0,
2020-02-29,374,67.0,
2020-03-01,441,68.0,0.13575342465753423
2020-03-02,669,95.0,0.1341374269005848
2020-03-03,816,109.0,0.13374838986689566
2020-03-04,914,142.0,0.13312542637169866
2020-03-05,1097,149.0,0.13338719088012208
2020-03-06,1224,171.0,0.13191506671005532
2020-03-07,1203,145.0,0.13118885265342425
2020-03-08,1159,156.0,0.13023824898888625
2020-03-09,1459,193.0,0.129577376473539
2020-03-10,1585,200.0,0.1275815928791669
2020-03-11,1759,213.0,0.1262823844828058
2020-03-12,1907,229.0,0.1266999034219937
2020-03-13,2339,300.0,0.12700379078813706
2020-03-14,1998,252.0,0.12714295876508666
2020-03-15,1910,258.0,0.1268442669970859
2020-03-16,2494,299.0,0.1254090644192406
2020-03-17,2667,350.0,0.12395100681434738
2020-03-18,2712,319.0,0.12314353756224292
2020-03-19,2789,350.0,0.12243404914575892
2020-03-20,2862,321.0,0.12109533902841116
2020-03-21,2549,297.0,0.12037155943666795
2020-03-22,2199,306.0,0.11958696353662472
2020-03-23,2719,367.0,0.11873534265612785
2020-03-24,2628,345.0,0.11750716778165493
2020-03-25,2322,308.0,0.11645811096223287
2020-03-26,2130,216.0,0.11538551048430264
2020-03-27,2249,233.0,0.11489822955558232
2020-03-28,1754,176.0,0.11361756523046845
2020-03-29,1443,158.0,0.11305461866290166
2020-03-30,1692,159.0,0.11245442333525235
2020-03-31,1600,168.0,0.11167688924892952
2020-04-01,1522,148.0,0.11052246985750822
2020-04-02,1474,138.0,0.10796053261806686
2020-04-03,1280,119.0,0.10510109822436621
2020-04-04,1038,93.0,0.10156107856337106
2020-04-05,846,88.0,0.09841637697952878
2020-04-06,1040,111.0,0.09757491630603413
2020-04-07,1049,113.0,0.09771165056991211
2020-04-08,1062,110.0,0.09823966260199872
2020-04-09,1019,128.0,0.09808623914816059
2020-04-10,949,79.0,0.10004538349049467
2020-04-11,829,67.0,0.0998090793381417
2020-04-12,672,57.0,0.10050111358574611
2020-04-13,631,58.0,0.10214110214110214
2020-04-14,880,64.0,0.1038881767686016
2020-04-15,731,65.0,0.1069776284935674
2020-04-16,734,58.0,0.10778482253742075
2020-04-17,741,89.0,0.10813748132047277
2020-04-18,582,73.0,0.10816933314455614
2020-04-19,478,60.0,0.10980944613331356
2020-04-20,674,98.0,0.10855186366819702
2020-04-21,625,66.0,0.1119678451316545
2020-04-22,626,71.0,0.11470892180502928
2020-04-23,608,79.0,0.11681193278821098
2020-04-24,569,75.0,0.11754369740127624
2020-04-25,434,79.0,0.12172723720203205
2020-04-26,366,49.0,0.12479608482871125
2020-04-27,463,54.0,0.12837189465827914
2020-04-28,453,49.0,0.1295157141259367
2020-04-29,423,63.0,0.12978349912229373
2020-04-30,383,42.0,0.12906356137797187
2020-05-01,289,49.0,0.12661135928525846
2020-05-02,250,34.0,0.127059141236835
2020-05-03,189,25.0,0.12725193022590792
2020-05-04,315,29.0,0.12770792304196335
2020-05-05,303,39.0,0.12735698306168106
2020-05-06,303,43.0,0.12370097217566209
2020-05-07,305,38.0,0.12356020942408377
