data,rt_positivi,rt_positivi_err68perc,rt_sintomatici,rt_sintomatici_err68perc
2020-02-10,,,,
2020-02-11,,,,
2020-02-12,,,,
2020-02-13,,,,
2020-02-14,,,,
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,,,
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,
2020-03-02,,,,
2020-03-03,,,,
2020-03-04,,,,
2020-03-05,,,,
2020-03-06,,,,
2020-03-07,2.4912520297402523,0.8370346482035382,2.490692615575727,0.8370669320954532
2020-03-08,2.3346074068820233,0.7174664670413798,2.3303958186102602,0.7148419930869994
2020-03-09,2.1927428070592847,0.616777402200365,2.186295014450345,0.6127551181588621
2020-03-10,2.0648632379249263,0.5291656499834302,2.05666899729461,0.5241898267120969
2020-03-11,1.9350021884587836,0.44543471638967713,1.9257766754022028,0.44008150513087524
2020-03-12,1.798781789950017,0.36079376465113466,1.7893908710801896,0.3556137157593943
2020-03-13,1.6861328555603419,0.2961016303700337,1.6771376544065144,0.2914015782115467
2020-03-14,1.5672887012788892,0.22930036501814735,1.5583685383779067,0.22477594914525542
2020-03-15,1.4813324943772948,0.18844992471120026,1.473061573005234,0.1844007329805943
2020-03-16,1.4035904008912639,0.15351209099284785,1.3963461552939211,0.1501033809315439
2020-03-17,1.3309116813877357,0.12472388251919186,1.3250897246196456,0.1221312675852197
2020-03-18,1.260561171644241,0.09818734821001514,1.2562549809935382,0.09631139144765688
2020-03-19,1.1912402629401317,0.07510257566709089,1.18857446743803,0.0739574928616991
2020-03-20,1.1305071031263392,0.05536543111902439,1.1294742433848177,0.05473557079994601
2020-03-21,1.0704825307396604,0.03859788785689346,1.0709990084975152,0.038299101561124684
2020-03-22,1.014592976340882,0.028470090473736578,1.0166459390493876,0.027877616780766445
2020-03-23,0.9643800970961031,0.022475539239536647,0.9676534370279126,0.021510592794091184
2020-03-24,0.9201904638962405,0.02883789733488767,0.9246246160564744,0.027605068178378205
2020-03-25,0.8838145550980203,0.03385452805133902,0.8892038240669635,0.03247888114713306
2020-03-26,0.856501639569964,0.038076649416386776,0.8602910226548566,0.03731623236513529
2020-03-27,0.8310489139903705,0.04287472397189344,0.833107335748356,0.04267157126562269
2020-03-28,0.8099649911885182,0.04701616080740422,0.8105948555419934,0.047159048106750916
2020-03-29,0.7803278246365315,0.05245354175096298,0.7792937924188343,0.0529110074099824
2020-03-30,0.7558974713151662,0.056753549368675923,0.7532709474781265,0.05742060086684124
2020-03-31,0.7331613774207263,0.060064359635944906,0.728851186248126,0.06087335736723933
2020-04-01,0.7212405763213658,0.061612971519837134,0.7155928121905344,0.06253138790515947
2020-04-02,0.7111453352236444,0.06280450666865092,0.7042494158140638,0.06380723290005653
2020-04-03,0.7033437809225958,0.06389863841842355,0.6955545083405181,0.06497540915239415
2020-04-04,0.7003167501309892,0.06429218721099252,0.6920187615821579,0.06541455702005103
2020-04-05,0.6997294808862384,0.064364719803938,0.6918413536629209,0.06543574815328407
2020-04-06,0.7027514593192087,0.06393709281807838,0.6955578693460647,0.06492595909591768
2020-04-07,0.6980968482125679,0.06454167907390554,0.6922375871521522,0.06535235730325845
2020-04-08,0.6968117735995322,0.06472584064990858,0.6926653843155717,0.06529060118742225
2020-04-09,0.6944043239924266,0.06511650256956969,0.6942515724505416,0.06504647416660048
2020-04-10,0.6917772182020673,0.06551444173520705,0.6953340046676223,0.06488648404610647
2020-04-11,0.6917603773443647,0.0655168680594178,0.6987795740053185,0.06438365844186815
2020-04-12,0.6947501612800244,0.0651667059707034,0.7045033262105729,0.06368765746692537
2020-04-13,0.6899867198352709,0.06574877866346955,0.7019460321889037,0.06402003922450064
2020-04-14,0.6891591182726078,0.06584457685481811,0.702702882184521,0.06392520751376088
2020-04-15,0.6893451453112578,0.06581967809311345,0.7038974154725991,0.06375073859191084
2020-04-16,0.695139744660591,0.06503119325096059,0.710082938794178,0.06282812227987117
2020-04-17,0.6938388790163302,0.06520077897670493,0.7081998734924463,0.06309600061972775
2020-04-18,0.6984391199509088,0.06458183991983932,0.711546928128533,0.06261011671905452
2020-04-19,0.7102938424807347,0.06289702937380258,0.7214253371234817,0.061123711998734724
2020-04-20,0.720740717863715,0.061311264978275215,0.729260480624415,0.05989285606459597
2020-04-21,0.7246995385330146,0.060631684605805224,0.7296461355441857,0.05982649990988129
2020-04-22,0.7257175384770633,0.060458553145581635,0.7260745310589202,0.06040890491574014
2020-04-23,0.7263484765527471,0.060371106637588344,0.7263484765527471,0.060371106637588344
2020-04-24,0.7172192671341496,0.06177013270018992,0.7172192671341496,0.06177013270018992
2020-04-25,0.7156819766370237,0.0619776426719534,0.7156819766370237,0.0619776426719534
2020-04-26,0.7150751104506967,0.062079705238159366,0.7150751104506967,0.062079705238159366
2020-04-27,0.7077909888451117,0.0632072797656935,0.7077909888451117,0.0632072797656935
2020-04-28,0.697277660524132,0.06490980112650872,0.697277660524132,0.06490980112650872
2020-04-29,0.6758464841822655,0.06804037992725147,0.6758464841822655,0.06804037992725147
2020-04-30,0.6566181250581679,0.07052703730600497,0.6566181250581679,0.07052703730600497
2020-05-01,0.629645151803159,0.0736050967391077,0.629645151803159,0.0736050967391077
2020-05-02,0.6056568533783072,0.07585036382244732,0.6056568533783072,0.07585036382244732
2020-05-03,0.5749302951132409,0.07869702880902579,0.5749302951132409,0.07869702880902579
2020-05-04,0.5348202459050576,0.08177993816009835,0.5348202459050576,0.08177993816009835
2020-05-05,0.502214523825616,0.08275901078069334,0.5006327835291028,0.08284231220236123
2020-05-06,0.4700913128788127,0.08307095931589435,0.46706401841260164,0.08314971299142193
2020-05-07,0.4366640933976569,0.08322149793429291,0.4321872936064224,0.08323501532136757
2020-05-08,0.40480940116727726,0.08230986279403513,0.39908982333405774,0.08218028163221998
2020-05-09,0.38090460329939263,0.08136280487452299,0.37397235158859327,0.08107319828632834
2020-05-10,0.3685482475288816,0.08058737218868721,0.3606404871398985,0.08016617157917563
