data,rt_positivi,rt_positivi_err68perc,rt_sintomatici,rt_sintomatici_err68perc
2020-01-30,,,,
2020-01-31,,,,
2020-02-01,,,,
2020-02-02,,,,
2020-02-03,,,,
2020-02-04,,,,
2020-02-05,,,,
2020-02-06,,,,
2020-02-07,,,,
2020-02-08,,,,
2020-02-09,,,,
2020-02-10,,,,
2020-02-11,,,,
2020-02-12,,,,
2020-02-13,,,,
2020-02-14,,,,
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,1.7881544360027892,0.3707076285781387,1.7881544360027892,0.3707076285781387
2020-02-26,1.9438323233280856,0.4552919838726808,1.9438323233280856,0.4552919838726808
2020-02-27,2.040953489738181,0.5139667546806433,2.040953489738181,0.5139667546806433
2020-02-28,2.1372046290179365,0.5711520179333366,2.1372046290179365,0.5711520179333366
2020-02-29,2.16742782654617,0.5910070790621481,2.16742782654617,0.5910070790621481
2020-03-01,2.2239050454215272,0.6292205673276667,2.2239050454215272,0.6292205673276667
2020-03-02,2.249158754583281,0.6472839697226768,2.253344415178672,0.6503700714308184
2020-03-03,2.268482470745948,0.6613030560747126,2.2791203797818707,0.6692042510700296
2020-03-04,2.253067602951176,0.6494556517285536,2.267694901389577,0.660377815151726
2020-03-05,2.2873352404835665,0.6740232285552855,2.3045884137824837,0.6869682976357984
2020-03-06,2.3149294665689877,0.6946098796774848,2.335091631161697,0.7098611696320664
2020-03-07,2.345263965298985,0.7168674426798698,2.3666330933760036,0.7331343199453909
2020-03-08,2.367894287378994,0.7333031129885651,2.3889568218807704,0.7494329975869906
2020-03-09,2.3437536159166488,0.7144280054061305,2.3625773141631226,0.7287366068823357
2020-03-10,2.3863791650015234,0.7452034523262057,2.402151606595564,0.757419676392358
2020-03-11,2.395496097567559,0.7519129482873628,2.407111126589819,0.7610813507903359
2020-03-12,2.3895548071453327,0.7475114139615717,2.396096610247235,0.7528998691907369
2020-03-13,2.3532282100529742,0.7201898299742711,2.3532021396071654,0.7205943766393956
2020-03-14,2.293862729804571,0.6761261047564779,2.287028651182216,0.6714179392673331
2020-03-15,2.2262424447477587,0.6283070306176758,2.2125219924359443,0.6186627742536714
2020-03-16,2.154731191040871,0.5791467129834446,2.1381983175501715,0.5677705026285768
2020-03-17,2.0740335484798145,0.5252863051692483,2.0579645696331244,0.5146505589924378
2020-03-18,2.0014400769748177,0.4789173416542227,1.985879727890269,0.4688896881933516
2020-03-19,1.9075246378630677,0.42025748679207175,1.8925971413540073,0.4109251974736718
2020-03-20,1.8228165856039826,0.370716716394114,1.8093728408181402,0.3626796700682442
2020-03-21,1.7220088430782878,0.31450607554654586,1.7101871778506026,0.30782280879427487
2020-03-22,1.6101056668740645,0.2542894776635211,1.5992636209225168,0.24867481782570544
2020-03-23,1.5161887494199995,0.20906758915998822,1.5057197047334108,0.20408602524339997
2020-03-24,1.416323651626849,0.16399322962616855,1.406141856607887,0.15966241546956614
2020-03-25,1.319022019574224,0.12330648979291806,1.3094042080432835,0.11971487302121009
2020-03-26,1.228540962634466,0.09012702501392547,1.2196622748198553,0.08734349968365353
2020-03-27,1.1438243826419379,0.06623377471453008,1.1355775096143454,0.0640757236216962
2020-03-28,1.0645161834462067,0.05033351934196359,1.0566784541244663,0.04903362014456257
2020-03-29,0.9859257163782938,0.040048825585500346,0.9791864915342205,0.039760870248499905
2020-03-30,0.9149863411186434,0.040286915431211316,0.9090139948756655,0.04059987014875588
2020-03-31,0.8536086913189573,0.045248162123787704,0.8481322165783701,0.04572914572224012
2020-04-01,0.7987679176620575,0.05272041112807075,0.793769401578371,0.05331212712438404
2020-04-02,0.7545383916855153,0.05848653622048425,0.7506725895576197,0.05897033203163466
2020-04-03,0.7144187294865465,0.06391975655488942,0.7116161616661744,0.06421809010946773
2020-04-04,0.686444136191579,0.06689505886997113,0.6847868144552995,0.06707590384346789
