data,rt_positivi,rt_positivi_err68perc,rt_sintomatici,rt_sintomatici_err68perc
2020-01-31,,,,
2020-02-01,,,,
2020-02-02,,,,
2020-02-03,,,,
2020-02-04,,,,
2020-02-05,,,,
2020-02-06,,,,
2020-02-07,,,,
2020-02-08,,,,
2020-02-09,,,,
2020-02-10,,,,
2020-02-11,,,,
2020-02-12,,,,
2020-02-13,,,,
2020-02-14,,,,
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,1.7498045593230964,0.34767147018063554,2.2347551362957483,0.7471230234263625
2020-02-27,1.9172048064690912,0.4333540031264545,2.6250856126926987,0.9763496671296158
2020-02-28,2.0290801126977493,0.5024007946983645,2.8257775214999423,1.1340396815492977
2020-02-29,2.1109398348342205,0.5553105374248964,2.943814465442248,1.2298293526414552
2020-03-01,2.2143283012197394,0.6298484769452773,3.071543933484363,1.3431209138497104
2020-03-02,2.33851660159621,0.7171375197295806,3.107190495066439,1.3758181141198085
2020-03-03,2.402816681970918,0.7637413021415881,2.9924784989668436,1.2708797790572692
2020-03-04,2.385616565892536,0.7511091930783965,2.749503327028757,1.0489861732192898
2020-03-05,2.429779035347668,0.7820770737124018,2.6380180646361757,0.9598328488641247
2020-03-06,2.369145752778357,0.7362662892126018,2.4620670070532342,0.8152695067683542
2020-03-07,2.306961312659754,0.6891509988176093,2.3190583482604965,0.7083799126312601
2020-03-08,2.2977847454153397,0.6826180374819297,2.2108855609083506,0.6312206492154566
2020-03-09,2.2768722526910894,0.6674152089476879,2.125102692721982,0.5715463625307171
2020-03-10,2.269635326195728,0.6621214691114838,2.052871322160537,0.5217693773433447
2020-03-11,2.2347240442415712,0.6360144485646262,1.959771359598464,0.4596029935340341
2020-03-12,2.200213511170199,0.6106800909053264,1.8604256833082693,0.39319585488051995
2020-03-13,2.1673869564094415,0.5873405764223831,1.768918703621222,0.3399919925789603
2020-03-14,2.1170267428298937,0.55183278037077,1.6490262027759408,0.27162184406182444
2020-03-15,2.117699588414503,0.5522708877209684,1.6252581981451253,0.2597277588121028
2020-03-16,2.1061754210685564,0.5449284364535267,1.6115821621779334,0.25336447405530194
2020-03-17,2.070390267522983,0.5223933468819257,1.581497553467547,0.23847230069785055
2020-03-18,2.0025137928036503,0.4789485292388398,1.5399092807650134,0.21737302034649736
2020-03-19,1.926380536171466,0.4321949760321993,1.506259399104418,0.1997834137588374
2020-03-20,1.839478286375299,0.37984905522608114,1.4837130074823937,0.18871928924172104
2020-03-21,1.747740043854384,0.32751124706185275,1.4415471297321696,0.16766572069111746
2020-03-22,1.6428436835321851,0.2703081421924462,1.3963723875785303,0.14688891836381374
2020-03-23,1.5409834111803669,0.21826586990313207,1.35320977652299,0.1294838791495507
2020-03-24,1.444506731153685,0.17443551812682775,1.3188117264710058,0.11806530137337534
2020-03-25,1.3610632313852782,0.1392223138697846,1.2877601481924534,0.10757074117331131
2020-03-26,1.2811932732183438,0.1085860495716794,1.2573799254418738,0.0994163899447179
2020-03-27,1.2039579340500572,0.08107100954877222,1.217671098394165,0.08519352521046303
2020-03-28,1.1318393910048428,0.05802828770779295,1.16281644724169,0.06344999295048277
2020-03-29,1.060828416452405,0.04181998318250495,1.0981685319714618,0.04831013458570934
2020-03-30,0.9984399646387754,0.0318182799399446,1.036471244179427,0.03381165061242374
2020-03-31,0.9424512370945626,0.02881491191222161,0.9750036882124834,0.029484692986812243
2020-04-01,0.8998919286604379,0.0322118662265,0.9305010056555276,0.02881712449784758
2020-04-02,0.8704219141885622,0.03514135007968696,0.8969451923332462,0.03396419422004625
2020-04-03,0.8532676898702501,0.037747847671033924,0.8712442169997464,0.038522940705335795
2020-04-04,0.8413718116697739,0.039790018598489324,0.848848448910233,0.04293390052299774
2020-04-05,0.8348218754295745,0.04092159426223119,0.8298831589542429,0.04606443171294259
2020-04-06,0.8324286789155712,0.041370987134708916,0.8116454032489477,0.04852901869366714
2020-04-07,0.8306604707844045,0.04166570648373374,0.8000690017650323,0.04961168433597005
2020-04-08,0.825600272226133,0.04279135802586304,0.7876677360150653,0.051537752223146834
2020-04-09,0.8217627391899324,0.0436337118955547,0.7784017198076022,0.052656334621649425
2020-04-10,0.8246246942879715,0.04303251261433862,0.7876190666340733,0.05096239353101763
2020-04-11,0.8323324079403551,0.04143206332083193,0.827325677834518,0.04428479079897094
2020-04-12,0.8335701123423226,0.041200770378678406,0.8544003995601647,0.0412192647502322
2020-04-13,0.8290608595454274,0.042163778596195925,0.8853063624638651,0.03618829448354729
