data,rt_positivi,rt_positivi_err68perc,rt_sintomatici,rt_sintomatici_err68perc
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,,,
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,
2020-03-02,,,,
2020-03-03,,,,
2020-03-04,,,,
2020-03-05,,,,
2020-03-06,,,,
2020-03-07,,,,
2020-03-08,,,,
2020-03-09,,,,
2020-03-10,,,,
2020-03-11,,,,
2020-03-12,,,,
2020-03-13,,,,
2020-03-14,,,,
2020-03-15,,,,
2020-03-16,,,,
2020-03-17,2.423213456343174,0.7811858845045035,2.423213456343174,0.7811858845045035
2020-03-18,2.303998297839493,0.6957210013978502,2.303998297839493,0.6957210013978502
2020-03-19,2.1426326517387744,0.5816301202004639,2.1426326517387744,0.5816301202004639
2020-03-20,1.9860691163615856,0.47945431055370735,1.9860691163615856,0.47945431055370735
2020-03-21,1.831673277766947,0.38685976164452485,1.831673277766947,0.38685976164452485
2020-03-22,1.676190377024056,0.30010104374234425,1.676190377024056,0.30010104374234425
2020-03-23,1.5265063954506066,0.22317729766044486,1.5265063954506066,0.22317729766044486
2020-03-24,1.3914729474193719,0.1637284049604858,1.3914729474193719,0.1637284049604858
2020-03-25,1.2612668500918935,0.11134673695162213,1.2612668500918935,0.11134673695162213
2020-03-26,1.143761298981863,0.0805582352672439,1.143761298981863,0.0805582352672439
2020-03-27,1.0277951827793317,0.05544449091412852,1.0277951827793317,0.05544449091412852
2020-03-28,0.9207888648427076,0.0528826874049982,0.9207888648427076,0.0528826874049982
2020-03-29,0.8178750979962361,0.06360078070041217,0.8178750979962361,0.06360078070041217
2020-03-30,0.7304414347248741,0.07233168693601019,0.7304414347248741,0.07233168693601019
2020-03-31,0.6481462469591174,0.07823648077224718,0.6481462469591174,0.07823648077224718
2020-04-01,0.5882042053055209,0.08068246477030867,0.5882042053055209,0.08068246477030867
2020-04-02,0.5381302945578792,0.08239264372913549,0.5381302945578792,0.08239264372913549
2020-04-03,0.49763125371425526,0.08297555712909623,0.49763125371425526,0.08297555712909623
2020-04-04,0.4686834580753671,0.08284999446210413,0.4686834580753671,0.08284999446210413
2020-04-05,0.45102245642385624,0.08261994622788366,0.45102245642385624,0.08261994622788366
2020-04-06,0.44033799017494774,0.08248711207679053,0.44033799017494774,0.08248711207679053
2020-04-07,0.4362741612046715,0.0824230153628594,0.4362741612046715,0.0824230153628594
2020-04-08,0.44768699379056304,0.08254642191085712,0.44768699379056304,0.08254642191085712
2020-04-09,0.46800720878150004,0.08280335547407297,0.46800720878150004,0.08280335547407297
2020-04-10,0.5143663056138807,0.08258506729552095,0.5143663056138807,0.08258506729552095
2020-04-11,0.5598057164248134,0.08105310575421361,0.5598057164248134,0.08105310575421361
2020-04-12,0.6107537588195882,0.07914561382951307,0.6107537588195882,0.07914561382951307
2020-04-13,0.6495090854227451,0.07577506585815597,0.6495090854227451,0.07577506585815597
