date,Rt_confirmed,Rt_confirmed_err68perc,Rt_symptomatic,Rt_symptomatic_err68perc
2020-01-31,,,,
2020-02-01,,,,
2020-02-02,,,,
2020-02-03,,,,
2020-02-04,,,,
2020-02-05,,,,
2020-02-06,,,,
2020-02-07,,,,
2020-02-08,,,,
2020-02-09,,,,
2020-02-10,,,,
2020-02-11,,,,
2020-02-12,,,,
2020-02-13,,,,
2020-02-14,,,,
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,3.403402377204271,1.6768372757631596,3.403402377204271,1.6768372757631596
2020-02-27,3.4496813883993993,1.72218484918263,3.4496813883993993,1.72218484918263
2020-02-28,3.426353831859772,1.6982446559982867,3.426353831859772,1.6982446559982867
2020-02-29,3.43347605016024,1.705302227281668,3.43347605016024,1.705302227281668
2020-03-01,3.3742924137981287,1.6438750035513887,3.3742924137981287,1.6438750035513887
2020-03-02,3.181482009288429,1.4402932982007062,3.181482009288429,1.4402932982007062
2020-03-03,3.124349842241299,1.3847957376184,3.124349842241299,1.3847957376184
2020-03-04,3.1055088043704355,1.3672619426281964,3.1055088043704355,1.3672619426281964
2020-03-05,3.101141259136018,1.3632680452171482,3.101141259136018,1.3632680452171482
2020-03-06,2.9983822874957844,1.2669901924788034,2.9983822874957844,1.2669901924788034
2020-03-07,2.8804265733889203,1.1580144462400566,2.8804265733889203,1.1580144462400566
2020-03-08,2.7784258866732614,1.0658518403136084,2.777690686213758,1.0652314854308729
2020-03-09,2.7288270465005047,1.0232411832652257,2.7275934116362373,1.0222125883235045
2020-03-10,2.6798612103597526,0.9824322284199823,2.678305757857577,0.9811540510879178
2020-03-11,2.5964197966516016,0.9140438554119962,2.594693138043998,0.9126550172447871
2020-03-12,2.4809785970783675,0.8210285495512201,2.4792156210947898,0.8196471994299407
2020-03-13,2.3859681239885147,0.7482270651930761,2.3842716457403106,0.7469239290551967
2020-03-14,2.2656612142624075,0.6589015893659677,2.2641171995187177,0.6577420520985774
2020-03-15,2.164934736729091,0.5901780826051367,2.163595687479558,0.589183447684027
2020-03-16,2.0531390393161537,0.5162591772617428,2.052069377472613,0.5154664169105571
2020-03-17,1.938452262644256,0.44451418209668914,1.937695377625158,0.4439395534760547
2020-03-18,1.8185839292411912,0.37272957358652664,1.818176589467597,0.3723861433832954
2020-03-19,1.7001186779844057,0.3064000494270666,1.7000825135848594,0.3062890001910415
2020-03-20,1.5849503750860479,0.24448484862687184,1.5853065249158798,0.24461628690208964
2020-03-21,1.4756078550636467,0.18951790557937354,1.4763649434832384,0.18990209460294405
2020-03-22,1.375260328406216,0.14463901194431486,1.376034320742978,0.1449599943084124
2020-03-23,1.2794429319360086,0.10803062355509291,1.2802435235793244,0.10829416027164707
2020-03-24,1.1860916341891523,0.07830206074009677,1.186908958190999,0.07849765712736469
2020-03-25,1.0982292344187905,0.05547236434499902,1.0990462276944135,0.055582526595701426
2020-03-26,1.0181502522585184,0.04241289404443345,1.0189535014935496,0.04242148983100419
2020-03-27,0.944259918382623,0.04263631329859531,0.9450396717620467,0.042573698030581315
2020-03-28,0.8749959220312211,0.04837845815107869,0.8757330851498925,0.04829441868966231
2020-03-29,0.8122872150972046,0.05396081399829575,0.8129601647735927,0.05387757332453715
2020-03-30,0.7572094999030372,0.060289307005368116,0.7578068750620136,0.06022214797517286
2020-03-31,0.7101391445521141,0.06527498505484218,0.7106459798806152,0.06522433181913682
2020-04-01,0.6695161108005917,0.06953385076093513,0.6699192521429397,0.06949940701674905
2020-04-02,0.6348181753528936,0.07271870041536606,0.6351010535623487,0.07269726895412339
2020-04-03,0.6039767622600888,0.07569401977491905,0.604126712987907,0.07568478882595991
2020-04-04,0.5757896293386291,0.07819852109423557,0.5757896293386291,0.07819852109423557
2020-04-05,0.5485087444638117,0.08016586257607466,0.5485087444638117,0.08016586257607466
2020-04-06,0.5248749873839682,0.08129649888618498,0.5248749873839682,0.08129649888618498
2020-04-07,0.5110187766268312,0.08164404239625224,0.5110187766268312,0.08164404239625224
2020-04-08,0.5030105676587612,0.08181048133568544,0.5030105676587612,0.08181048133568544
2020-04-09,0.495958593586213,0.0819736765586103,0.495958593586213,0.0819736765586103
2020-04-10,0.48565027169410746,0.08216111885044758,0.48565027169410746,0.08216111885044758
2020-04-11,0.4812933566694702,0.08220275240733212,0.4812933566694702,0.08220275240733212
2020-04-12,0.4742043647498479,0.08234438050431464,0.4742043647498479,0.08234438050431464
2020-04-13,0.46239862895292183,0.08255640431779993,0.46239862895292183,0.08255640431779993
