date,Rt_confirmed,Rt_confirmed_err68perc,Rt_symptomatic,Rt_symptomatic_err68perc
2020-02-10,,,,
2020-02-11,,,,
2020-02-12,,,,
2020-02-13,,,,
2020-02-14,,,,
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,,,
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,
2020-03-02,,,,
2020-03-03,,,,
2020-03-04,,,,
2020-03-05,,,,
2020-03-06,,,,
2020-03-07,3.4112668430573097,1.6898817391982057,3.4112668430573097,1.6898817391982057
2020-03-08,3.512502109069235,1.7876881258962447,3.512502109069235,1.7876881258962447
2020-03-09,3.4941070776880787,1.7694758616785773,3.4941070776880787,1.7694758616785773
2020-03-10,3.378637502138778,1.6518195143425038,3.378637502138778,1.6518195143425038
2020-03-11,3.1851898145572197,1.459327985844555,3.1851898145572197,1.459327985844555
2020-03-12,2.9590150071295502,1.24453500664774,2.9590150071295502,1.24453500664774
2020-03-13,2.7438705574288003,1.0487961026724415,2.7438705574288003,1.0487961026724415
2020-03-14,2.5213300243721526,0.8574758041672431,2.5213300243721526,0.8574758041672431
2020-03-15,2.3651310410459323,0.737290162229409,2.3651310410459323,0.737290162229409
2020-03-16,2.232156264854404,0.6430968854168322,2.232156264854404,0.6430968854168322
2020-03-17,2.100414006699432,0.5564218875691317,2.100414006699432,0.5564218875691317
2020-03-18,1.9590135139083982,0.4672369482520371,1.9590135139083982,0.4672369482520371
2020-03-19,1.802660535142669,0.36937468162323417,1.802660535142669,0.36937468162323417
2020-03-20,1.6676841025017777,0.2907078919586085,1.6676841025017777,0.2907078919586085
2020-03-21,1.540810079253282,0.2220191496922033,1.540810079253282,0.2220191496922033
2020-03-22,1.432607519844419,0.17100136309389644,1.432607519844419,0.17100136309389644
2020-03-23,1.3383636924012872,0.12704361628874505,1.3383636924012872,0.12704361628874505
2020-03-24,1.260126649668782,0.09821826732086353,1.260126649668782,0.09821826732086353
2020-03-25,1.1944894586181225,0.07389415358126301,1.1944894586181225,0.07389415358126301
2020-03-26,1.1395158234773124,0.052151988701922704,1.140142705440485,0.05227893861930574
2020-03-27,1.1026515747811818,0.04019118014441105,1.1037991834200984,0.040395413070412924
2020-03-28,1.07170783457195,0.03086088516001767,1.0732707204272398,0.03110547293689863
2020-03-29,1.03888157938734,0.02320588121429324,1.0407742203463044,0.023400082971013064
2020-03-30,1.0109574122409428,0.018043842195323727,1.013082088822066,0.018123871429353327
2020-03-31,0.9842828919895992,0.013869497436077355,0.9865426488052643,0.013749072588434948
2020-04-01,0.9725939757135903,0.012013721426137346,0.9748843448594938,0.011764772686087499
2020-04-02,0.9693473363283253,0.012336446882646802,0.9715987373618772,0.012069563609697704
2020-04-03,0.9683152252247474,0.012620562517681257,0.9704544234400961,0.012381679000402577
2020-04-04,0.9694529030142974,0.01233924061046339,0.9713829919107314,0.012155945178950385
2020-04-05,0.9669465758419709,0.012606694175989312,0.9685615393614595,0.012436164512710948
2020-04-06,0.9699658761096621,0.011809212850005685,0.9711846945546657,0.011761115364011131
2020-04-07,0.9618781358519678,0.012236475210434323,0.9632223091700977,0.012026287851589173
2020-04-08,0.9530801655063471,0.01430543897812487,0.955055528922431,0.01377588184835531
2020-04-09,0.9491142365410312,0.015579985159116735,0.9514688147044724,0.014948965824918623
2020-04-10,0.9432204976397426,0.017334259232532172,0.94653753510068,0.016420010740904625
2020-04-11,0.9333463918131062,0.020490865401797256,0.9374776560886128,0.01937863921893595
2020-04-12,0.9274843606773513,0.021460734750658086,0.9328235631335441,0.020125799307062046
2020-04-13,0.9327899583843514,0.02108909510276691,0.9389192848717265,0.019755425549367756
2020-04-14,0.9478970218185545,0.021431545033336295,0.9544278204309592,0.020347257204890598
2020-04-15,0.9690641507517059,0.020165382551455616,0.9757349414730232,0.01932923170459754
2020-04-16,0.9791861261859962,0.019102120916704636,0.9857878151112222,0.018404230920855563
2020-04-17,0.9781025645766779,0.0192335356036035,0.9844063560489837,0.018552083944468584
2020-04-18,0.9771256928065475,0.0193844633799257,0.9828492913852453,0.018771591963584036
2020-04-19,0.9717621936916295,0.02075290249157441,0.9766991372434793,0.0202688672598496
2020-04-20,0.9544563487716574,0.02574691119133826,0.9584528054277176,0.025324096744984037
2020-04-21,0.9343548089789321,0.03142154229661262,0.9371294402003416,0.03129131112756491
2020-04-22,0.908136536109012,0.036652236080828945,0.9095828665588971,0.036850914010260596
2020-04-23,0.8738111178490013,0.042753862278608355,0.873418272830536,0.04314862242601834
2020-04-24,0.8363454327521496,0.048174285394846174,0.8340944330134564,0.048851530107837125
2020-04-25,0.7944245849709696,0.052260346454849484,0.790677323143434,0.05304155471776452
2020-04-26,0.7496095549866394,0.057948406584643786,0.7443959790283378,0.0589215808081646
2020-04-27,0.6960844607056088,0.06651443157928175,0.6897650043436144,0.06745595807677687
2020-04-28,0.6430969961496261,0.07457241033230534,0.6359788576775722,0.07532922152764751
2020-04-29,0.5802000886599393,0.08197916245416631,0.5727573593490505,0.08239941937296798
2020-04-30,0.5358865259459747,0.08404847363836461,0.5284610248356552,0.08425468962083825
2020-05-01,0.5014056141988864,0.08452109290249758,0.4943326518989158,0.08457485488826366
2020-05-02,0.47135398096024395,0.08457226305330806,0.46653251661871237,0.08448303952487209
2020-05-03,0.4523366068047913,0.08418687270930895,0.44986305443700514,0.08410023898872966
2020-05-04,0.43708676258562346,0.0836795148626358,0.4372237338251968,0.08367267283807664
2020-05-05,0.44191487958839726,0.08391080018946438,0.44413488531122086,0.08399753051158859
2020-05-06,0.45457968729028503,0.08433337263509584,0.4603520297301515,0.08453016952869016
2020-05-07,0.4884879898538921,0.08532579745572004,0.4976164103366797,0.0855051003751593
2020-05-08,0.521067775709538,0.08490672585172966,0.5331569877262067,0.08487780631302631
2020-05-09,0.5782261759100675,0.08202630053469119,0.5930806016347864,0.08138588935412386
2020-05-10,0.6433697432413227,0.07530979014269126,0.6597914581913955,0.07384279620261863
