date,incidence,incidence_7_days_moving_average
2020-02-20,1,
2020-02-21,4,
2020-02-22,16,
2020-02-23,16,29.571428571428573
2020-02-24,10,34.57142857142857
2020-02-25,48,37.57142857142857
2020-02-26,41,38.42857142857143
2020-02-27,72,43.285714285714285
2020-02-28,39,43.42857142857143
2020-02-29,37,52.714285714285715
2020-03-01,22,55.142857142857146
2020-03-02,44,61.42857142857143
2020-03-03,49,72.57142857142857
2020-03-04,106,79.14285714285714
2020-03-05,89,98.57142857142857
2020-03-06,83,118.28571428571429
2020-03-07,115,136.28571428571428
2020-03-08,68,156.42857142857142
2020-03-09,180,197.0
2020-03-10,187,218.71428571428572
2020-03-11,232,243.71428571428572
2020-03-12,230,287.14285714285717
2020-03-13,367,346.0
2020-03-14,267,384.85714285714283
2020-03-15,243,431.57142857142856
2020-03-16,484,479.7142857142857
2020-03-17,599,499.85714285714283
2020-03-18,504,516.2857142857143
2020-03-19,557,536.4285714285714
2020-03-20,704,543.1428571428571
2020-03-21,408,546.8571428571429
2020-03-22,358,530.5714285714286
2020-03-23,625,488.2857142857143
2020-03-24,646,481.7142857142857
2020-03-25,530,468.0
2020-03-26,443,449.42857142857144
2020-03-27,408,443.2857142857143
2020-03-28,362,433.85714285714283
2020-03-29,262,425.85714285714283
2020-03-30,495,414.85714285714283
2020-03-31,603,402.2857142857143
2020-04-01,464,403.14285714285717
2020-04-02,387,393.14285714285717
2020-04-03,331,372.85714285714283
2020-04-04,274,394.7142857142857
2020-04-05,268,387.42857142857144
2020-04-06,425,379.42857142857144
2020-04-07,461,371.0
2020-04-08,617,345.42857142857144
2020-04-09,336,298.14285714285717
2020-04-10,275,275.57142857142856
2020-04-11,215,238.57142857142858
2020-04-12,89,250.71428571428572
2020-04-13,94,248.85714285714286
2020-04-14,303,254.85714285714286
2020-04-15,358,262.85714285714283
2020-04-16,421,279.42857142857144
2020-04-17,262,286.14285714285717
2020-04-18,257,263.7142857142857
2020-04-19,145,225.42857142857142
2020-04-20,210,211.14285714285714
2020-04-21,350,183.85714285714286
2020-04-22,201,173.28571428571428
2020-04-23,153,162.28571428571428
2020-04-24,162,133.28571428571428
2020-04-25,66,124.28571428571429
2020-04-26,71,122.0
2020-04-27,133,106.71428571428571
2020-04-28,147,106.85714285714286
2020-04-29,138,99.0
2020-04-30,137,95.0
2020-05-01,55,85.0
2020-05-02,67,75.28571428571429
2020-05-03,16,64.71428571428571
2020-05-04,105,65.14285714285714
2020-05-05,77,57.714285714285715
2020-05-06,70,56.57142857142857
2020-05-07,63,48.42857142857143
2020-05-08,58,42.714285714285715
2020-05-09,15,38.285714285714285
2020-05-10,8,33.42857142857143
2020-05-11,48,27.285714285714285
2020-05-12,37,31.571428571428573
2020-05-13,39,31.571428571428573
2020-05-14,29,27.285714285714285
2020-05-15,15,24.428571428571427
2020-05-16,45,21.142857142857142
2020-05-17,8,18.571428571428573
2020-05-18,18,18.714285714285715
2020-05-19,17,13.285714285714286
2020-05-20,16,12.571428571428571
2020-05-21,11,11.714285714285714
2020-05-22,16,11.428571428571429
2020-05-23,7,10.428571428571429
2020-05-24,3,9.285714285714286
2020-05-25,12,8.285714285714286
2020-05-26,15,7.857142857142857
2020-05-27,9,7.571428571428571
2020-05-28,3,6.714285714285714
2020-05-29,9,4.857142857142857
2020-05-30,4,4.714285714285714
2020-05-31,1,5.142857142857143
2020-06-01,6,4.714285714285714
2020-06-02,2,4.428571428571429
2020-06-03,8,4.428571428571429
2020-06-04,6,4.428571428571429
2020-06-05,6,5.285714285714286
2020-06-06,2,5.285714285714286
2020-06-07,1,7.0
2020-06-08,6,6.714285714285714
2020-06-09,8,7.142857142857143
2020-06-10,8,7.0
2020-06-11,18,6.857142857142857
2020-06-12,4,6.428571428571429
2020-06-13,5,5.571428571428571
2020-06-14,0,3.4285714285714284
2020-06-15,5,4.142857142857143
2020-06-16,5,4.142857142857143
2020-06-17,2,4.285714285714286
2020-06-18,3,4.428571428571429
2020-06-19,9,4.714285714285714
2020-06-20,5,5.0
2020-06-21,1,5.285714285714286
2020-06-22,6,4.714285714285714
2020-06-23,7,4.571428571428571
2020-06-24,4,4.714285714285714
2020-06-25,5,5.571428571428571
2020-06-26,5,6.142857142857143
2020-06-27,4,6.285714285714286
2020-06-28,2,6.428571428571429
2020-06-29,12,6.428571428571429
2020-06-30,11,7.142857142857143
2020-07-01,5,7.571428571428571
2020-07-02,6,7.0
2020-07-03,5,7.714285714285714
2020-07-04,9,8.285714285714286
2020-07-05,5,9.857142857142858
2020-07-06,8,10.714285714285714
2020-07-07,16,11.428571428571429
2020-07-08,9,11.428571428571429
2020-07-09,17,13.285714285714286
2020-07-10,11,20.428571428571427
2020-07-11,14,22.714285714285715
2020-07-12,5,26.714285714285715
2020-07-13,21,32.42857142857143
2020-07-14,66,34.285714285714285
2020-07-15,25,38.285714285714285
2020-07-16,45,39.857142857142854
2020-07-17,51,33.857142857142854
2020-07-18,27,34.142857142857146
2020-07-19,33,32.42857142857143
2020-07-20,32,29.571428571428573
2020-07-21,24,28.285714285714285
2020-07-22,27,24.142857142857142
2020-07-23,33,26.714285714285715
2020-07-24,31,31.142857142857142
2020-07-25,18,52.142857142857146
2020-07-26,4,54.714285714285715
2020-07-27,50,58.42857142857143
2020-07-28,55,58.57142857142857
2020-07-29,174,59.285714285714285
2020-07-30,51,59.0
2020-07-31,57,59.0
2020-08-01,19,59.42857142857143
2020-08-02,9,61.857142857142854
2020-08-03,48,67.0
2020-08-04,55,69.85714285714286
2020-08-05,177,70.57142857142857
2020-08-06,68,73.42857142857143
2020-08-07,93,80.85714285714286
2020-08-08,39,70.42857142857143
2020-08-09,14,75.71428571428571
2020-08-10,68,77.42857142857143
2020-08-11,107,78.0
2020-08-12,104,82.28571428571429
2020-08-13,105,84.42857142857143
2020-08-14,105,93.0
2020-08-15,43,106.71428571428571
2020-08-16,44,114.42857142857143
2020-08-17,83,126.42857142857143
2020-08-18,167,135.71428571428572
2020-08-19,200,136.0
2020-08-20,159,145.42857142857142
2020-08-21,189,144.42857142857142
2020-08-22,108,137.28571428571428
2020-08-23,46,133.28571428571428
2020-08-24,149,133.14285714285714
2020-08-25,160,134.28571428571428
2020-08-26,150,134.71428571428572
2020-08-27,131,136.0
2020-08-28,188,137.28571428571428
2020-08-29,116,138.14285714285714
2020-08-30,49,142.0
2020-08-31,158,143.85714285714286
2020-09-01,169,144.71428571428572
2020-09-02,156,145.71428571428572
2020-09-03,158,140.85714285714286
2020-09-04,201,138.57142857142858
2020-09-05,122,141.85714285714286
2020-09-06,56,137.42857142857142
2020-09-07,124,130.42857142857142
2020-09-08,153,127.42857142857143
2020-09-09,179,125.85714285714286
2020-09-10,127,131.0
2020-09-11,152,133.28571428571428
2020-09-12,101,133.14285714285714
2020-09-13,45,139.71428571428572
2020-09-14,160,149.57142857142858
2020-09-15,169,151.42857142857142
2020-09-16,178,155.57142857142858
2020-09-17,173,156.14285714285714
2020-09-18,221,171.57142857142858
2020-09-19,114,176.85714285714286
2020-09-20,74,189.42857142857142
2020-09-21,164,195.14285714285714
2020-09-22,277,197.71428571428572
2020-09-23,215,201.0
2020-09-24,261,207.0
2020-09-25,261,221.42857142857142
2020-09-26,132,228.85714285714286
2020-09-27,97,233.57142857142858
2020-09-28,206,241.28571428571428
2020-09-29,378,256.57142857142856
2020-09-30,267,264.42857142857144
2020-10-01,294,289.42857142857144
2020-10-02,315,311.57142857142856
2020-10-03,239,349.2857142857143
2020-10-04,152,379.85714285714283
2020-10-05,381,413.7142857142857
2020-10-06,533,442.2857142857143
2020-10-07,531,450.2857142857143
2020-10-08,508,494.7142857142857
2020-10-09,552,519.4285714285714
2020-10-10,439,540.0
2020-10-11,208,583.5714285714286
2020-10-12,692,648.0
2020-10-13,706,685.5714285714286
2020-10-14,675,707.1428571428571
2020-10-15,813,772.2857142857143
2020-10-16,1003,880.8571428571429
2020-10-17,702,1011.5714285714286
2020-10-18,359,1136.4285714285713
2020-10-19,1148,1268.4285714285713
2020-10-20,1466,1377.7142857142858
2020-10-21,1590,1421.7142857142858
2020-10-22,1687,1607.4285714285713
2020-10-23,1927,1816.5714285714287
2020-10-24,1467,2013.2857142857142
2020-10-25,667,2183.1428571428573
2020-10-26,2448,2335.5714285714284
2020-10-27,2930,2435.4285714285716
2020-10-28,2967,2486.1428571428573
2020-10-29,2876,2573.5714285714284
2020-10-30,2994,2671.0
2020-10-31,2166,2738.0
2020-11-01,1022,2846.1428571428573
2020-11-02,3060,2960.8571428571427
2020-11-03,3612,3007.285714285714
2020-11-04,3436,3037.8571428571427
2020-11-05,3633,3097.0
2020-11-06,3797,3147.1428571428573
2020-11-07,2491,3175.285714285714
2020-11-08,1236,3149.5714285714284
2020-11-09,3474,3127.1428571428573
2020-11-10,3963,3103.8571428571427
2020-11-11,3633,3073.1428571428573
2020-11-12,3453,3101.4285714285716
2020-11-13,3640,3116.1428571428573
2020-11-14,2328,3113.714285714286
2020-11-15,1021,3100.8571428571427
2020-11-16,3672,3115.714285714286
2020-11-17,4066,3094.714285714286
2020-11-18,3616,3095.714285714286
2020-11-19,3363,3083.0
2020-11-20,3744,3015.8571428571427
2020-11-21,2181,2994.1428571428573
2020-11-22,1028,3000.4285714285716
2020-11-23,3583,2948.4285714285716
2020-11-24,3596,2977.0
2020-11-25,3464,2997.5714285714284
2020-11-26,3407,3034.5714285714284
2020-11-27,3380,3084.285714285714
2020-11-28,2381,3108.0
2020-11-29,1172,3113.0
2020-11-30,3842,3225.285714285714
2020-12-01,3944,3303.1428571428573
2020-12-02,3630,3321.0
2020-12-03,3442,3448.285714285714
2020-12-04,4166,3177.285714285714
2020-12-05,2926,3377.8571428571427
2020-12-06,1297,3622.4285714285716
2020-12-07,4733,3721.714285714286
2020-12-08,2047,3756.714285714286
2020-12-09,5034,3774.714285714286
2020-12-10,5154,3750.4285714285716
2020-12-11,4861,4133.142857142857
2020-12-12,3171,3984.285714285714
2020-12-13,1423,3784.8571428571427
2020-12-14,4563,3727.5714285714284
2020-12-15,4726,3725.4285714285716
2020-12-16,3992,3725.285714285714
2020-12-17,3758,3736.8571428571427
2020-12-18,4460,3756.0
2020-12-19,3156,3829.714285714286
2020-12-20,1422,3888.285714285714
2020-12-21,4644,3456.5714285714284
2020-12-22,4860,3281.285714285714
2020-12-23,4508,3362.285714285714
2020-12-24,4168,3340.0
2020-12-25,1438,3404.1428571428573
2020-12-26,1929,3425.8571428571427
2020-12-27,1989,3399.1428571428573
2020-12-28,4488,3406.714285714286
2020-12-29,5309,3511.4285714285716
2020-12-30,4660,3459.714285714286
2020-12-31,3981,3448.1428571428573
2021-01-01,1491,3283.0
2021-01-02,2662,2825.4285714285716
2021-01-03,1627,2702.0
2021-01-04,4407,2902.5714285714284
2021-01-05,4153,2786.5714285714284
2021-01-06,1457,2686.0
2021-01-07,3117,2388.714285714286
2021-01-08,2895,2051.4285714285716
