date,healthcare_workers,others
2020-02-25,1,
2020-02-26,0,1.0
2020-02-27,0,1.0
2020-02-28,0,11.0
2020-02-29,0,2.0
2020-03-01,0,5.0
2020-03-02,0,4.0
2020-03-03,0,2.0
2020-03-04,0,3.0
2020-03-05,0,3.0
2020-03-06,2,12.0
2020-03-07,1,10.0
2020-03-08,0,5.0
2020-03-09,0,10.0
2020-03-10,7,11.0
2020-03-11,2,5.0
2020-03-12,7,19.0
2020-03-13,6,22.0
2020-03-14,9,27.0
2020-03-15,5,23.0
2020-03-16,14,37.0
2020-03-17,8,31.0
2020-03-18,15,39.0
2020-03-19,8,28.0
2020-03-20,13,47.0
2020-03-21,5,45.0
2020-03-22,7,29.0
2020-03-23,11,64.0
2020-03-24,16,37.0
2020-03-25,24,58.0
2020-03-26,15,52.0
2020-03-27,15,63.0
2020-03-28,9,27.0
2020-03-29,9,46.0
2020-03-30,26,56.0
2020-03-31,20,68.0
2020-04-01,33,39.0
2020-04-02,17,38.0
2020-04-03,29,36.0
2020-04-04,7,36.0
2020-04-05,5,30.0
2020-04-06,13,36.0
2020-04-07,14,26.0
2020-04-08,23,35.0
2020-04-09,9,41.0
2020-04-10,7,32.0
2020-04-11,26,37.0
2020-04-12,10,17.0
2020-04-13,4,13.0
2020-04-14,11,25.0
2020-04-15,13,35.0
2020-04-16,14,14.0
2020-04-17,8,24.0
2020-04-18,3,21.0
2020-04-19,5,9.0
2020-04-20,5,19.0
2020-04-21,6,16.0
2020-04-22,7,9.0
2020-04-23,6,21.0
2020-04-24,9,21.0
2020-04-25,2,4.0
2020-04-26,0,6.0
2020-04-27,7,8.0
2020-04-28,5,6.0
2020-04-29,3,8.0
2020-04-30,10,12.0
2020-05-01,1,12.0
2020-05-02,2,6.0
2020-05-03,0,3.0
2020-05-04,9,21.0
2020-05-05,3,4.0
2020-05-06,2,3.0
2020-05-07,3,15.0
2020-05-08,3,3.0
2020-05-09,2,8.0
2020-05-10,0,1.0
2020-05-11,4,3.0
2020-05-12,2,6.0
2020-05-13,2,9.0
2020-05-14,1,4.0
2020-05-15,0,5.0
2020-05-16,0,8.0
2020-05-17,1,3.0
2020-05-18,2,4.0
2020-05-19,0,7.0
2020-05-20,0,6.0
2020-05-21,3,6.0
2020-05-22,3,4.0
2020-05-23,1,4.0
2020-05-24,0,2.0
2020-05-25,3,5.0
2020-05-26,3,7.0
2020-05-27,3,4.0
2020-05-28,3,3.0
2020-05-29,4,3.0
2020-05-30,1,0.0
2020-05-31,0,1.0
2020-06-01,1,2.0
2020-06-02,1,1.0
2020-06-03,2,0.0
2020-06-04,0,0.0
2020-06-05,1,1.0
2020-06-06,1,3.0
2020-06-07,0,3.0
2020-06-08,3,0.0
2020-06-09,0,4.0
2020-06-10,0,2.0
2020-06-11,0,2.0
2020-06-12,0,1.0
2020-06-13,1,3.0
2020-06-14,0,0.0
2020-06-15,0,1.0
2020-06-16,0,1.0
2020-06-17,0,1.0
2020-06-18,1,0.0
2020-06-19,0,0.0
2020-06-20,0,3.0
2020-06-21,0,0.0
2020-06-22,0,2.0
2020-06-23,1,3.0
2020-06-24,1,3.0
2020-06-25,0,0.0
2020-06-26,0,1.0
2020-06-27,0,4.0
2020-06-28,0,8.0
2020-06-29,0,1.0
2020-06-30,3,3.0
2020-07-01,0,1.0
2020-07-02,1,3.0
2020-07-03,0,5.0
2020-07-04,0,7.0
