date,healthcare_workers,others
2020-02-21,5.0,31
2020-02-22,4.0,53
2020-02-23,8.0,67
2020-02-24,11.0,72
2020-02-25,46.0,144
2020-02-26,49.0,224
2020-02-27,48.0,237
2020-02-28,40.0,303
2020-02-29,34.0,330
2020-03-01,48.0,340
2020-03-02,78.0,517
2020-03-03,82.0,663
2020-03-04,122.0,838
2020-03-05,133.0,1067
2020-03-06,200.0,1161
2020-03-07,158.0,1129
2020-03-08,140.0,1077
2020-03-09,370.0,1610
2020-03-10,343.0,1799
2020-03-11,435.0,1894
2020-03-12,488.0,2087
2020-03-13,583.0,2805
2020-03-14,421.0,2307
2020-03-15,338.0,1990
2020-03-16,719.0,3250
2020-03-17,671.0,3618
2020-03-18,787.0,3698
2020-03-19,707.0,3876
2020-03-20,843.0,4251
2020-03-21,485.0,3104
2020-03-22,352.0,2522
2020-03-23,908.0,3975
2020-03-24,858.0,3959
2020-03-25,816.0,3661
2020-03-26,817.0,3669
2020-03-27,857.0,3536
2020-03-28,550.0,2753
2020-03-29,304.0,1932
2020-03-30,719.0,3292
2020-03-31,833.0,3340
2020-04-01,774.0,3267
2020-04-02,693.0,3085
2020-04-03,682.0,2847
2020-04-04,433.0,2308
2020-04-05,247.0,1541
2020-04-06,576.0,2662
2020-04-07,606.0,2671
2020-04-08,653.0,3523
2020-04-09,622.0,3597
2020-04-10,572.0,3281
2020-04-11,387.0,2039
2020-04-12,158.0,1101
2020-04-13,204.0,1397
2020-04-14,435.0,2186
2020-04-15,404.0,2512
2020-04-16,461.0,2272
2020-04-17,487.0,2590
2020-04-18,319.0,2141
2020-04-19,129.0,1148
2020-04-20,401.0,2357
2020-04-21,465.0,2394
2020-04-22,387.0,1971
2020-04-23,369.0,2247
2020-04-24,352.0,2150
2020-04-25,195.0,1339
2020-04-26,141.0,761
2020-04-27,226.0,1587
2020-04-28,295.0,1794
2020-04-29,316.0,1861
2020-04-30,331.0,1777
2020-05-01,140.0,840
2020-05-02,140.0,788
2020-05-03,57.0,389
2020-05-04,183.0,1149
2020-05-05,178.0,1209
2020-05-06,159.0,1195
2020-05-07,166.0,1112
2020-05-08,163.0,1082
2020-05-09,91.0,587
2020-05-10,44.0,251
2020-05-11,115.0,708
2020-05-12,118.0,739
2020-05-13,116.0,712
2020-05-14,131.0,699
2020-05-15,111.0,581
2020-05-16,60.0,500
2020-05-17,38.0,223
2020-05-18,94.0,533
2020-05-19,84.0,596
2020-05-20,87.0,553
2020-05-21,71.0,513
2020-05-22,62.0,600
2020-05-23,36.0,287
2020-05-24,11.0,128
2020-05-25,55.0,431
2020-05-26,37.0,480
2020-05-27,46.0,467
2020-05-28,33.0,457
2020-05-29,32.0,343
2020-05-30,11.0,257
2020-05-31,8.0,73
2020-06-01,26.0,341
2020-06-02,4.0,73
2020-06-03,19.0,326
2020-06-04,21.0,322
2020-06-05,20.0,336
2020-06-06,13.0,172
2020-06-07,5.0,68
2020-06-08,32.0,240
2020-06-09,14.0,325
2020-06-10,25.0,338
2020-06-11,20.0,398
2020-06-12,13.0,338
2020-06-13,6.0,185
2020-06-14,2.0,57
2020-06-15,14.0,252
2020-06-16,17.0,256
2020-06-17,23.0,273
2020-06-18,15.0,203
2020-06-19,15.0,265
2020-06-20,6.0,148
2020-06-21,0.0,39
2020-06-22,8.0,285
2020-06-23,17.0,235
2020-06-24,11.0,182
2020-06-25,11.0,179
2020-06-26,9.0,166
2020-06-27,4.0,116
2020-06-28,0.0,55
2020-06-29,7.0,211
2020-06-30,11.0,173
2020-07-01,7.0,220
2020-07-02,8.0,225
2020-07-03,12.0,207
2020-07-04,1.0,197
2020-07-05,3.0,67
2020-07-06,7.0,221
2020-07-07,8.0,209
2020-07-08,0.0,272
2020-07-09,9.0,200
2020-07-10,4.0,226
2020-07-11,4.0,140
2020-07-12,1.0,55
2020-07-13,9.0,171
2020-07-14,8.0,221
2020-07-15,6.0,213
2020-07-16,8.0,238
2020-07-17,8.0,258
2020-07-18,3.0,154
2020-07-19,0.0,100
2020-07-20,9.0,263
2020-07-21,11.0,236
2020-07-22,10.0,243
2020-07-23,11.0,244
2020-07-24,9.0,268
2020-07-25,5.0,159
2020-07-26,3.0,82
2020-07-27,16.0,278
2020-07-28,7.0,274
2020-07-29,13.0,413
2020-07-30,9.0,343
2020-07-31,14.0,279
2020-08-01,8.0,170
2020-08-02,3.0,98
2020-08-03,15.0,382
2020-08-04,10.0,365
2020-08-05,11.0,468
2020-08-06,9.0,350
2020-08-07,12.0,439
2020-08-08,8.0,285
2020-08-09,4.0,140
2020-08-10,15.0,410
2020-08-11,20.0,473
2020-08-12,17.0,538
2020-08-13,18.0,471
2020-08-14,9.0,510
2020-08-15,9.0,247
2020-08-16,6.0,217
2020-08-17,16.0,590
2020-08-18,19.0,745
2020-08-19,18.0,872
2020-08-20,38.0,910
2020-08-21,29.0,1123
2020-08-22,12.0,812
2020-08-23,17.0,465
2020-08-24,41.0,1316
2020-08-25,27.0,1292
2020-08-26,31.0,1152
2020-08-27,29.0,1232
2020-08-28,26.0,1168
2020-08-29,25.0,828
2020-08-30,14.0,436
2020-08-31,34.0,1106
2020-09-01,45.0,1103
2020-09-02,31.0,1192
2020-09-03,53.0,1196
2020-09-04,54.0,1209
2020-09-05,25.0,867
2020-09-06,14.0,413
2020-09-07,46.0,1175
2020-09-08,51.0,1214
2020-09-09,45.0,1265
2020-09-10,37.0,1302
2020-09-11,55.0,1270
2020-09-12,30.0,951
2020-09-13,13.0,425
2020-09-14,50.0,1199
2020-09-15,61.0,1356
2020-09-16,52.0,1154
2020-09-17,61.0,1322
2020-09-18,44.0,1427
2020-09-19,50.0,967
2020-09-20,9.0,463
2020-09-21,57.0,1385
2020-09-22,55.0,1401
2020-09-23,63.0,1451
2020-09-24,75.0,1451
2020-09-25,60.0,1485
2020-09-26,47.0,1041
2020-09-27,34.0,596
2020-09-28,76.0,1592
2020-09-29,74.0,1655
2020-09-30,98.0,1834
2020-10-01,116.0,2161
2020-10-02,126.0,2304
2020-10-03,91.0,1821
2020-10-04,70.0,1079
2020-10-05,194.0,2969
2020-10-06,245.0,3466
2020-10-07,177.0,3889
2020-10-08,213.0,4553
2020-10-09,257.0,4954
2020-10-10,183.0,4143
2020-10-11,129.0,2124
2020-10-12,454.0,6535
2020-10-13,430.0,7112
2020-10-14,477.0,7631
2020-10-15,522.0,8291
2020-10-16,588.0,9425
2020-10-17,370.0,8015
2020-10-18,254.0,3811
2020-10-19,831.0,11967
2020-10-20,878.0,13248
2020-10-21,864.0,15296
2020-10-22,1030.0,16413
2020-10-23,1094.0,17626
2020-10-24,738.0,13317
2020-10-25,407.0,6890
2020-10-26,1415.0,19142
2020-10-27,1317.0,21838
2020-10-28,1328.0,22317
2020-10-29,1271.0,21278
2020-10-30,1353.0,22953
2020-10-31,782.0,16541
2020-11-01,426.0,7912
2020-11-02,1500.0,23272
2020-11-03,1502.0,25837
2020-11-04,1429.0,27028
2020-11-05,1533.0,26747
2020-11-06,1526.0,27694
2020-11-07,893.0,19759
2020-11-08,475.0,8887
2020-11-09,1649.0,25625
2020-11-10,1387.0,27478
2020-11-11,1440.0,26688
2020-11-12,1271.0,26311
2020-11-13,1470.0,26886
2020-11-14,857.0,18520
2020-11-15,474.0,8223
2020-11-16,1461.0,24559
2020-11-17,1370.0,26081
2020-11-18,1283.0,24137
2020-11-19,1200.0,23603
2020-11-20,1111.0,22483
2020-11-21,736.0,14978
2020-11-22,311.0,6204
2020-11-23,1155.0,18961
2020-11-24,1158.0,19309
2020-11-25,1087.0,18402
2020-11-26,1083.0,17917
2020-11-27,1016.0,16402
2020-11-28,617.0,12327
2020-11-29,314.0,4875
2020-11-30,1073.0,15120
2020-12-01,1108.0,15569
2020-12-02,1033.0,14214
2020-12-03,1047.0,13308
2020-12-04,1012.0,13725
2020-12-05,632.0,10266
2020-12-06,263.0,3841
2020-12-07,1165.0,12942
2020-12-08,311.0,4872
2020-12-09,1183.0,13808
2020-12-10,1021.0,14164
2020-12-11,976.0,13382
2020-12-12,538.0,9818
2020-12-13,240.0,3681
2020-12-14,996.0,12090
2020-12-15,931.0,12912
2020-12-16,835.0,11461
2020-12-17,761.0,11018
2020-12-18,811.0,11676
2020-12-19,523.0,9002
2020-12-20,266.0,3966
2020-12-21,1057.0,11621
2020-12-22,971.0,13060
2020-12-23,857.0,13103
2020-12-24,700.0,11014
2020-12-25,167.0,2967
2020-12-26,321.0,5210
2020-12-27,337.0,4823
2020-12-28,1012.0,12429
2020-12-29,999.0,16213
2020-12-30,820.0,15753
2020-12-31,728.0,12762
2021-01-01,171.0,3894
2021-01-02,584.0,10900
2021-01-03,320.0,4827
2021-01-04,1077.0,14854
2021-01-05,890.0,16670
2021-01-06,265.0,5348
2021-01-07,788.0,13624
2021-01-08,733.0,13440
2021-01-09,475.0,9789
2021-01-10,236.0,3638
2021-01-11,777.0,10209
2021-01-12,618.0,10224
2021-01-13,588.0,9278
2021-01-14,511.0,8559
2021-01-15,508.0,8463
2021-01-16,342.0,6562
2021-01-17,146.0,2570
2021-01-18,634.0,8487
2021-01-19,546.0,8588
2021-01-20,487.0,8056
2021-01-21,469.0,7389
2021-01-22,436.0,7968
2021-01-23,264.0,6153
2021-01-24,130.0,2662
2021-01-25,520.0,8601
2021-01-26,426.0,8647
2021-01-27,330.0,7992
2021-01-28,291.0,7255
2021-01-29,317.0,7566
2021-01-30,167.0,6002
2021-01-31,73.0,2475
2021-02-01,365.0,7804
2021-02-02,237.0,8193
2021-02-03,258.0,7491
2021-02-04,286.0,7765
2021-02-05,235.0,7940
2021-02-06,146.0,6213
2021-02-07,72.0,2533
2021-02-08,255.0,7880
2021-02-09,196.0,8834
2021-02-10,188.0,8439
2021-02-11,193.0,8096
2021-02-12,173.0,8231
2021-02-13,84.0,6314
2021-02-14,51.0,2440
2021-02-15,144.0,8297
2021-02-16,156.0,9434
2021-02-17,115.0,9180
2021-02-18,145.0,9688
2021-02-19,170.0,10226
2021-02-20,83.0,8442
2021-02-21,55.0,3257
2021-02-22,194.0,11962
2021-02-23,227.0,13415
2021-02-24,158.0,13469
2021-02-25,191.0,13477
2021-02-26,183.0,14316
2021-02-27,131.0,10778
2021-02-28,38.0,4109
2021-03-01,230.0,15159
2021-03-02,188.0,16511
2021-03-03,191.0,16820
2021-03-04,177.0,16220
2021-03-05,157.0,17420
2021-03-06,109.0,12497
2021-03-07,51.0,4760
2021-03-08,215.0,16912
2021-03-09,214.0,18426
2021-03-10,210.0,18440
2021-03-11,223.0,18492
2021-03-12,191.0,18021
2021-03-13,135.0,13061
2021-03-14,60.0,5230
2021-03-15,240.0,17127
2021-03-16,214.0,18178
2021-03-17,212.0,16969
2021-03-18,202.0,16430
2021-03-19,188.0,16144
2021-03-20,118.0,11678
2021-03-21,43.0,4851
2021-03-22,207.0,15875
2021-03-23,192.0,16580
2021-03-24,211.0,16164
2021-03-25,193.0,15413
2021-03-26,242.0,15575
2021-03-27,147.0,11126
2021-03-28,76.0,4590
2021-03-29,215.0,14476
2021-03-30,198.0,14973
2021-03-31,193.0,13753
2021-04-01,220.0,13733
2021-04-02,153.0,12591
2021-04-03,129.0,9188
2021-04-04,36.0,2854
2021-04-05,51.0,4063
2021-04-06,174.0,10917
2021-04-07,176.0,11308
2021-04-08,156.0,10419
2021-04-09,149.0,9973
2021-04-10,92.0,7742
2021-04-11,34.0,3098
2021-04-12,155.0,9319
2021-04-13,115.0,9924
2021-04-14,153.0,9164
2021-04-15,125.0,8431
2021-04-16,124.0,8698
2021-04-17,83.0,6201
2021-04-18,37.0,2687
2021-04-19,137.0,8452
2021-04-20,129.0,9042
2021-04-21,98.0,8448
2021-04-22,142.0,8313
2021-04-23,103.0,8150
2021-04-24,85.0,6792
2021-04-25,42.0,2359
2021-04-26,126.0,8135
2021-04-27,108.0,8457
2021-04-28,123.0,7935
2021-04-29,94.0,7090
2021-04-30,83.0,7303
2021-05-01,29.0,3105
2021-05-02,25.0,2148
2021-05-03,99.0,6563
2021-05-04,83.0,6834
2021-05-05,91.0,6340
2021-05-06,84.0,5489
2021-05-07,74.0,5345
2021-05-08,52.0,4134
2021-05-09,35.0,1626
2021-05-10,61.0,4741
2021-05-11,68.0,4909
2021-05-12,57.0,4386
2021-05-13,58.0,3881
2021-05-14,39.0,3695
2021-05-15,27.0,2900
2021-05-16,10.0,1033
2021-05-17,34.0,3244
2021-05-18,41.0,3534
2021-05-19,33.0,3077
2021-05-20,33.0,2610
2021-05-21,31.0,2568
2021-05-22,20.0,2045
2021-05-23,12.0,654
2021-05-24,47.0,2260
2021-05-25,20.0,2317
2021-05-26,32.0,2147
2021-05-27,16.0,1826
2021-05-28,21.0,1860
2021-05-29,12.0,1536
2021-05-30,10.0,506
2021-05-31,30.0,1716
2021-06-01,25.0,1789
2021-06-02,2.0,631
2021-06-03,28.0,1641
2021-06-04,20.0,1593
2021-06-05,10.0,1097
