date,healthcare_workers,others
2020-02-21,1.0,118
2020-02-22,7.0,97
2020-02-23,7.0,136
2020-02-24,12.0,164
2020-02-25,18.0,239
2020-02-26,19.0,241
2020-02-27,18.0,288
2020-02-28,23.0,330
2020-02-29,9.0,350
2020-03-01,14.0,409
2020-03-02,38.0,591
2020-03-03,26.0,725
2020-03-04,45.0,799
2020-03-05,40.0,998
2020-03-06,62.0,1075
2020-03-07,47.0,1014
2020-03-08,40.0,1015
2020-03-09,66.0,1237
2020-03-10,84.0,1342
2020-03-11,92.0,1460
2020-03-12,88.0,1603
2020-03-13,109.0,1946
2020-03-14,100.0,1691
2020-03-15,98.0,1606
2020-03-16,154.0,2098
2020-03-17,117.0,2263
2020-03-18,127.0,2288
2020-03-19,137.0,2304
2020-03-20,121.0,2362
2020-03-21,98.0,2067
2020-03-22,73.0,1837
2020-03-23,108.0,2220
2020-03-24,96.0,2177
2020-03-25,78.0,1955
2020-03-26,104.0,1771
2020-03-27,113.0,1849
2020-03-28,77.0,1467
2020-03-29,67.0,1221
2020-03-30,76.0,1404
2020-03-31,93.0,1330
2020-04-01,81.0,1266
2020-04-02,100.0,1228
2020-04-03,83.0,1042
2020-04-04,52.0,842
2020-04-05,50.0,695
2020-04-06,57.0,870
2020-04-07,61.0,840
2020-04-08,71.0,871
2020-04-09,70.0,848
2020-04-10,55.0,771
2020-04-11,65.0,652
2020-04-12,45.0,548
2020-04-13,25.0,523
2020-04-14,56.0,699
2020-04-15,51.0,577
2020-04-16,38.0,595
2020-04-17,62.0,594
2020-04-18,28.0,481
2020-04-19,26.0,396
2020-04-20,46.0,540
2020-04-21,35.0,490
2020-04-22,40.0,499
2020-04-23,43.0,472
2020-04-24,26.0,469
2020-04-25,19.0,350
2020-04-26,15.0,311
2020-04-27,33.0,372
2020-04-28,26.0,373
2020-04-29,25.0,361
2020-04-30,27.0,316
2020-05-01,11.0,249
2020-05-02,17.0,198
2020-05-03,11.0,159
2020-05-04,24.0,242
2020-05-05,19.0,241
2020-05-06,12.0,260
2020-05-07,19.0,229
2020-05-08,17.0,237
2020-05-09,11.0,141
2020-05-10,14.0,136
2020-05-11,15.0,205
2020-05-12,10.0,157
2020-05-13,12.0,156
2020-05-14,17.0,159
2020-05-15,14.0,161
2020-05-16,3.0,121
2020-05-17,8.0,100
2020-05-18,17.0,125
2020-05-19,7.0,122
2020-05-20,8.0,122
2020-05-21,5.0,98
2020-05-22,14.0,85
2020-05-23,4.0,77
2020-05-24,9.0,70
2020-05-25,10.0,122
2020-05-26,5.0,94
2020-05-27,2.0,91
2020-05-28,7.0,66
2020-05-29,4.0,87
2020-05-30,8.0,66
2020-05-31,0.0,46
2020-06-01,9.0,89
2020-06-02,1.0,55
2020-06-03,9.0,67
2020-06-04,1.0,68
2020-06-05,9.0,65
2020-06-06,3.0,37
2020-06-07,1.0,38
2020-06-08,11.0,72
2020-06-09,0.0,64
2020-06-10,2.0,59
2020-06-11,2.0,49
2020-06-12,5.0,54
2020-06-13,1.0,46
2020-06-14,2.0,40
