date,healthcare_workers,others
2020-01-28,1.0,10
2020-01-29,1.0,13
2020-01-30,1.0,23
2020-01-31,2.0,25
2020-02-01,5.0,37
2020-02-02,3.0,31
2020-02-03,2.0,19
2020-02-04,2.0,18
2020-02-05,1.0,25
2020-02-06,2.0,18
2020-02-07,3.0,13
2020-02-08,0.0,16
2020-02-09,0.0,16
2020-02-10,2.0,48
2020-02-11,3.0,20
2020-02-12,1.0,46
2020-02-13,2.0,39
2020-02-14,5.0,56
2020-02-15,10.0,127
2020-02-16,1.0,74
2020-02-17,8.0,124
2020-02-18,9.0,139
2020-02-19,11.0,116
2020-02-20,20.0,341
2020-02-21,32.0,258
2020-02-22,36.0,318
2020-02-23,33.0,410
2020-02-24,68.0,518
2020-02-25,53.0,674
2020-02-26,44.0,610
2020-02-27,83.0,674
2020-02-28,83.0,972
2020-02-29,82.0,850
2020-03-01,155.0,1942
2020-03-02,162.0,1483
2020-03-03,152.0,1695
2020-03-04,187.0,1399
2020-03-05,234.0,1904
2020-03-06,295.0,2060
2020-03-07,299.0,2209
2020-03-08,381.0,2600
2020-03-09,535.0,2931
2020-03-10,573.0,4206
2020-03-11,492.0,2752
2020-03-12,562.0,3099
2020-03-13,659.0,3458
2020-03-14,497.0,3050
2020-03-15,628.0,3896
2020-03-16,663.0,3471
2020-03-17,502.0,2993
2020-03-18,538.0,3069
2020-03-19,498.0,2695
2020-03-20,632.0,4082
2020-03-21,394.0,2449
2020-03-22,483.0,2389
2020-03-23,550.0,2782
2020-03-24,468.0,2156
2020-03-25,484.0,2363
2020-03-26,385.0,2008
2020-03-27,400.0,2190
2020-03-28,402.0,1935
2020-03-29,347.0,1501
2020-03-30,500.0,2261
2020-03-31,364.0,1593
2020-04-01,450.0,2586
2020-04-02,341.0,1609
2020-04-03,393.0,1624
2020-04-04,267.0,1421
2020-04-05,248.0,1254
2020-04-06,328.0,1402
2020-04-07,272.0,1324
2020-04-08,275.0,1345
2020-04-09,232.0,1270
2020-04-10,287.0,1692
2020-04-11,211.0,969
2020-04-12,208.0,1100
2020-04-13,204.0,990
2020-04-14,217.0,1195
2020-04-15,216.0,1390
2020-04-16,232.0,1060
2020-04-17,203.0,1056
2020-04-18,153.0,881
2020-04-19,117.0,702
2020-04-20,233.0,1280
2020-04-21,144.0,802
2020-04-22,152.0,814
2020-04-23,165.0,731
2020-04-24,136.0,649
2020-04-25,102.0,576
2020-04-26,79.0,482
2020-04-27,114.0,758
2020-04-28,90.0,527
2020-04-29,90.0,493
2020-04-30,85.0,455
2020-05-01,67.0,462
2020-05-02,56.0,329
2020-05-03,48.0,250
2020-05-04,61.0,359
2020-05-05,47.0,405
2020-05-06,50.0,317
2020-05-07,53.0,300
2020-05-08,40.0,353
2020-05-09,30.0,182
2020-05-10,30.0,220
2020-05-11,36.0,279
2020-05-12,33.0,280
2020-05-13,33.0,237
2020-05-14,39.0,197
2020-05-15,31.0,246
2020-05-16,19.0,163
2020-05-17,19.0,131
2020-05-18,24.0,216
2020-05-19,21.0,181
2020-05-20,23.0,191
2020-05-21,13.0,148
2020-05-22,9.0,134
2020-05-23,9.0,103
2020-05-24,6.0,82
2020-05-25,14.0,169
2020-05-26,8.0,136
2020-05-27,13.0,144
2020-05-28,3.0,117
2020-05-29,2.0,105
2020-05-30,3.0,89
2020-05-31,1.0,58
2020-06-01,9.0,119
2020-06-02,3.0,50
2020-06-03,4.0,109
2020-06-04,5.0,81
2020-06-05,8.0,103
2020-06-06,8.0,63
2020-06-07,7.0,53
2020-06-08,6.0,104
2020-06-09,6.0,87
2020-06-10,6.0,83
2020-06-11,4.0,78
2020-06-12,2.0,99
2020-06-13,3.0,60
2020-06-14,5.0,65
2020-06-15,2.0,94
2020-06-16,7.0,83
2020-06-17,5.0,69
2020-06-18,5.0,72
2020-06-19,6.0,63
2020-06-20,2.0,58
2020-06-21,4.0,50
2020-06-22,1.0,73
2020-06-23,2.0,64
2020-06-24,3.0,86
2020-06-25,0.0,69
2020-06-26,2.0,85
2020-06-27,3.0,55
2020-06-28,3.0,48
2020-06-29,1.0,86
2020-06-30,0.0,63
2020-07-01,2.0,97
2020-07-02,4.0,69
2020-07-03,2.0,64
2020-07-04,2.0,63
2020-07-05,4.0,55
2020-07-06,2.0,85
2020-07-07,1.0,91
2020-07-08,1.0,95
2020-07-09,0.0,79
2020-07-10,3.0,97
2020-07-11,2.0,76
2020-07-12,2.0,67
2020-07-13,1.0,94
2020-07-14,2.0,95
2020-07-15,5.0,86
2020-07-16,3.0,78
2020-07-17,3.0,95
2020-07-18,3.0,80
2020-07-19,2.0,79
2020-07-20,4.0,121
2020-07-21,5.0,107
2020-07-22,4.0,106
2020-07-23,6.0,112
2020-07-24,5.0,92
2020-07-25,5.0,112
2020-07-26,2.0,94
2020-07-27,3.0,116
2020-07-28,4.0,126
2020-07-29,4.0,119
2020-07-30,3.0,105
2020-07-31,6.0,106
2020-08-01,5.0,144
2020-08-02,6.0,107
2020-08-03,4.0,191
2020-08-04,4.0,172
2020-08-05,7.0,182
2020-08-06,4.0,178
2020-08-07,4.0,179
2020-08-08,5.0,220
2020-08-09,6.0,181
2020-08-10,9.0,247
2020-08-11,10.0,224
2020-08-12,6.0,235
2020-08-13,5.0,260
2020-08-14,4.0,254
2020-08-15,10.0,305
2020-08-16,8.0,307
2020-08-17,14.0,498
2020-08-18,13.0,536
2020-08-19,17.0,491
2020-08-20,14.0,497
2020-08-21,17.0,535
2020-08-22,15.0,500
2020-08-23,14.0,514
2020-08-24,15.0,592
2020-08-25,21.0,539
2020-08-26,16.0,522
2020-08-27,11.0,478
2020-08-28,15.0,468
2020-08-29,10.0,370
2020-08-30,11.0,372
2020-08-31,15.0,458
2020-09-01,21.0,585
2020-09-02,22.0,500
2020-09-03,20.0,462
2020-09-04,14.0,531
2020-09-05,23.0,427
2020-09-06,16.0,432
2020-09-07,22.0,664
2020-09-08,32.0,527
2020-09-09,15.0,567
2020-09-10,25.0,595
2020-09-11,26.0,514
2020-09-12,19.0,531
2020-09-13,15.0,494
2020-09-14,34.0,704
2020-09-15,24.0,720
2020-09-16,20.0,656
2020-09-17,29.0,670
2020-09-18,19.0,663
2020-09-19,19.0,622
2020-09-20,17.0,654
2020-09-21,28.0,735
2020-09-22,21.0,741
2020-09-23,25.0,705
2020-09-24,24.0,636
2020-09-25,28.0,770
2020-09-26,30.0,731
2020-09-27,26.0,784
2020-09-28,44.0,1049
2020-09-29,45.0,978
2020-09-30,62.0,1278
2020-10-01,67.0,1697
2020-10-02,65.0,1686
2020-10-03,77.0,1834
2020-10-04,76.0,1793
2020-10-05,92.0,2485
2020-10-06,122.0,2271
2020-10-07,114.0,2708
2020-10-08,115.0,2846
2020-10-09,141.0,3134
2020-10-10,183.0,3415
2020-10-11,148.0,2998
2020-10-12,241.0,4692
2020-10-13,229.0,4404
2020-10-14,230.0,4785
2020-10-15,250.0,5236
2020-10-16,309.0,5813
2020-10-17,286.0,5651
2020-10-18,272.0,5882
2020-10-19,399.0,7624
2020-10-20,432.0,8321
2020-10-21,386.0,7741
2020-10-22,425.0,7786
2020-10-23,463.0,8402
2020-10-24,432.0,7995
2020-10-25,444.0,8080
2020-10-26,490.0,10251
2020-10-27,453.0,8816
2020-10-28,441.0,9178
2020-10-29,432.0,8719
2020-10-30,467.0,9275
2020-10-31,416.0,7850
2020-11-01,456.0,10084
2020-11-02,544.0,11552
2020-11-03,449.0,9758
2020-11-04,537.0,9932
2020-11-05,464.0,9795
2020-11-06,476.0,10448
2020-11-07,464.0,9228
2020-11-08,415.0,8530
2020-11-09,525.0,10993
2020-11-10,485.0,10304
2020-11-11,437.0,8883
2020-11-12,478.0,8656
2020-11-13,474.0,9328
2020-11-14,437.0,8197
2020-11-15,412.0,7828
2020-11-16,515.0,8984
2020-11-17,404.0,7515
2020-11-18,397.0,7728
2020-11-19,354.0,6305
2020-11-20,435.0,7389
2020-11-21,340.0,5773
2020-11-22,311.0,4993
2020-11-23,452.0,6819
2020-11-24,422.0,5832
2020-11-25,387.0,6008
2020-11-26,414.0,5616
2020-11-27,430.0,5910
2020-11-28,382.0,5432
2020-11-29,321.0,4139
2020-11-30,472.0,6245
2020-12-01,437.0,6508
2020-12-02,455.0,5720
2020-12-03,448.0,5390
2020-12-04,461.0,5680
2020-12-05,383.0,4965
2020-12-06,333.0,4317
2020-12-07,452.0,5611
2020-12-08,356.0,4968
2020-12-09,473.0,5616
2020-12-10,434.0,5576
2020-12-11,383.0,5277
2020-12-12,348.0,5133
2020-12-13,318.0,4544
2020-12-14,463.0,5978
