date,80_+,others
2020-02-20,44,48
2020-02-21,47,76
2020-02-22,25,81
2020-02-23,34,117
2020-02-24,46,145
2020-02-25,72,195
2020-02-26,94,179
2020-02-27,101,217
2020-02-28,118,261
2020-02-29,118,256
2020-03-01,118,325
2020-03-02,197,471
2020-03-03,235,581
2020-03-04,208,706
2020-03-05,277,819
2020-03-06,282,944
2020-03-07,318,884
2020-03-08,284,878
2020-03-09,340,1119
2020-03-10,375,1211
2020-03-11,400,1356
2020-03-12,442,1464
2020-03-13,539,1790
2020-03-14,448,1548
2020-03-15,454,1452
2020-03-16,513,1976
2020-03-17,518,2146
2020-03-18,553,2150
2020-03-19,573,2212
2020-03-20,645,2214
2020-03-21,600,1941
2020-03-22,541,1656
2020-03-23,618,2093
2020-03-24,600,2019
2020-03-25,628,1683
2020-03-26,552,1568
2020-03-27,617,1613
2020-03-28,483,1262
2020-03-29,435,1003
2020-03-30,503,1176
2020-03-31,445,1139
2020-04-01,486,1011
2020-04-02,419,1040
2020-04-03,405,854
2020-04-04,362,655
2020-04-05,300,537
2020-04-06,349,664
2020-04-07,379,635
2020-04-08,319,714
2020-04-09,350,643
2020-04-10,363,546
2020-04-11,325,489
2020-04-12,296,367
2020-04-13,251,372
2020-04-14,366,470
2020-04-15,245,448
2020-04-16,253,441
2020-04-17,266,438
2020-04-18,249,318
2020-04-19,225,241
2020-04-20,271,379
2020-04-21,260,326
2020-04-22,263,326
2020-04-23,233,342
2020-04-24,223,323
2020-04-25,179,244
2020-04-26,153,203
2020-04-27,159,265
2020-04-28,176,250
2020-04-29,154,249
2020-04-30,141,221
2020-05-01,110,161
2020-05-02,95,140
2020-05-03,71,110
2020-05-04,109,174
2020-05-05,98,182
2020-05-06,121,161
2020-05-07,100,171
2020-05-08,108,166
2020-05-09,63,99
2020-05-10,58,98
2020-05-11,75,153
2020-05-12,71,103
2020-05-13,72,107
2020-05-14,64,126
2020-05-15,69,122
2020-05-16,49,85
2020-05-17,52,65
2020-05-18,46,105
2020-05-19,50,91
2020-05-20,47,91
2020-05-21,35,75
2020-05-22,36,76
2020-05-23,37,52
2020-05-24,31,52
2020-05-25,49,89
2020-05-26,40,65
2020-05-27,28,71
2020-05-28,23,53
2020-05-29,33,62
2020-05-30,31,47
2020-05-31,20,29
2020-06-01,37,64
2020-06-02,26,34
2020-06-03,28,55
2020-06-04,27,47
2020-06-05,30,48
2020-06-06,18,29
2020-06-07,12,30
2020-06-08,27,66
2020-06-09,20,44
2020-06-10,18,51
2020-06-11,17,38
2020-06-12,25,41
2020-06-13,20,38
2020-06-14,22,27
2020-06-15,16,48
2020-06-16,17,32
2020-06-17,17,41
2020-06-18,19,46
2020-06-19,28,43
2020-06-20,12,22
2020-06-21,13,28
2020-06-22,22,51
2020-06-23,16,34
2020-06-24,16,52
2020-06-25,14,50
2020-06-26,16,57
2020-06-27,9,28
2020-06-28,8,21
2020-06-29,22,51
2020-06-30,16,44
2020-07-01,15,35
2020-07-02,22,44
2020-07-03,24,46
2020-07-04,10,27
2020-07-05,18,29
2020-07-06,19,37
2020-07-07,16,30
2020-07-08,9,50
2020-07-09,10,35
2020-07-10,21,41
2020-07-11,13,33
2020-07-12,6,30
2020-07-13,12,47
2020-07-14,12,37
2020-07-15,10,46
2020-07-16,17,38
2020-07-17,15,62
2020-07-18,18,26
2020-07-19,9,25
2020-07-20,13,50
2020-07-21,14,51
2020-07-22,13,43
2020-07-23,9,51
2020-07-24,18,38
2020-07-25,14,44
2020-07-26,9,33
2020-07-27,9,41
2020-07-28,10,49
2020-07-29,9,45
2020-07-30,11,44
2020-07-31,18,55
2020-08-01,15,50
2020-08-02,14,34
2020-08-03,18,59
2020-08-04,14,45
2020-08-05,20,54
2020-08-06,15,40
2020-08-07,14,51
2020-08-08,13,44
2020-08-09,11,50
2020-08-10,18,61
2020-08-11,14,44
2020-08-12,24,63
2020-08-13,19,59
2020-08-14,19,61
2020-08-15,13,47
2020-08-16,18,47
2020-08-17,15,69
2020-08-18,21,82
2020-08-19,23,103
2020-08-20,12,65
2020-08-21,12,79
2020-08-22,19,94
2020-08-23,15,75
2020-08-24,23,93
2020-08-25,33,107
2020-08-26,33,108
2020-08-27,28,108
2020-08-28,28,107
2020-08-29,17,90
2020-08-30,13,101
2020-08-31,18,104
2020-09-01,25,126
2020-09-02,29,136
2020-09-03,31,148
2020-09-04,30,135
2020-09-05,20,127
2020-09-06,23,101
2020-09-07,36,165
2020-09-08,37,131
2020-09-09,44,136
2020-09-10,51,148
2020-09-11,46,143
2020-09-12,39,141
2020-09-13,24,149
2020-09-14,41,169
2020-09-15,55,174
2020-09-16,41,185
2020-09-17,38,196
2020-09-18,54,184
2020-09-19,43,145
2020-09-20,31,136
2020-09-21,45,200
2020-09-22,30,217
2020-09-23,52,190
2020-09-24,49,192
2020-09-25,52,209
2020-09-26,50,167
2020-09-27,31,160
2020-09-28,48,211
2020-09-29,56,219
2020-09-30,53,187
2020-10-01,81,239
2020-10-02,89,254
2020-10-03,87,269
2020-10-04,75,248
2020-10-05,108,316
2020-10-06,116,353
2020-10-07,115,349
2020-10-08,118,397
2020-10-09,139,417
2020-10-10,138,433
2020-10-11,142,444
2020-10-12,192,548
2020-10-13,173,632
2020-10-14,191,639
2020-10-15,244,698
2020-10-16,226,722
2020-10-17,287,825
2020-10-18,265,773
2020-10-19,321,963
2020-10-20,365,1025
2020-10-21,357,1050
2020-10-22,377,1132
2020-10-23,437,1275
2020-10-24,428,1148
2020-10-25,439,1219
2020-10-26,525,1446
2020-10-27,530,1430
2020-10-28,497,1504
2020-10-29,563,1537
