date,confirmed,sintomatici,age_class,symptomatics_/_confirmed_14_days_moving_average
2020-01-29,0,0,0_9,
2020-01-30,0,0,0_9,
2020-01-31,0,0,0_9,
2020-02-01,0,0,0_9,
2020-02-02,0,0,0_9,
2020-02-03,0,0,0_9,
2020-02-04,0,0,0_9,
2020-02-05,0,0,0_9,
2020-02-06,0,0,0_9,
2020-02-07,0,0,0_9,
2020-02-08,0,0,0_9,
2020-02-09,0,0,0_9,
2020-02-10,0,0,0_9,
2020-02-11,0,0,0_9,
2020-02-12,0,0,0_9,
2020-02-13,0,0,0_9,
2020-02-14,0,0,0_9,
2020-02-15,0,0,0_9,
2020-02-16,0,0,0_9,0.5
2020-02-17,0,0,0_9,0.5
2020-02-18,0,0,0_9,0.75
2020-02-19,0,0,0_9,0.6
2020-02-20,0,0,0_9,0.5714285714285714
2020-02-21,0,0,0_9,0.6666666666666666
2020-02-22,0,0,0_9,0.6
2020-02-23,2,1,0_9,0.5882352941176471
2020-02-24,0,0,0_9,0.6190476190476191
2020-02-25,2,2,0_9,0.6538461538461539
2020-02-26,1,0,0_9,0.6875
2020-02-27,2,1,0_9,0.7142857142857143
2020-02-28,2,2,0_9,0.6888888888888889
2020-02-29,6,3,0_9,0.7
2020-03-01,2,1,0_9,0.7368421052631579
2020-03-02,4,3,0_9,0.7205882352941176
2020-03-03,5,4,0_9,0.7368421052631579
2020-03-04,6,5,0_9,0.7415730337078652
2020-03-05,3,3,0_9,0.7448979591836735
2020-03-06,10,6,0_9,0.7288135593220338
2020-03-07,5,4,0_9,0.7538461538461538
2020-03-08,9,8,0_9,0.7730496453900709
2020-03-09,11,7,0_9,0.7696969696969697
2020-03-10,10,9,0_9,0.7591623036649214
2020-03-11,14,10,0_9,0.7456140350877193
2020-03-12,11,8,0_9,0.7269230769230769
2020-03-13,22,15,0_9,0.7256317689530686
2020-03-14,18,15,0_9,0.7152317880794702
2020-03-15,13,12,0_9,0.7164634146341463
2020-03-16,28,21,0_9,0.703601108033241
2020-03-17,31,22,0_9,0.6758793969849246
2020-03-18,43,30,0_9,0.6756756756756757
2020-03-19,35,22,0_9,0.6764091858037579
2020-03-20,27,18,0_9,0.6721311475409836
2020-03-21,30,19,0_9,0.6713995943204868
2020-03-22,35,27,0_9,0.6614785992217899
2020-03-23,44,26,0_9,0.655893536121673
2020-03-24,47,24,0_9,0.6476190476190476
2020-03-25,60,41,0_9,0.6439688715953308
2020-03-26,46,32,0_9,0.6284046692607004
2020-03-27,31,19,0_9,0.6240458015267175
2020-03-28,23,18,0_9,0.6228571428571429
2020-03-29,34,21,0_9,0.6130952380952381
2020-03-30,40,26,0_9,0.6086956521739131
2020-03-31,30,17,0_9,0.6204690831556503
2020-04-01,32,21,0_9,0.6283783783783784
2020-04-02,35,14,0_9,0.625
2020-04-03,37,22,0_9,0.6291079812206573
2020-04-04,31,19,0_9,0.6134259259259259
2020-04-05,14,9,0_9,0.6131386861313869
2020-04-06,23,11,0_9,0.609254498714653
2020-04-07,33,21,0_9,0.6082474226804123
2020-04-08,35,29,0_9,0.597911227154047
2020-04-09,34,23,0_9,0.6161879895561357
2020-04-10,25,17,0_9,0.609375
2020-04-11,29,15,0_9,0.5956873315363881
2020-04-12,13,8,0_9,0.5826771653543307
2020-04-13,18,11,0_9,0.5804749340369393
2020-04-14,29,16,0_9,0.5748663101604278
2020-04-15,27,14,0_9,0.5714285714285714
2020-04-16,35,21,0_9,0.5525606469002695
2020-04-17,38,20,0_9,0.5442359249329759
2020-04-18,18,6,0_9,0.5441988950276243
2020-04-19,24,10,0_9,0.5502793296089385
2020-04-20,21,9,0_9,0.5484764542936288
2020-04-21,28,16,0_9,0.5614525139664804
2020-04-22,39,30,0_9,0.5558659217877095
2020-04-23,27,12,0_9,0.5558823529411765
2020-04-24,27,15,0_9,0.5700636942675159
2020-04-25,18,9,0_9,0.5961538461538461
2020-04-26,9,8,0_9,0.6217105263157895
2020-04-27,21,12,0_9,0.6187290969899666
2020-04-28,26,19,0_9,0.6258503401360545
2020-04-29,27,12,0_9,0.5909090909090909
2020-04-30,17,11,0_9,0.6028368794326241
2020-05-01,12,10,0_9,0.6029411764705882
2020-05-02,16,13,0_9,0.599250936329588
2020-05-03,16,13,0_9,0.5864661654135338
2020-05-04,16,5,0_9,0.5884615384615385
2020-05-05,23,15,0_9,0.578125
2020-05-06,31,15,0_9,0.5894308943089431
2020-05-07,23,13,0_9,0.5863453815261044
2020-05-08,17,9,0_9,0.5772357723577236
2020-05-09,13,5,0_9,0.5481171548117155
2020-05-10,8,4,0_9,0.5324675324675324
2020-05-11,15,9,0_9,0.5475113122171946
2020-05-12,22,14,0_9,0.5260663507109005
2020-05-13,17,9,0_9,0.531578947368421
2020-05-14,20,12,0_9,0.5217391304347826
2020-05-15,9,6,0_9,0.518918918918919
2020-05-16,9,2,0_9,0.5277777777777778
2020-05-17,8,5,0_9,0.5257142857142857
2020-05-18,6,3,0_9,0.5120481927710844
2020-05-19,13,5,0_9,0.46835443037974683
2020-05-20,10,5,0_9,0.44966442953020136
2020-05-21,17,8,0_9,0.42567567567567566
2020-05-22,18,9,0_9,0.4
2020-05-23,8,4,0_9,0.4027777777777778
2020-05-24,3,1,0_9,0.3897058823529412
2020-05-25,6,2,0_9,0.37142857142857144
2020-05-26,14,3,0_9,0.375
2020-05-27,8,2,0_9,0.37398373983739835
2020-05-28,19,8,0_9,0.358974358974359
2020-05-29,11,3,0_9,0.32456140350877194
2020-05-30,3,0,0_9,0.3302752293577982
2020-05-31,0,0,0_9,0.3486238532110092
2020-06-01,10,2,0_9,0.3364485981308411
2020-06-02,1,1,0_9,0.3619047619047619
2020-06-03,5,3,0_9,0.3925233644859813
2020-06-04,11,4,0_9,0.36792452830188677
2020-06-05,15,4,0_9,0.36792452830188677
2020-06-06,3,3,0_9,0.38392857142857145
2020-06-07,3,3,0_9,0.3879310344827586
2020-06-08,4,0,0_9,0.375
2020-06-09,12,5,0_9,0.3700787401574803
2020-06-10,10,6,0_9,0.3582089552238806
2020-06-11,18,5,0_9,0.3384615384615385
2020-06-12,11,3,0_9,0.34108527131782945
2020-06-13,9,4,0_9,0.3037037037037037
2020-06-14,4,2,0_9,0.291044776119403
2020-06-15,14,2,0_9,0.29927007299270075
2020-06-16,8,3,0_9,0.302158273381295
2020-06-17,12,4,0_9,0.27941176470588236
2020-06-18,7,0,0_9,0.2857142857142857
2020-06-19,14,4,0_9,0.272
2020-06-20,9,0,0_9,0.256198347107438
