date,confirmed,hospitalizations,hospitalizations_/_confirmed_7_days_moving_average
2020-01-29,2,2,
2020-01-30,0,0,
2020-01-31,0,0,
2020-02-01,0,0,
2020-02-02,0,0,
2020-02-03,0,0,
2020-02-04,0,0,
2020-02-05,0,0,
2020-02-06,1,1,
2020-02-07,0,0,
2020-02-08,0,0,
2020-02-09,0,0,
2020-02-10,0,0,
2020-02-11,0,0,
2020-02-12,0,0,
2020-02-13,0,0,
2020-02-14,0,0,
2020-02-15,0,0,
2020-02-16,0,0,
2020-02-17,0,0,
2020-02-18,0,0,
2020-02-19,0,0,
2020-02-20,0,0,
2020-02-21,0,0,
2020-02-22,0,0,
2020-02-23,0,0,
2020-02-24,0,0,
2020-02-25,1,0,
2020-02-26,0,0,
2020-02-27,1,1,
2020-02-28,2,1,
2020-02-29,0,0,
2020-03-01,11,5,
2020-03-02,10,4,
2020-03-03,14,9,
2020-03-04,39,28,0.5820552880703256
2020-03-05,33,21,0.5967905528055903
2020-03-06,38,26,0.617569773584811
2020-03-07,39,21,0.5954194500407592
2020-03-08,52,29,0.5627958236671329
2020-03-09,44,24,0.551620952027145
2020-03-10,41,20,0.5007337339820321
2020-03-11,96,47,0.48201171526001346
2020-03-12,86,48,0.4546751903987361
2020-03-13,125,41,0.4346951704187161
2020-03-14,108,44,0.411712055972187
2020-03-15,101,37,0.3958631193101435
2020-03-16,143,58,0.3850364630662506
2020-03-17,156,51,0.408272778153033
2020-03-18,206,78,0.42331319928482464
2020-03-19,255,123,0.4386485674081032
2020-03-20,214,105,0.45610333486287064
2020-03-21,197,101,0.47303640179593753
2020-03-22,171,81,0.4811855261679198
2020-03-23,252,133,0.45257100343575
2020-03-24,220,98,0.4299105812061105
2020-03-25,241,105,0.4188119590161178
2020-03-26,273,77,0.4197592090309185
2020-03-27,256,85,0.3864130748783328
2020-03-28,200,87,0.37575684369230034
2020-03-29,127,61,0.36407797754469434
2020-03-30,248,73,0.3895167514497259
2020-03-31,151,56,0.38970276335448784
2020-04-01,178,63,0.3632741919259164
2020-04-02,163,75,0.348487996722056
2020-04-03,144,48,0.3548434447930466
2020-04-04,156,39,0.3402428432595598
2020-04-05,69,26,0.3392437277224943
2020-04-06,121,41,0.32430556431807317
2020-04-07,134,36,0.32527738161642106
2020-04-08,147,51,0.35110155744059696
2020-04-09,180,64,0.3316947376147095
2020-04-10,147,50,0.3475263739466509
2020-04-11,130,56,0.3655842328005297
