date,hospitalizations,intensive_care,intensive_care_/_hospitalizations_7_days_moving_average
2020-02-20,4,1,
2020-02-21,1,0,
2020-02-22,1,0,
2020-02-23,1,0,0.21428571428571427
2020-02-24,4,3,0.19444444444444445
2020-02-25,4,2,0.23526077097505668
2020-02-26,3,0,0.2709750566893424
2020-02-27,9,1,0.31179138321995464
2020-02-28,14,4,0.25433796707088635
2020-02-29,8,2,0.21652284102046618
2020-03-01,7,2,0.24373372537420765
2020-03-02,23,8,0.2482688727664979
2020-03-03,17,4,0.26102397480731426
2020-03-04,21,4,0.2656027293860688
2020-03-05,14,2,0.24220800564291306
2020-03-06,24,9,0.224264596395156
2020-03-07,39,11,0.21105931428231087
2020-03-08,41,5,0.19855431228151055
2020-03-09,54,12,0.19819627432948764
2020-03-10,56,8,0.17021119970262197
2020-03-11,68,7,0.14661574753574122
2020-03-12,57,8,0.14267123369707183
2020-03-13,67,12,0.1372409914247243
2020-03-14,77,9,0.14280685413344416
2020-03-15,53,5,0.1421854788227565
2020-03-16,76,14,0.14422666426057787
2020-03-17,77,14,0.13092909679834983
2020-03-18,71,7,0.12297786435732147
2020-03-19,97,15,0.13671165976227592
2020-03-20,93,8,0.12595456901560728
2020-03-21,98,6,0.11160845001832549
2020-03-22,63,12,0.1256624711146001
2020-03-23,101,11,0.10825500111291007
2020-03-24,86,7,0.10348501162305639
2020-03-25,66,13,0.10212781849950156
2020-03-26,61,2,0.08041143964026555
2020-03-27,57,3,0.07278924884975793
2020-03-28,58,3,0.07619893585797614
2020-03-29,52,2,0.05646376906398583
2020-03-30,54,3,0.05598160898684022
2020-03-31,38,4,0.06206825417122976
2020-04-01,34,2,0.06261559954616135
2020-04-02,34,1,0.06333227417587946
2020-04-03,21,2,0.07253862338222865
2020-04-04,18,1,0.0656642947033887
2020-04-05,23,1,0.057260933358850886
2020-04-06,25,3,0.06326333431923503
2020-04-07,35,2,0.0580612534869021
2020-04-08,21,0,0.055619251044899655
2020-04-09,14,1,0.06039708190968703
2020-04-10,17,1,0.060060947455905525
2020-04-11,26,1,0.051897682149783075
2020-04-12,13,1,0.051897682149783075
2020-04-13,17,2,0.04169360051713002
2020-04-14,15,0,0.06503627091862395
2020-04-15,20,0,0.07541478129713433
2020-04-16,15,0,0.06442577030812334
2020-04-17,9,2,0.04761904761904772
2020-04-18,9,1,0.07142857142857152
2020-04-19,2,0,0.07142857142857152
2020-04-20,15,0,0.10000000000000009
2020-04-21,6,1,0.06825396825396834
2020-04-22,2,0,0.07023809523809534
2020-04-23,5,1,0.07023809523809534
2020-04-24,3,0,0.07023809523809534
2020-04-25,8,1,0.04642857142857152
2020-04-26,3,0,0.04642857142857152
2020-04-27,7,0,0.017857142857142943
2020-04-28,1,0,0.017857142857142943
2020-04-29,4,0,8.723180907769087e-17
2020-04-30,2,0,8.723180907769087e-17
2020-05-01,1,0,8.723180907769087e-17
2020-05-02,3,0,8.723180907769087e-17
2020-05-03,3,0,8.723180907769087e-17
2020-05-04,2,0,8.723180907769087e-17
2020-05-05,1,0,8.723180907769087e-17
2020-05-06,1,0,
2020-05-07,4,0,
2020-05-08,2,0,
2020-05-09,0,0,
2020-05-10,1,0,
2020-05-11,1,0,
2020-05-12,1,0,
2020-05-13,0,0,
2020-05-14,0,0,
2020-05-15,0,0,
2020-05-16,0,0,
2020-05-17,2,0,
2020-05-18,0,0,
2020-05-19,1,0,
2020-05-20,0,0,
2020-05-21,0,0,
2020-05-22,0,0,
2020-05-23,0,0,
2020-05-24,0,0,
2020-05-25,1,0,
2020-05-26,0,0,
2020-05-27,0,0,
2020-05-28,0,0,
2020-05-29,0,0,
2020-05-30,0,0,
2020-05-31,0,0,
2020-06-01,0,0,
2020-06-02,0,0,
2020-06-03,0,0,
2020-06-04,0,0,
2020-06-05,0,0,
2020-06-06,0,0,
2020-06-07,0,0,
2020-06-08,0,0,
2020-06-09,0,0,
2020-06-10,0,0,
2020-06-11,0,0,
2020-06-12,0,0,
2020-06-13,0,0,
2020-06-14,0,0,
2020-06-15,0,0,
2020-06-16,0,0,
2020-06-17,0,0,
2020-06-18,0,0,
2020-06-19,0,0,
2020-06-20,0,0,
2020-06-21,0,0,
2020-06-22,1,0,
2020-06-23,0,0,
2020-06-24,0,0,
2020-06-25,0,0,
2020-06-26,0,0,
2020-06-27,0,0,
2020-06-28,0,0,
2020-06-29,0,0,
2020-06-30,0,0,
2020-07-01,1,0,
2020-07-02,0,0,
2020-07-03,0,0,
2020-07-04,0,0,
2020-07-05,0,0,
2020-07-06,1,0,
2020-07-07,0,0,
2020-07-08,1,0,
2020-07-09,0,0,
2020-07-10,0,0,
2020-07-11,1,0,
2020-07-12,1,0,
2020-07-13,0,0,
2020-07-14,0,0,
2020-07-15,0,0,
2020-07-16,0,0,
2020-07-17,0,0,
2020-07-18,0,0,
2020-07-19,0,0,
2020-07-20,0,0,
2020-07-21,1,0,
2020-07-22,0,0,
2020-07-23,1,0,
2020-07-24,0,0,
2020-07-25,0,0,
2020-07-26,1,0,
2020-07-27,1,0,
2020-07-28,0,0,
2020-07-29,0,0,
2020-07-30,1,0,
2020-07-31,1,0,
2020-08-01,1,0,
2020-08-02,0,0,
2020-08-03,1,0,
2020-08-04,1,0,
2020-08-05,0,0,
2020-08-06,0,0,
2020-08-07,0,0,
2020-08-08,0,0,
2020-08-09,2,0,
2020-08-10,0,0,
2020-08-11,3,0,
2020-08-12,0,0,
2020-08-13,1,0,
2020-08-14,1,0,
2020-08-15,0,0,
2020-08-16,1,0,
2020-08-17,0,0,
2020-08-18,1,0,
2020-08-19,3,0,
2020-08-20,0,0,
2020-08-21,0,0,
2020-08-22,2,0,
2020-08-23,0,0,
2020-08-24,1,0,
2020-08-25,2,0,
2020-08-26,1,0,
2020-08-27,3,0,
2020-08-28,3,0,
2020-08-29,0,0,
2020-08-30,0,0,
2020-08-31,0,0,
2020-09-01,0,0,
2020-09-02,1,0,
2020-09-03,2,1,
2020-09-04,0,0,
2020-09-05,0,0,
2020-09-06,0,0,
2020-09-07,1,0,
2020-09-08,4,0,
2020-09-09,0,0,
2020-09-10,3,0,
2020-09-11,3,0,
2020-09-12,3,0,
2020-09-13,2,0,0.028571428571428668
2020-09-14,2,0,0.028571428571428668
2020-09-15,3,0,0.028571428571428668
2020-09-16,5,1,0.028571428571428668
2020-09-17,2,0,0.028571428571428668
2020-09-18,2,0,0.028571428571428668
2020-09-19,3,0,0.028571428571428668
2020-09-20,1,0,
2020-09-21,3,0,
2020-09-22,1,0,
2020-09-23,0,0,
2020-09-24,4,0,
2020-09-25,2,1,
2020-09-26,3,0,
2020-09-27,2,0,
2020-09-28,1,0,
2020-09-29,2,0,
2020-09-30,0,0,
2020-10-01,0,0,
2020-10-02,1,0,
2020-10-03,3,0,
2020-10-04,2,0,
2020-10-05,2,0,9.516197353929913e-17
2020-10-06,3,0,9.516197353929913e-17
2020-10-07,4,0,9.516197353929913e-17
2020-10-08,6,0,0.012987012987013083
2020-10-09,7,0,0.012987012987013083
2020-10-10,5,0,0.012987012987013083
2020-10-11,11,1,0.012987012987013083
2020-10-12,11,0,0.012987012987013083
2020-10-13,6,0,0.012987012987013083
2020-10-14,8,0,0.020505809979494284
2020-10-15,15,0,0.007518796992481298
2020-10-16,6,0,0.021804511278195583
2020-10-17,19,1,0.032793522267206575
2020-10-18,9,0,0.03959624335564195
2020-10-19,10,1,0.03959624335564195
2020-10-20,13,1,0.03959624335564195
2020-10-21,21,1,0.056922166860055155
2020-10-22,18,0,0.07535534658355747
2020-10-23,25,0,0.0967839180121289
2020-10-24,23,4,0.10960443083264172
2020-10-25,31,4,0.1420874240299206
2020-10-26,44,11,0.16249558729522673
2020-10-27,24,4,0.16249558729522673
2020-10-28,40,11,0.1478549484309854
2020-10-29,28,4,0.1562074829931974
2020-10-30,14,0,0.13750000000000012
2020-10-31,14,1,0.12762775842044147
2020-11-01,16,3,0.10291930360994585
2020-11-02,42,5,0.09931786303371536
2020-11-03,41,4,0.11519087890673123
2020-11-04,49,5,0.11797381026109117
2020-11-05,34,4,0.11159625924068302
2020-11-06,27,3,0.11322299689226538
2020-11-07,33,3,0.12309523847182403
2020-11-08,28,4,0.12637512185374825
2020-11-09,23,3,0.11552078011705355
2020-11-10,18,3,0.10716656123651888
2020-11-11,16,2,0.10516855923851687
2020-11-12,24,1,0.0949644776058638
2020-11-13,19,1,0.08143297804951952
2020-11-14,26,2,0.07548059709713857
2020-11-15,28,2,0.08048059709713858
2020-11-16,28,1,0.09595678757332905
2020-11-17,24,3,0.0963744985173558
2020-11-18,25,4,0.11395691609977339
2020-11-19,20,3,0.11714569160997747
2020-11-20,18,1,0.12791666666666682
2020-11-21,20,4,0.13386904761904778
2020-11-22,32,3,0.11101190476190491
2020-11-23,18,2,0.10148809523809539
2020-11-24,18,3,0.10597394755003466
2020-11-25,20,0,0.09688303845912556
2020-11-26,24,2,0.12860296327115564
2020-11-27,23,2,0.1263353895750105
2020-11-28,22,3,0.11681158005120097
2020-11-29,19,6,0.1393679710286446
2020-11-30,21,2,0.14787137238918882
2020-12-01,30,3,0.13544901214074162
2020-12-02,19,3,0.1354490121407416
2020-12-03,14,2,0.09747908732871154
2020-12-04,15,0,0.08387364515184079
2020-12-05,22,3,0.09706045833865397
2020-12-06,20,1,0.08878978164692465
2020-12-07,14,0,0.09093800935906216
2020-12-08,26,5,0.09774073044749754
2020-12-09,20,2,0.08718878239554949
2020-12-10,19,3,0.09025000688534539
2020-12-11,21,1,0.11703572117105968
2020-12-12,32,2,0.09670605084138936
2020-12-13,28,2,0.10763042058928853
2020-12-14,16,3,0.0912852097360685
2020-12-15,20,1,0.09746950163464614
2020-12-16,17,3,0.12935725673668694
2020-12-17,23,1,0.11915317510403389
2020-12-18,22,2,0.09656914149058851
2020-12-19,21,6,0.11799771291915993
2020-12-20,13,0,0.1017162003141179
2020-12-21,34,1,0.10911046236676505
2020-12-22,20,4,0.1278694811257838
2020-12-23,16,1,0.10292617046818743
2020-12-24,21,2,0.12673569427771122
2020-12-25,18,4,0.1595710506424794
2020-12-26,27,3,0.13592573044543507
2020-12-27,30,5,0.15378287330257792
2020-12-28,27,7,0.17078967602366632
2020-12-29,29,1,0.1798599708082468
2020-12-30,16,3,0.18303457398284997
2020-12-31,28,6,0.15922505017332614
2021-01-01,14,4,0.1266522988505748
2021-01-02,30,4,0.1473672161172162
2021-01-03,28,0,0.14098966509680805
2021-01-04,32,1,0.13522214069574326
2021-01-05,39,7,0.1218783416376585
2021-01-06,14,2,0.13854500830432517
2021-01-07,23,4,0.15153202129133816
2021-01-08,26,5,0.16611535462467147
2021-01-09,36,9,0.17023623374555058
2021-01-10,22,2,0.17580209645427045
2021-01-11,15,2,0.158893883893884
2021-01-12,24,5,0.17489961729092177
2021-01-13,22,4,0.16174172255407965
2021-01-14,18,1,0.1884372492496064
2021-01-15,23,7,0.18526264607500323
2021-01-16,19,3,0.18611298621105762
2021-01-17,18,5,0.16013896023703164
2021-01-18,18,2,0.1680754681735396
2021-01-19,14,3,0.13139992839240974
2021-01-20,14,0,0.11564625850340152
2021-01-21,36,4,0.10657596371882101
2021-01-22,21,1,0.09910630919034295
2021-01-23,21,1,0.07563692143524092
2021-01-24,14,3,0.08277977857809807
2021-01-25,17,1,0.08051220488195295
2021-01-26,20,1,0.07370948379351756
2021-01-27,20,1,0.09987379567211516
2021-01-28,21,2,0.08711869363129883
2021-01-29,16,0,0.08551805337519637
2021-01-30,26,6,0.08551805337519637
2021-01-31,16,2,0.09980376766091066
2021-02-01,21,1,0.11681057038199909
2021-02-02,20,1,0.12173667875638332
2021-02-03,20,3,0.11624217326187782
2021-02-04,14,3,0.11786554988525444
2021-02-05,29,1,0.1199914002253905
2021-02-06,26,5,0.12427711451110478
2021-02-07,22,3,0.11177711451110477
2021-02-08,16,1,0.09797159230222122
2021-02-09,25,2,0.1287597696421227
2021-02-10,32,2,0.15230765033286056
2021-02-11,17,2,0.17484393757503014
2021-02-12,16,4,0.192701080432173
2021-02-13,14,5,0.2384153661464587
2021-02-14,17,5,0.24377250900360156
2021-02-15,32,6,0.28711616225437553
2021-02-16,10,4,0.2718100398053959
2021-02-17,20,2,0.2343950738190014
2021-02-18,19,8,0.24380683852488372
2021-02-19,21,3,0.24299515021319543
2021-02-20,21,2,0.20265901575941392
2021-02-21,25,9,0.21035132345172158
2021-02-22,33,6,0.1874680282572136
2021-02-23,34,4,0.19453239246443493
2021-02-24,39,6,0.18933031163210204
2021-02-25,23,6,0.15521775751954792
2021-02-26,26,5,0.14917728636279767
2021-02-27,17,1,0.15327648701866978
2021-02-28,33,4,0.1585093493943893
2021-03-01,43,6,0.151545298952078
2021-03-02,41,6,0.17962832703510606
2021-03-03,63,12,0.21451500898061154
2021-03-04,33,7,0.2257704202360228
2021-03-05,36,14,0.24270322486575166
2021-03-06,33,10,0.24011231983582224
2021-03-07,35,7,0.2245632430622557
2021-03-08,31,8,0.21623823473724735
2021-03-09,39,5,0.2031537216527343
2021-03-10,49,4,0.2074827259817386
2021-03-11,26,4,0.2217684402674529
2021-03-12,37,11,0.2252747516279017
2021-03-13,48,16,0.23473751109066116
2021-03-14,30,9,0.2536879484084454
2021-03-15,46,13,0.29420992643042343
2021-03-16,36,7,0.2993579315784286
