date,hospitalizations,intensive_care,intensive_care_/_hospitalizations_7_days_moving_average
2020-03-03,1,,
2020-03-04,1,1.0,
2020-03-05,4,1.0,
2020-03-06,0,0.0,
2020-03-07,1,0.0,
2020-03-08,0,0.0,
2020-03-09,1,1.0,
2020-03-10,0,0.0,
2020-03-11,1,0.0,
2020-03-12,1,1.0,
2020-03-13,0,0.0,
2020-03-14,0,0.0,
2020-03-15,0,0.0,
2020-03-16,4,0.0,
2020-03-17,2,0.0,
2020-03-18,11,1.0,
2020-03-19,4,0.0,0.24512987012987011
2020-03-20,8,1.0,0.24512987012987011
2020-03-21,2,1.0,
2020-03-22,1,1.0,
2020-03-23,3,0.0,
2020-03-24,0,0.0,
2020-03-25,2,0.0,
2020-03-26,3,0.0,
2020-03-27,2,0.0,
2020-03-28,1,0.0,
2020-03-29,0,0.0,
2020-03-30,3,0.0,
2020-03-31,5,0.0,
2020-04-01,1,0.0,
2020-04-02,2,0.0,0.0
2020-04-03,1,0.0,0.0
2020-04-04,2,0.0,
2020-04-05,1,0.0,
2020-04-06,2,0.0,
2020-04-07,0,0.0,
2020-04-08,0,0.0,
2020-04-09,0,0.0,
2020-04-10,3,0.0,
2020-04-11,1,0.0,
2020-04-12,1,0.0,
2020-04-13,0,0.0,
2020-04-14,1,0.0,
2020-04-15,0,0.0,
2020-04-16,3,0.0,
2020-04-17,0,0.0,
2020-04-18,0,0.0,
2020-04-19,0,0.0,
2020-04-20,0,0.0,
2020-04-21,0,0.0,
2020-04-22,1,0.0,
2020-04-23,0,0.0,
2020-04-24,1,0.0,
2020-04-25,1,0.0,
2020-04-26,0,0.0,
2020-04-27,0,0.0,
2020-04-28,0,0.0,
2020-04-29,0,0.0,
2020-04-30,0,0.0,
2020-05-01,0,0.0,
2020-05-02,0,0.0,
2020-05-03,0,0.0,
2020-05-04,1,0.0,
2020-05-05,0,0.0,
2020-05-06,1,0.0,
2020-05-07,0,0.0,
2020-05-08,2,1.0,
2020-05-09,0,0.0,
2020-05-10,3,1.0,
2020-05-11,2,0.0,
2020-05-12,1,0.0,
2020-05-13,2,0.0,
2020-05-14,0,0.0,
2020-05-15,0,0.0,
2020-05-16,3,0.0,
2020-05-17,0,0.0,
2020-05-18,0,0.0,
2020-05-19,0,0.0,
2020-05-20,1,0.0,
2020-05-21,0,0.0,
2020-05-22,0,0.0,
2020-05-23,1,0.0,
2020-05-24,0,0.0,
2020-05-25,0,0.0,
2020-05-26,2,0.0,
2020-05-27,0,0.0,
2020-05-28,0,0.0,
2020-05-29,0,0.0,
2020-05-30,0,0.0,
2020-05-31,0,0.0,
2020-06-01,1,0.0,
2020-06-02,0,0.0,
2020-06-03,0,0.0,
2020-06-04,0,0.0,
2020-06-05,0,0.0,
2020-06-06,0,0.0,
2020-06-07,0,0.0,
2020-06-08,0,0.0,
2020-06-09,0,0.0,
2020-06-10,0,0.0,
2020-06-11,0,0.0,
2020-06-12,0,0.0,
2020-06-13,0,0.0,
2020-06-14,0,0.0,
2020-06-15,1,0.0,
2020-06-16,0,0.0,
2020-06-17,0,0.0,
2020-06-18,1,0.0,
2020-06-19,0,0.0,
2020-06-20,0,0.0,
2020-06-21,1,0.0,
2020-06-22,0,0.0,
2020-06-23,0,0.0,
2020-06-24,0,0.0,
2020-06-25,0,0.0,
2020-06-26,0,0.0,
2020-06-27,0,0.0,
2020-06-28,0,0.0,
2020-06-29,0,0.0,
2020-06-30,0,0.0,
2020-07-01,0,0.0,
2020-07-02,0,0.0,
2020-07-03,0,0.0,
2020-07-04,0,0.0,
2020-07-05,0,0.0,
2020-07-06,0,0.0,
2020-07-07,0,0.0,
2020-07-08,0,0.0,
2020-07-09,0,0.0,
2020-07-10,1,0.0,
2020-07-11,0,0.0,
2020-07-12,0,0.0,
2020-07-13,0,0.0,
2020-07-14,0,0.0,
2020-07-15,0,0.0,
2020-07-16,0,0.0,
2020-07-17,0,0.0,
2020-07-18,0,0.0,
2020-07-19,0,0.0,
2020-07-20,0,0.0,
2020-07-21,0,0.0,
2020-07-22,0,0.0,
2020-07-23,0,0.0,
2020-07-24,0,0.0,
2020-07-25,1,0.0,
2020-07-26,0,0.0,
2020-07-27,0,0.0,
2020-07-28,0,0.0,
2020-07-29,0,0.0,
2020-07-30,0,0.0,
2020-07-31,0,0.0,
2020-08-01,0,0.0,
2020-08-02,0,0.0,
2020-08-03,0,0.0,
2020-08-04,0,0.0,
2020-08-05,0,0.0,
2020-08-06,0,0.0,
2020-08-07,0,0.0,
2020-08-08,0,0.0,
2020-08-09,0,0.0,
2020-08-10,0,0.0,
2020-08-11,0,0.0,
2020-08-12,0,0.0,
2020-08-13,0,0.0,
2020-08-14,0,0.0,
2020-08-15,0,0.0,
2020-08-16,0,0.0,
2020-08-17,0,0.0,
2020-08-18,1,0.0,
2020-08-19,0,0.0,
2020-08-20,0,0.0,
2020-08-21,0,0.0,
2020-08-22,0,0.0,
2020-08-23,0,0.0,
2020-08-24,1,0.0,
2020-08-25,1,0.0,
2020-08-26,0,0.0,
2020-08-27,0,0.0,
2020-08-28,0,0.0,
2020-08-29,0,0.0,
2020-08-30,0,0.0,
2020-08-31,0,0.0,
2020-09-01,0,0.0,
2020-09-02,0,0.0,
2020-09-03,0,0.0,
2020-09-04,0,0.0,
2020-09-05,0,0.0,
2020-09-06,0,0.0,
2020-09-07,2,0.0,
2020-09-08,0,0.0,
2020-09-09,0,0.0,
2020-09-10,0,0.0,
2020-09-11,0,0.0,
2020-09-12,2,1.0,
2020-09-13,0,0.0,
2020-09-14,1,0.0,
2020-09-15,1,0.0,
2020-09-16,0,0.0,
2020-09-17,0,0.0,
2020-09-18,1,0.0,
2020-09-19,0,0.0,
2020-09-20,1,0.0,
2020-09-21,1,0.0,
2020-09-22,0,0.0,
2020-09-23,0,0.0,
2020-09-24,1,0.0,
2020-09-25,1,0.0,
2020-09-26,0,0.0,
2020-09-27,2,0.0,
2020-09-28,0,0.0,
2020-09-29,0,0.0,
2020-09-30,1,0.0,
2020-10-01,1,0.0,
2020-10-02,0,0.0,
2020-10-03,1,0.0,
2020-10-04,0,0.0,
2020-10-05,0,0.0,
2020-10-06,3,0.0,
2020-10-07,1,0.0,
2020-10-08,0,0.0,
2020-10-09,2,0.0,
2020-10-10,1,0.0,
2020-10-11,0,0.0,
2020-10-12,1,0.0,
2020-10-13,0,0.0,
2020-10-14,2,1.0,
2020-10-15,0,0.0,
2020-10-16,2,0.0,
2020-10-17,3,1.0,
2020-10-18,0,0.0,
2020-10-19,1,0.0,
2020-10-20,4,0.0,
2020-10-21,4,1.0,
2020-10-22,3,0.0,0.09523809523809522
2020-10-23,4,1.0,0.14285714285714282
2020-10-24,6,1.0,0.1714285714285714
2020-10-25,1,0.0,0.13571428571428568
2020-10-26,6,2.0,0.16428571428571423
2020-10-27,5,1.0,0.16428571428571423
2020-10-28,2,0.0,0.15833333333333327
2020-10-29,5,1.0,0.15833333333333327
2020-10-30,4,1.0,0.14642857142857138
2020-10-31,8,1.0,0.11785714285714281
2020-11-01,3,0.0,0.11785714285714281
2020-11-02,8,2.0,0.08928571428571426
2020-11-03,7,0.0,0.05357142857142854
2020-11-04,7,0.0,
2020-11-05,6,0.0,
2020-11-06,2,0.0,
2020-11-07,0,0.0,
2020-11-08,5,0.0,
2020-11-09,16,1.0,
2020-11-10,9,0.0,
2020-11-11,7,2.0,0.1426020408163265
2020-11-12,5,1.0,0.1426020408163265
2020-11-13,5,1.0,0.13367346938775507
2020-11-14,8,2.0,0.15408163265306118
2020-11-15,9,0.0,0.15408163265306118
2020-11-16,5,0.0,0.12551020408163263
2020-11-17,7,1.0,0.11479591836734691
2020-11-18,7,2.0,0.0790816326530612
2020-11-19,9,0.0,0.0790816326530612
2020-11-20,8,1.0,0.09336734693877548
2020-11-21,6,0.0,0.07295918367346935
2020-11-22,9,0.0,0.05255102040816322
2020-11-23,10,1.0,0.07636054421768702
2020-11-24,5,0.0,0.09024943310657592
2020-11-25,7,1.0,0.11065759637188204
2020-11-26,6,1.0,0.11065759637188204
2020-11-27,9,2.0,0.09637188208616776
2020-11-28,7,1.0,0.09637188208616776
2020-11-29,6,0.0,0.07596371882086163
2020-11-30,6,0.0,0.19501133786848066
2020-12-01,2,0.0,0.1989795918367346
2020-12-02,3,0.0,0.2261904761904761
2020-12-03,1,1.0,0.2261904761904761
2020-12-04,4,1.0,0.2547619047619047
2020-12-05,6,2.0,0.2547619047619047
2020-12-06,1,0.0,0.2547619047619047
2020-12-07,5,1.0,0.1277777777777777
2020-12-08,4,0.0,0.09206349206349199
2020-12-09,2,0.0,0.06485260770975049
2020-12-10,9,1.0,0.06485260770975049
2020-12-11,2,0.0,0.03628117913832191
2020-12-12,7,1.0,0.03628117913832191
2020-12-13,4,0.0,0.13151927437641714
2020-12-14,1,0.0,0.11564625850340127
2020-12-15,3,0.0,0.16326530612244888
2020-12-16,3,2.0,0.14285714285714277
2020-12-17,5,0.0,0.14285714285714277
2020-12-18,3,1.0,0.14285714285714277
2020-12-19,3,0.0,0.14285714285714277
2020-12-20,2,0.0,0.047619047619047526
2020-12-21,5,0.0,0.047619047619047526
2020-12-22,5,0.0,0.0
2020-12-23,3,0.0,0.028571428571428487
2020-12-24,3,0.0,0.05238095238095229
2020-12-25,4,0.0,0.12380952380952372
2020-12-26,5,1.0,0.19523809523809516
2020-12-27,6,1.0,0.19523809523809516
2020-12-28,2,1.0,0.26666666666666655
2020-12-29,2,1.0,0.26666666666666655
2020-12-30,3,0.0,0.2738095238095238
2020-12-31,4,2.0,0.24999999999999994
2021-01-01,2,0.0,0.1989795918367346
2021-01-02,12,3.0,0.12755102040816318
2021-01-03,2,0.0,0.12755102040816318
2021-01-04,7,1.0,0.09183673469387747
2021-01-05,1,0.0,0.09183673469387747
2021-01-06,1,0.0,0.05612244897959177
2021-01-07,4,1.0,0.05612244897959177
2021-01-08,6,0.0,0.08333333333333326
2021-01-09,1,0.0,0.08333333333333326
2021-01-10,5,0.0,0.11904761904761897
2021-01-11,6,2.0,0.15476190476190468
2021-01-12,5,0.0,0.15476190476190468
2021-01-13,4,1.0,0.18333333333333326
2021-01-14,4,2.0,0.21190476190476182
2021-01-15,6,0.0,0.19285714285714278
2021-01-16,5,1.0,0.2642857142857142
2021-01-17,5,1.0,0.22857142857142848
2021-01-18,5,1.0,0.15714285714285706
2021-01-19,4,2.0,0.15714285714285706
2021-01-20,3,0.0,0.14897959183673462
2021-01-21,1,0.0,0.12040816326530604
2021-01-22,4,0.0,0.13945578231292508
2021-01-23,7,1.0,0.13945578231292508
2021-01-24,1,0.0,0.1870748299319727
2021-01-25,3,1.0,0.2346938775510203
2021-01-26,2,1.0,0.3061224489795918
2021-01-27,3,1.0,0.3061224489795918
2021-01-28,3,1.0,0.3775510204081632
2021-01-29,4,2.0,0.35034013605442166
2021-01-30,7,1.0,0.3265306122448979
2021-01-31,4,2.0,0.29319727891156455
2021-02-01,7,1.0,0.28129251700680263
2021-02-02,6,2.0,0.2098639455782312
2021-02-03,10,1.0,0.20731292517006797
2021-02-04,4,1.0,0.18350340136054413
2021-02-05,4,0.0,0.19880952380952374
2021-02-06,8,1.0,0.1797619047619047
2021-02-07,6,2.0,0.213095238095238
2021-02-08,4,1.0,0.2249999999999999
2021-02-09,5,1.0,0.2249999999999999
2021-02-10,6,2.0,0.29285714285714276
2021-02-11,6,2.0,0.263095238095238
2021-02-12,6,0.0,0.28095238095238084
2021-02-13,10,6.0,0.2931972789115645
2021-02-14,8,1.0,0.26938775510204066
2021-02-15,8,3.0,0.28670377241805794
2021-02-16,7,2.0,0.28670377241805794
2021-02-17,12,2.0,0.22696351267779816
2021-02-18,11,5.0,0.23767779839208386
2021-02-19,9,0.0,0.24124922696351245
2021-02-20,11,2.0,0.2004329004329002
2021-02-21,10,2.0,0.2123376623376621
2021-02-22,5,2.0,0.2188311688311686
2021-02-23,11,0.0,0.2545454545454543
2021-02-24,4,1.0,0.2571428571428569
2021-02-25,2,1.0,0.22857142857142834
2021-02-26,4,1.0,0.19183673469387733
2021-02-27,10,2.0,0.21224489795918342
2021-02-28,10,0.0,0.17653061224489772
2021-03-01,7,1.0,0.140816326530612
2021-03-02,7,1.0,0.12097505668934216
2021-03-03,4,0.0,0.1281179138321993
2021-03-04,4,1.0,0.1566893424036279
2021-03-05,9,1.0,0.13628117913832177
2021-03-06,8,2.0,0.11587301587301566
2021-03-07,5,1.0,0.11587301587301566
2021-03-08,10,0.0,0.1337301587301585
2021-03-09,5,0.0,0.18928571428571406
2021-03-10,9,0.0,0.19438775510204057
2021-03-11,8,3.0,0.165816326530612
2021-03-12,2,1.0,0.165816326530612
2021-03-13,7,2.0,0.2015306122448977
2021-03-14,4,0.0,0.3086734693877548
2021-03-15,3,0.0,0.25510204081632626
2021-03-16,12,3.0,0.29081632653061196
2021-03-17,4,3.0,0.2976190476190474
2021-03-18,7,0.0,0.2976190476190474
2021-03-19,4,3.0,0.2976190476190474
2021-03-20,3,1.0,
2021-03-21,2,0.0,
2021-03-22,5,0.0,
2021-03-23,0,0.0,
2021-03-24,5,0.0,
2021-03-25,5,1.0,
2021-03-26,5,1.0,
2021-03-27,4,1.0,0.09285714285714262
2021-03-28,1,0.0,0.09285714285714262
2021-03-29,2,0.0,0.06428571428571404
2021-03-30,1,0.0,0.035714285714285476
2021-03-31,1,0.0,0.028571428571428335
2021-04-01,2,0.0,0.028571428571428335
2021-04-02,4,0.0,0.07619047619047595
2021-04-03,5,1.0,0.07619047619047595
2021-04-04,1,0.0,0.07619047619047595
2021-04-05,3,1.0,0.07619047619047595
2021-04-06,5,0.0,0.12380952380952356
2021-04-07,2,0.0,0.095238095238095
2021-04-08,2,0.0,0.095238095238095
2021-04-09,3,1.0,0.11904761904761882
2021-04-10,1,0.0,0.11904761904761882
2021-04-11,2,0.0,0.11904761904761882
2021-04-12,2,1.0,0.13690476190476167
2021-04-13,1,0.0,0.1607142857142855
2021-04-14,3,0.0,
2021-04-15,8,1.0,
2021-04-16,2,1.0,
2021-04-17,0,0.0,
2021-04-18,1,1.0,
2021-04-19,3,2.0,
2021-04-20,4,0.0,
2021-04-21,1,0.0,0.30952380952380926
2021-04-22,2,1.0,0.16666666666666638
2021-04-23,4,0.0,0.1428571428571426
2021-04-24,2,0.0,0.1428571428571426
2021-04-25,1,0.0,0.1428571428571426
2021-04-26,2,1.0,0.07142857142857116
2021-04-27,1,0.0,0.07142857142857116
2021-04-28,1,0.0,
2021-04-29,1,0.0,
2021-04-30,1,0.0,
2021-05-01,0,0.0,
2021-05-02,0,0.0,
2021-05-03,2,0.0,
2021-05-04,1,1.0,
2021-05-05,1,0.0,
2021-05-06,1,0.0,
2021-05-07,0,0.0,
2021-05-08,0,0.0,
2021-05-09,2,0.0,
2021-05-10,2,0.0,
2021-05-11,1,0.0,
2021-05-12,1,0.0,
2021-05-13,0,0.0,
2021-05-14,0,0.0,
2021-05-15,1,0.0,
2021-05-16,0,0.0,
2021-05-17,0,0.0,
2021-05-18,0,0.0,
2021-05-19,0,0.0,
2021-05-20,1,0.0,
2021-05-21,0,0.0,
2021-05-22,0,0.0,
2021-05-23,0,0.0,
2021-05-24,0,0.0,
2021-05-25,1,0.0,
2021-05-26,0,0.0,
2021-05-27,0,0.0,
2021-05-28,0,0.0,
2021-05-29,0,0.0,
2021-05-30,0,0.0,
2021-05-31,1,0.0,
2021-06-01,0,0.0,
2021-06-02,1,0.0,
2021-06-03,0,0.0,
2021-06-04,0,0.0,
2021-06-05,0,0.0,
2021-06-06,1,0.0,
2021-06-07,0,0.0,
2021-06-08,0,0.0,
2021-06-09,0,0.0,
2021-06-10,0,0.0,
2021-06-11,0,0.0,
2021-06-12,0,0.0,
2021-06-13,0,0.0,
2021-06-14,0,0.0,
2021-06-15,0,0.0,
2021-06-16,0,0.0,
2021-06-17,1,0.0,
2021-06-18,0,0.0,
2021-06-19,0,0.0,
2021-06-20,0,0.0,
2021-06-21,0,0.0,
2021-06-22,1,0.0,
2021-06-23,0,0.0,
2021-06-24,0,0.0,
2021-06-25,0,0.0,
2021-06-26,0,0.0,
2021-06-27,0,0.0,
2021-06-28,0,0.0,
2021-06-29,0,0.0,
2021-06-30,0,0.0,
2021-07-01,0,0.0,
2021-07-02,0,0.0,
2021-07-03,0,0.0,
2021-07-04,0,0.0,
2021-07-05,0,0.0,
2021-07-06,0,0.0,
2021-07-07,0,0.0,
2021-07-08,0,0.0,
2021-07-09,0,0.0,
2021-07-10,0,0.0,
2021-07-11,0,0.0,
2021-07-12,0,0.0,
2021-07-13,0,0.0,
2021-07-14,0,0.0,
2021-07-15,0,0.0,
2021-07-16,0,0.0,
2021-07-17,1,1.0,
2021-07-18,0,,
2021-07-19,0,,
2021-07-20,0,,
2021-07-21,0,,
2021-07-22,0,,
2021-07-23,0,,
2021-07-24,0,,
2021-07-25,0,,
2021-07-26,0,,
2021-07-27,0,,
2021-07-28,0,,
2021-07-29,0,,
2021-07-30,0,,
2021-07-31,0,,
2021-08-01,1,,
2021-08-02,0,,
2021-08-03,1,,
2021-08-04,0,,
2021-08-05,0,,
2021-08-06,0,,
2021-08-07,2,,
2021-08-08,0,,
2021-08-09,0,,
2021-08-10,2,,
2021-08-11,0,,
2021-08-12,1,,
2021-08-13,1,,
2021-08-14,0,,
2021-08-15,0,,
2021-08-16,1,,
2021-08-17,2,,
2021-08-18,0,,
2021-08-19,0,,
2021-08-20,0,,
2021-08-21,0,,
2021-08-22,2,,
