date,all,male,female
0.0,331,181.0,150
1.0,453,230.0,223
2.0,463,237.0,226
3.0,581,298.0,283
4.0,591,312.0,279
5.0,742,384.0,358
6.0,718,378.0,340
7.0,761,393.0,368
8.0,854,430.0,424
9.0,945,493.0,452
10.0,1040,544.0,496
11.0,977,504.0,473
12.0,912,511.0,401
13.0,1004,518.0,486
14.0,841,455.0,386
15.0,936,487.0,449
16.0,945,465.0,480
17.0,997,552.0,445
18.0,1076,566.0,510
19.0,967,541.0,426
20.0,1045,598.0,447
21.0,988,550.0,438
22.0,991,544.0,447
23.0,974,526.0,448
24.0,1011,541.0,470
25.0,1007,517.0,490
26.0,986,505.0,481
27.0,1066,553.0,513
28.0,1030,530.0,500
29.0,1066,541.0,525
30.0,1003,524.0,479
31.0,1049,522.0,527
32.0,1111,581.0,530
33.0,1034,509.0,525
34.0,1049,506.0,543
35.0,1110,537.0,573
36.0,1115,573.0,542
37.0,1183,564.0,619
38.0,1188,584.0,604
39.0,1201,585.0,616
40.0,1241,591.0,650
41.0,1239,564.0,675
42.0,1288,630.0,658
43.0,1246,602.0,644
44.0,1336,632.0,704
45.0,1386,657.0,729
46.0,1527,727.0,800
47.0,1464,677.0,787
48.0,1515,717.0,798
49.0,1486,709.0,777
50.0,1455,653.0,802
51.0,1511,708.0,803
52.0,1504,746.0,758
53.0,1492,736.0,756
54.0,1471,733.0,738
55.0,1402,694.0,708
56.0,1424,744.0,680
57.0,1348,677.0,671
58.0,1340,691.0,649
59.0,1248,594.0,654
60.0,1155,604.0,551
61.0,1163,579.0,584
62.0,1094,583.0,511
63.0,1027,493.0,534
64.0,930,477.0,453
65.0,933,477.0,456
66.0,917,470.0,447
67.0,868,453.0,415
68.0,789,406.0,383
69.0,820,425.0,395
70.0,778,413.0,365
71.0,757,397.0,360
72.0,746,400.0,346
73.0,745,385.0,360
74.0,672,344.0,328
75.0,507,232.0,275
76.0,512,265.0,247
77.0,538,272.0,266
78.0,539,261.0,278
79.0,526,259.0,267
80.0,539,262.0,277
81.0,522,227.0,295
82.0,513,223.0,290
83.0,517,227.0,290
84.0,472,200.0,272
85.0,452,181.0,271
86.0,436,162.0,274
87.0,459,172.0,287
88.0,380,131.0,249
89.0,332,97.0,235
90.0,328,107.0,221
91.0,249,86.0,163
92.0,219,62.0,157
93.0,212,58.0,154
94.0,159,37.0,122
95.0,121,33.0,88
96.0,95,19.0,76
97.0,76,15.0,61
98.0,61,14.0,47
99.0,26,5.0,21
100.0,24,5.0,19
101.0,8,0.0,8
102.0,4,0.0,4
103.0,3,0.0,3
104.0,5,1.0,4
105.0,0,,0
106.0,1,,1
