date,all,male,female
0.0,30,18.0,12
1.0,12,5.0,7
2.0,5,3.0,2
3.0,2,1.0,1
4.0,2,1.0,1
5.0,3,1.0,2
6.0,3,1.0,2
7.0,1,1.0,0
8.0,1,1.0,0
9.0,3,2.0,1
10.0,3,3.0,0
11.0,3,2.0,1
12.0,5,4.0,1
13.0,2,0.0,2
14.0,4,2.0,2
15.0,4,3.0,1
16.0,2,1.0,1
17.0,8,6.0,2
18.0,10,5.0,5
19.0,5,2.0,3
20.0,13,6.0,7
21.0,12,8.0,4
22.0,8,4.0,4
23.0,7,4.0,3
24.0,18,10.0,8
25.0,17,13.0,4
26.0,14,8.0,6
27.0,19,8.0,11
28.0,28,9.0,19
29.0,16,4.0,12
30.0,28,14.0,14
31.0,21,12.0,9
32.0,27,21.0,6
33.0,32,19.0,13
34.0,36,22.0,14
35.0,31,21.0,10
36.0,42,26.0,16
37.0,37,19.0,18
38.0,46,32.0,14
39.0,45,29.0,16
40.0,48,26.0,22
41.0,44,28.0,16
42.0,59,36.0,23
43.0,56,40.0,16
44.0,60,35.0,25
45.0,82,52.0,30
46.0,99,63.0,36
47.0,90,57.0,33
48.0,104,71.0,33
49.0,114,69.0,45
50.0,126,83.0,43
51.0,148,96.0,52
52.0,130,86.0,44
53.0,149,85.0,64
54.0,154,97.0,57
55.0,162,103.0,59
56.0,178,120.0,58
57.0,192,135.0,57
58.0,180,131.0,49
59.0,154,99.0,55
60.0,188,128.0,60
61.0,196,115.0,81
62.0,179,130.0,49
63.0,182,114.0,68
64.0,179,110.0,69
65.0,177,104.0,73
66.0,189,119.0,70
67.0,210,142.0,68
68.0,189,116.0,73
69.0,228,151.0,77
70.0,204,126.0,78
71.0,207,136.0,71
72.0,213,135.0,78
73.0,237,144.0,93
74.0,216,129.0,87
75.0,163,93.0,70
76.0,168,111.0,57
77.0,181,94.0,87
78.0,187,106.0,81
79.0,213,121.0,92
80.0,191,107.0,84
81.0,176,101.0,75
82.0,224,109.0,115
83.0,208,93.0,115
84.0,201,89.0,112
85.0,204,99.0,105
86.0,197,88.0,109
87.0,199,90.0,109
88.0,171,70.0,101
89.0,155,58.0,97
90.0,155,57.0,98
91.0,107,49.0,58
92.0,92,34.0,58
93.0,82,30.0,52
94.0,67,22.0,45
95.0,50,17.0,33
96.0,39,8.0,31
97.0,25,9.0,16
98.0,18,3.0,15
99.0,10,1.0,9
100.0,8,2.0,6
101.0,1,,1
102.0,3,,3
103.0,1,,1
