date,all,male,female
0.0,7,5,2.0
1.0,2,1,1.0
2.0,1,1,0.0
3.0,1,1,0.0
4.0,0,0,0.0
5.0,0,0,0.0
6.0,0,0,0.0
7.0,1,1,0.0
8.0,1,0,1.0
9.0,0,0,0.0
10.0,3,1,2.0
11.0,0,0,0.0
12.0,1,1,0.0
13.0,1,0,1.0
14.0,2,1,1.0
15.0,1,1,0.0
16.0,0,0,0.0
17.0,2,0,2.0
18.0,5,1,4.0
19.0,2,2,0.0
20.0,2,1,1.0
21.0,2,2,0.0
22.0,2,2,0.0
23.0,1,1,0.0
24.0,4,3,1.0
25.0,7,5,2.0
26.0,0,0,0.0
27.0,3,1,2.0
28.0,3,1,2.0
29.0,1,1,0.0
30.0,3,2,1.0
31.0,7,2,5.0
32.0,4,1,3.0
33.0,7,5,2.0
34.0,1,1,0.0
35.0,3,1,2.0
36.0,5,3,2.0
37.0,4,1,3.0
38.0,5,3,2.0
39.0,4,4,0.0
40.0,4,4,0.0
41.0,8,1,7.0
42.0,6,5,1.0
43.0,11,6,5.0
44.0,6,1,5.0
45.0,7,5,2.0
46.0,14,9,5.0
47.0,18,12,6.0
48.0,17,9,8.0
49.0,13,7,6.0
50.0,17,10,7.0
51.0,26,16,10.0
52.0,21,14,7.0
53.0,21,12,9.0
54.0,24,19,5.0
55.0,33,16,17.0
56.0,30,19,11.0
57.0,22,11,11.0
58.0,38,23,15.0
59.0,23,12,11.0
60.0,34,23,11.0
61.0,22,10,12.0
62.0,30,16,14.0
63.0,42,28,14.0
64.0,25,16,9.0
65.0,36,23,13.0
66.0,44,31,13.0
67.0,33,23,10.0
68.0,41,28,13.0
69.0,54,37,17.0
70.0,57,36,21.0
71.0,54,37,17.0
72.0,52,27,25.0
73.0,63,37,26.0
74.0,52,29,23.0
75.0,56,29,27.0
76.0,50,32,18.0
77.0,81,45,36.0
78.0,63,38,25.0
79.0,78,48,30.0
80.0,64,37,27.0
81.0,82,49,33.0
82.0,65,34,31.0
83.0,85,39,46.0
84.0,73,34,39.0
85.0,60,30,30.0
86.0,69,25,44.0
87.0,53,22,31.0
88.0,40,16,24.0
89.0,47,21,26.0
90.0,43,21,22.0
91.0,34,13,21.0
92.0,30,8,22.0
93.0,32,5,27.0
94.0,24,5,19.0
95.0,21,3,18.0
96.0,13,4,9.0
97.0,4,0,4.0
98.0,6,2,4.0
99.0,2,0,2.0
100.0,1,0,1.0
101.0,1,0,1.0
102.0,0,0,
103.0,0,0,
104.0,1,1,
