date,all,male,female
0.0,6599,3538.0,3061
1.0,7908,4106.0,3802
2.0,8624,4516.0,4108
3.0,10431,5401.0,5030
4.0,12192,6233.0,5959
5.0,12585,6441.0,6144
6.0,13765,7066.0,6699
7.0,15276,7940.0,7336
8.0,16150,8350.0,7800
9.0,17176,8872.0,8304
10.0,18077,9329.0,8748
11.0,18405,9487.0,8918
12.0,16512,8525.0,7987
13.0,15201,7655.0,7546
14.0,15123,7445.0,7678
15.0,15661,7568.0,8093
16.0,16272,7819.0,8453
17.0,17323,8205.0,9118
18.0,16624,8007.0,8617
19.0,13106,6308.0,6798
20.0,13779,6685.0,7094
21.0,13900,6521.0,7379
22.0,13829,6594.0,7235
23.0,13930,6522.0,7408
24.0,13907,6459.0,7448
25.0,13853,6353.0,7500
26.0,14113,6447.0,7666
27.0,14161,6349.0,7812
28.0,14959,6781.0,8178
29.0,15669,6966.0,8703
30.0,15819,6931.0,8888
31.0,15819,6961.0,8858
32.0,16310,7135.0,9175
33.0,16570,7328.0,9242
34.0,16741,7412.0,9329
35.0,16620,7345.0,9275
36.0,16725,7145.0,9580
37.0,17295,7507.0,9788
38.0,17851,7698.0,10153
39.0,18158,7852.0,10306
40.0,18574,7998.0,10576
41.0,18429,8059.0,10370
42.0,19129,8358.0,10771
43.0,19516,8686.0,10830
44.0,20243,9003.0,11240
45.0,20403,9074.0,11329
46.0,20682,9379.0,11303
47.0,20800,9342.0,11458
48.0,19540,8805.0,10735
49.0,19002,8603.0,10399
50.0,18914,8464.0,10450
51.0,18322,8267.0,10055
52.0,18255,8230.0,10025
53.0,17977,8065.0,9912
54.0,18011,8104.0,9907
55.0,17709,7944.0,9765
56.0,17476,7827.0,9649
57.0,17111,7768.0,9343
58.0,16404,7405.0,8999
59.0,15119,6799.0,8320
60.0,14976,6782.0,8194
61.0,14438,6641.0,7797
62.0,13598,6212.0,7386
63.0,12846,5915.0,6931
64.0,12623,5780.0,6843
65.0,11995,5565.0,6430
66.0,11582,5376.0,6206
67.0,10764,5068.0,5696
68.0,10130,4737.0,5393
69.0,9876,4675.0,5201
70.0,9796,4641.0,5155
71.0,9921,4713.0,5208
72.0,9787,4770.0,5017
73.0,9949,4735.0,5214
74.0,9442,4582.0,4860
75.0,8734,4151.0,4583
76.0,7275,3565.0,3710
77.0,6522,3130.0,3392
78.0,6309,3043.0,3266
79.0,6058,2910.0,3148
80.0,5556,2639.0,2917
81.0,5722,2607.0,3115
82.0,5518,2555.0,2963
83.0,4981,2252.0,2729
84.0,4568,1924.0,2644
85.0,4000,1631.0,2369
86.0,3658,1596.0,2062
87.0,3345,1313.0,2032
88.0,3085,1147.0,1938
89.0,2574,952.0,1622
90.0,2284,813.0,1471
91.0,1932,635.0,1297
92.0,1544,502.0,1042
93.0,1298,390.0,908
94.0,982,272.0,710
95.0,749,202.0,547
96.0,530,151.0,379
97.0,388,118.0,270
98.0,268,64.0,204
99.0,192,42.0,150
100.0,112,22.0,90
101.0,53,7.0,46
102.0,37,7.0,30
103.0,11,0.0,11
104.0,14,2.0,12
105.0,10,1.0,9
106.0,6,2.0,4
107.0,1,1.0,0
108.0,1,,1
