date,all,male,female
0.0,1,1.0,0
1.0,0,0.0,0
2.0,0,0.0,0
3.0,0,0.0,0
4.0,0,0.0,0
5.0,1,0.0,1
6.0,0,0.0,0
7.0,0,0.0,0
8.0,0,0.0,0
9.0,0,0.0,0
10.0,0,0.0,0
11.0,1,1.0,0
12.0,0,0.0,0
13.0,0,0.0,0
14.0,0,0.0,0
15.0,0,0.0,0
16.0,0,0.0,0
17.0,0,0.0,0
18.0,0,0.0,0
19.0,0,0.0,0
20.0,1,0.0,1
21.0,1,1.0,0
22.0,1,1.0,0
23.0,0,0.0,0
24.0,1,0.0,1
25.0,1,1.0,0
26.0,0,0.0,0
27.0,1,1.0,0
28.0,2,1.0,1
29.0,1,1.0,0
30.0,0,0.0,0
31.0,2,0.0,2
32.0,2,1.0,1
33.0,1,1.0,0
34.0,2,1.0,1
35.0,4,4.0,0
36.0,3,1.0,2
37.0,5,4.0,1
38.0,6,2.0,4
39.0,5,3.0,2
40.0,5,3.0,2
41.0,3,2.0,1
42.0,6,3.0,3
43.0,8,6.0,2
44.0,8,5.0,3
45.0,11,5.0,6
46.0,15,12.0,3
47.0,11,6.0,5
48.0,13,10.0,3
49.0,13,9.0,4
50.0,22,15.0,7
51.0,31,22.0,9
52.0,31,20.0,11
53.0,28,19.0,9
54.0,39,26.0,13
55.0,39,29.0,10
56.0,33,24.0,9
57.0,51,36.0,15
58.0,50,34.0,16
59.0,54,37.0,17
60.0,72,45.0,27
61.0,78,62.0,16
62.0,84,59.0,25
63.0,97,68.0,29
64.0,101,70.0,31
65.0,113,81.0,32
66.0,103,66.0,37
67.0,126,85.0,41
68.0,115,74.0,41
69.0,145,99.0,46
70.0,172,117.0,55
71.0,205,140.0,65
72.0,208,137.0,71
73.0,223,149.0,74
74.0,217,142.0,75
75.0,239,153.0,86
76.0,222,160.0,62
77.0,231,150.0,81
78.0,246,153.0,93
79.0,244,143.0,101
80.0,260,177.0,83
81.0,257,144.0,113
82.0,299,160.0,139
83.0,290,155.0,135
84.0,279,137.0,142
85.0,262,129.0,133
86.0,306,165.0,141
87.0,267,150.0,117
88.0,249,113.0,136
89.0,230,121.0,109
90.0,213,105.0,108
91.0,165,73.0,92
92.0,150,72.0,78
93.0,134,64.0,70
94.0,95,26.0,69
95.0,80,21.0,59
96.0,59,24.0,35
97.0,44,18.0,26
98.0,25,5.0,20
99.0,15,5.0,10
100.0,16,6.0,10
101.0,7,,7
102.0,4,,4
103.0,2,,2
104.0,4,,4
105.0,1,,1
106.0,1,,1
